"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Jackie Robinson","1011070","Dodgers","2B","642","","8.99973487854004","9.0"
"Stan Musial","1009405","Cardinals","1B/LF","678","","8.60057735443115","8.6"
"Ralph Kiner","1006923","Pirates","1B/LF","670","","7.60078048706055","7.6"
"Robin Roberts","1011046","Phillies","P","","315.0","6.6651759147644","7.2"
"Ted Williams","1014040","Red Sox","LF","675","","7.14507341384888","7.1"
"Roy Campanella","1001871","Dodgers","C","562","","7.09940385818481","7.1"
"Monte Irvin","1006275","Giants","1B/LF","657","","6.42993068695068","6.4"
"Larry Doby","1003346","Indians","CF","551","","6.31643629074097","6.3"
"Eddie Joost","1006604","Athletics","SS","667","","6.26834964752197","6.3"
"Don Newcombe","1009529","Dodgers","P","","272.0","5.8166184425354","6.2"
"Richie Ashburn","1000335","Phillies","CF","712","","6.0632529258728","6.1"
"Warren Spahn","1012299","Braves","P","","310.2","5.51491022109985","5.7"
"Minnie Minoso","1008984","- - -","3B/RF/LF","622","","5.4827122092247","5.5"
"Mel Parnell","1010017","Red Sox","P","","221.0","4.65981578826904","5.3"
"Yogi Berra","1000898","Yankees","C","594","","5.28073835372925","5.3"
"Alvin Dark","1002987","Giants","SS","700","","5.20112466812134","5.2"
"Bobby Thomson","1013032","Giants","3B/CF","602","","5.12550687789917","5.1"
"Mike Garcia","1004505","Indians","P","","254.0","4.80958652496338","5.0"
"Eddie Stanky","1012406","Giants","2B","653","","5.00246334075928","5.0"
"Gil Hodges","1005883","Dodgers","1B","681","","4.98010349273682","5.0"
"Sid Gordon","1004877","Braves","LF","641","","4.86578369140625","4.9"
"Billy Pierce","1010326","White Sox","P","","240.1","4.740074634552","4.9"
"Ned Garver","1004556","Browns","P","","246.0","3.72716736793518","4.8"
"Larry Jansen","1006358","Giants","P","","278.2","5.65279054641724","4.8"
"Gil McDougald","1008471","Yankees","2B/3B","473","","4.63671731948853","4.6"
"Nellie Fox","1004281","White Sox","2B","681","","4.50936985015869","4.5"
"Bobby Avila","1000380","Indians","2B","615","","4.43894624710083","4.4"
"Vic Wertz","1013795","Tigers","RF","581","","4.41268110275269","4.4"
"Ferris Fain","1003902","Athletics","1B","511","","4.40034484863281","4.4"
"Ewell Blackwell","1001013","Reds","P","","232.2","3.60193252563477","4.3"
"Pee Wee Reese","1010776","Dodgers","SS","711","","4.34281539916992","4.3"
"Ed Lopat","1007748","Yankees","P","","234.2","4.1304292678833","4.3"
"Willie Jones","1006601","Phillies","3B","647","","4.31933641433716","4.3"
"Bob Rush","1011307","Cubs","P","","211.1","4.47996664047241","4.3"
"Sal Maglie","1007968","Giants","P","","298.0","4.90461301803589","4.3"
"Eddie Yost","1014357","Senators","3B","716","","4.24139595031738","4.2"
"Wes Westrum","1013812","Giants","C","474","","4.1116738319397","4.1"
"Johnny Pesky","1010219","Red Sox","SS","573","","4.05618000030518","4.1"
"Fred Hutchinson","1006238","Tigers","P","","188.1","4.12313222885132","4.0"
"Bubba Church","1002225","Phillies","P","","247.0","3.68251085281372","4.0"
"Early Wynn","1014309","Indians","P","","274.1","3.70206570625305","4.0"
"Al Rosen","1011208","Indians","3B","661","","3.96598339080811","4.0"
"Sam Jethroe","1006407","Braves","CF","644","","3.95739030838013","4.0"
"Solly Hemus","1005627","Cardinals","SS","507","","3.91848707199097","3.9"
"Mickey McDermott","1008448","Red Sox","P","","172.0","3.50540471076965","3.9"
"Vic Raschi","1010702","Yankees","P","","258.1","3.9682354927063","3.9"
"Willie Mays","1008315","Giants","CF","524","","3.85182881355286","3.9"
"Phil Rizzuto","1011011","Yankees","SS","629","","3.84496068954468","3.8"
"Murry Dickson","1003282","Pirates","P","","288.2","3.27039289474487","3.7"
"Duke Snider","1012230","Dodgers","CF","672","","3.69233274459839","3.7"
"Dizzy Trout","1013196","Tigers","P","","191.2","2.97284269332886","3.7"
"Billy Johnson","1006426","- - -","3B","550","","3.68445175886154","3.7"
"George Kell","1006783","Tigers","3B","674","","3.66305899620056","3.7"
"Walker Cooper","1002601","Braves","C","372","","3.65163731575012","3.7"
"Bob Elliott","1003733","Braves","3B","547","","3.57722687721252","3.6"
"Elmer Valo","1013335","Athletics","RF","530","","3.56687879562378","3.6"
"Saul Rogovin","1011143","- - -","P","","216.2","3.31689153145999","3.5"
"Bobby Shantz","1011804","Athletics","P","","205.1","3.0698721408844","3.5"
"Allie Reynolds","1010860","Yankees","P","","221.0","3.18846940994263","3.4"
"Gus Zernial","1014432","- - -","LF","638","","3.3569248020649","3.4"
"Eddie Robinson","1011063","White Sox","1B","649","","3.30176043510437","3.3"
"Gene Woodling","1014228","Yankees","LF","485","","3.28952980041504","3.3"
"Earl Torgeson","1013124","Braves","1B","690","","3.27731370925903","3.3"
"Chico Carrasquel","1001984","White Sox","SS","595","","3.24954438209534","3.2"
"Vern Stephens","1012501","Red Sox","3B","415","","3.19461679458618","3.2"
"Bob Lemon","1007517","Indians","P","","263.1","2.57193636894226","3.2"
"Gil Coan","1002373","Senators","LF","591","","2.98161244392395","3.0"
"Gerry Staley","1012388","Cardinals","P","","227.0","3.35506272315979","3.0"
"Andy Pafko","1009948","- - -","CF/LF","519","","2.94880616664886","2.9"
"Red Schoendienst","1011600","Cardinals","2B","602","","2.9369752407074","2.9"
"Connie Marrero","1008126","Senators","P","","187.0","2.99645495414734","2.9"
"Paul Minner","1008980","Cubs","P","","201.2","2.44757485389709","2.9"
"Bob Hooper","1006001","Athletics","P","","189.0","2.84017300605774","2.8"
"Carl Furillo","1004409","Dodgers","RF","724","","2.82524919509888","2.8"
"Joe DiMaggio","1003311","Yankees","CF","482","","2.81970477104187","2.8"
"Howie Fox","1004278","Reds","P","","228.0","3.30934000015259","2.8"
"Preacher Roe","1011122","Dodgers","P","","257.2","3.68766832351685","2.8"
"Randy Jackson","1006307","Cubs","3B","609","","2.7244918346405","2.7"
"Tom Poholsky","1010412","Cardinals","P","","195.0","2.78756880760193","2.7"
"Ted Gray","1004978","Tigers","P","","197.1","2.86686062812805","2.6"
"Ken Raffensberger","1010646","Reds","P","","248.2","3.18561339378357","2.6"
"Bobby Doerr","1003355","Red Sox","2B","463","","2.56442666053772","2.6"
"Ralph Branca","1001343","Dodgers","P","","204.0","2.8027229309082","2.6"
"Hank Sauer","1011459","Cubs","LF","574","","2.54369735717773","2.5"
"Dale Mitchell","1009000","Indians","LF","570","","2.45710515975952","2.5"
"Irv Noren","1009628","Senators","CF","564","","2.45574283599854","2.5"
"Virgil Trucks","1013203","Tigers","P","","153.2","2.31132388114929","2.3"
"Luke Easter","1003640","Indians","1B","532","","2.34489297866821","2.3"
"Johnny Sain","1011373","- - -","P","","197.1","2.10265508294106","2.3"
"Hank Majeski","1008006","- - -","3B","400","","2.32847920712084","2.3"
"Clyde McCullough","1008435","Pirates","C","290","","2.32002592086792","2.3"
"Chet Nichols","1009557","Braves","P","","156.0","2.72295475006104","2.3"
"Hank Bauer","1000679","Yankees","RF/LF","394","","2.30689525604248","2.3"
"Max Surkont","1012729","Braves","P","","237.0","2.46853184700012","2.3"
"Herm Wehmeier","1013729","Reds","P","","184.2","1.9804859161377","2.3"
"Enos Slaughter","1012060","Cardinals","RF","483","","2.21644759178162","2.2"
"Willie Ramsdell","1010683","Reds","P","","196.0","2.51881074905396","2.2"
"Andy Seminick","1011742","Phillies","C","358","","2.2083215713501","2.2"
"Billy Cox","1002692","Dodgers","3B","507","","2.20244097709656","2.2"
"Chuck Stobbs","1012548","Red Sox","P","","170.0","2.29624724388123","2.2"
"Carl Scheib","1011538","Athletics","P","","143.0","1.15170991420746","2.2"
"Dom DiMaggio","1003310","Red Sox","CF","718","","2.17140865325928","2.2"
"Alex Kellner","1006785","Athletics","P","","209.2","2.16311573982239","2.2"
"Leo Kiely","1006895","Red Sox","P","","113.1","2.03246641159058","2.0"
"Sid Hudson","1006141","Senators","P","","138.2","1.66003739833832","2.0"
"Mickey Vernon","1013416","Senators","1B","602","","1.96242702007294","2.0"
"Harry Brecheen","1001375","Cardinals","P","","138.2","1.86224687099457","1.9"
"Willard Nixon","1009610","Red Sox","P","","125.0","1.52983069419861","1.9"
"Connie Ryan","1011335","Reds","2B","560","","1.9293487071991","1.9"
"Max Lanier","1007325","Cardinals","P","","160.0","2.26732158660889","1.9"
"Vern Bickford","1000947","Braves","P","","164.2","2.29507637023926","1.9"
"Peanuts Lowrey","1007794","Cardinals","CF","419","","1.87063109874725","1.9"
"Hal Newhouser","1009535","Tigers","P","","96.1","1.49401485919952","1.9"
"Dick Sisler","1012020","Phillies","LF","478","","1.85631692409515","1.9"
"Russ Meyer","1008833","Phillies","P","","168.0","2.3156373500824","1.9"
"Wally Westlake","1013807","- - -","3B/CF","491","","1.85354745388031","1.9"
"Bob Feller","1003975","Indians","P","","249.2","2.20838093757629","1.9"
"Ken Holcombe","1005940","White Sox","P","","159.1","1.64384114742279","1.8"
"Tom Morgan","1009184","Yankees","P","","124.2","1.49466025829315","1.8"
"Ellis Kinder","1006922","Red Sox","P","","127.0","2.03545665740967","1.7"
"Bob Kuzava","1007226","- - -","P","","134.2","1.63270446658134","1.7"
"Sam Zoldak","1014458","Athletics","P","","128.0","2.02168035507202","1.7"
"Sherm Lollar","1007714","Browns","C","359","","1.7299827337265","1.7"
"Steve Gromek","1005080","Indians","P","","107.1","1.36142098903656","1.7"
"Vern Law","1007410","Pirates","P","","114.0","1.12657642364502","1.7"
"Del Ennis","1003786","Phillies","RF","602","","1.71400988101959","1.7"
"Ray Scarborough","1011496","Red Sox","P","","184.0","1.85119104385376","1.7"
"Bobby Brown","1001496","Yankees","3B","369","","1.6634327173233","1.7"
"Phil Masi","1008212","White Sox","C","262","","1.65120267868042","1.7"
"Lou Kretlow","1007161","White Sox","P","","137.0","2.14767551422119","1.6"
"Billy Goodman","1004856","Red Sox","1B/2B","638","","1.64133679866791","1.6"
"Joe Garagiola","1004487","- - -","C","331","","1.61797125637531","1.6"
"Bob Porterfield","1010445","- - -","P","","136.1","1.86550862248987","1.6"
"Cliff Chambers","1002120","- - -","P","","189.0","1.48114350438118","1.6"
"Joe Ginsberg","1004742","Tigers","C","351","","1.57307386398315","1.6"
"Harry Perkowski","1010195","Reds","P","","102.0","1.97493851184845","1.5"
"Jim Hearn","1005556","Giants","P","","211.1","1.76214170455933","1.5"
"Jim Busby","1001742","White Sox","CF","524","","1.5241767168045","1.5"
"Mickey Mantle","1008082","Yankees","RF","386","","1.51861953735352","1.5"
"Lou Boudreau","1001234","Red Sox","SS","313","","1.50736665725708","1.5"
"Don Mueller","1009278","Giants","RF","493","","1.49323499202728","1.5"
"Del Rice","1010894","Cardinals","C","419","","1.44466865062714","1.4"
"Joe Tipton","1013081","Athletics","C","266","","1.43673229217529","1.4"
"Jackie Jensen","1006398","Yankees","CF/LF","188","","1.43168103694916","1.4"
"Jerry Priddy","1010533","Tigers","2B","665","","1.40507864952087","1.4"
"Gus Niarhos","1009551","White Sox","C","217","","1.38824224472046","1.4"
"Johnny Wyrostek","1014314","Reds","RF","598","","1.37223947048187","1.4"
"Clyde Vollmer","1013449","Red Sox","RF","445","","1.34635663032532","1.3"
"Gene Hermanski","1005693","- - -","RF/LF","361","","1.34389172308147","1.3"
"Clem Labine","1007230","Dodgers","P","","65.1","1.46147501468658","1.3"
"Phil Cavarretta","1002093","Cubs","1B","237","","1.3365318775177","1.3"
"Whitey Lockman","1007694","Giants","1B","673","","1.3338782787323","1.3"
"Willard Marshall","1008148","Braves","RF","523","","1.30455541610718","1.3"
"Joe Collins","1002456","Yankees","1B","298","","1.29497790336609","1.3"
"Pat Mullin","1009308","Tigers","LF","336","","1.28456771373749","1.3"
"Del Wilber","1013936","Phillies","C","263","","1.26970016956329","1.3"
