"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Ted Williams","1014040","Red Sox","LF","606","","11.0344858169556","11.0"
"Joe DiMaggio","1003311","Yankees","CF","621","","9.75228023529053","9.8"
"Whit Wyatt","1014304","Dodgers","P","","288.1","6.94610166549683","7.8"
"Pete Reiser","1010814","Dodgers","CF","601","","7.50240087509155","7.5"
"Charlie Keller","1006768","Yankees","LF","610","","7.33111810684204","7.3"
"Dolph Camilli","1001860","Dodgers","1B","641","","6.90799570083618","6.9"
"Cecil Travis","1013162","Senators","SS","663","","6.31199884414673","6.3"
"Joe Gordon","1004874","Yankees","2B","665","","5.87009191513062","5.9"
"Bob Feller","1003975","Indians","P","","343.0","5.70950651168823","5.8"
"Elbie Fletcher","1004150","Pirates","1B","642","","5.63064908981323","5.6"
"Thornton Lee","1007468","White Sox","P","","300.1","5.06468772888184","5.6"
"Stan Hack","1005183","Cubs","3B","694","","5.47661924362183","5.5"
"Johnny Mize","1009014","Cardinals","1B","547","","5.43936967849731","5.4"
"Jeff Heath","1005560","Indians","RF","643","","5.37378454208374","5.4"
"Dixie Walker","1013512","Dodgers","RF","606","","5.29299545288086","5.3"
"Tommy Henrich","1005664","Yankees","RF","632","","5.19299745559692","5.2"
"Dutch Leonard","1007533","Senators","P","","256.0","5.97186374664307","5.2"
"Joe Cronin","1002796","Red Sox","SS","615","","5.11783266067505","5.1"
"Luke Appling","1000284","White Sox","SS","677","","5.01938819885254","5.0"
"Sam Chapman","1002152","Athletics","CF","602","","4.96719646453857","5.0"
"Roy Cullenbine","1002861","Browns","LF","629","","4.89121866226196","4.9"
"Phil Rizzuto","1011011","Yankees","SS","548","","4.80068635940552","4.8"
"Bucky Walters","1013583","Reds","P","","302.0","5.3613543510437","4.8"
"Mel Ott","1009904","Giants","RF","634","","4.71120977401733","4.7"
"Jimmie Foxx","1004285","Red Sox","1B","582","","4.5350284576416","4.5"
"Lou Boudreau","1001234","Indians","SS","681","","4.51600551605225","4.5"
"Joe Medwick","1008719","Dodgers","LF","579","","4.45978784561157","4.5"
"Bobo Newsom","1009546","Tigers","P","","250.1","5.17055654525757","4.3"
"Ken Keltner","1006821","Indians","3B","644","","4.31506109237671","4.3"
"Arky Vaughan","1013377","Pirates","SS","437","","4.29148817062378","4.3"
"Claude Passeau","1010046","Cubs","P","","231.0","3.75534176826477","4.2"
"Mickey Harris","1005424","Red Sox","P","","194.0","3.99587941169739","4.2"
"Bob Johnson","1006428","Athletics","LF","653","","4.14774990081787","4.1"
"Ted Lyons","1007887","White Sox","P","","187.1","3.7721745967865","4.1"
"George McQuinn","1008683","Browns","1B","574","","4.10159540176392","4.1"
"Jimmy Brown","1001528","Cardinals","3B","610","","3.97593474388123","4.0"
"Taffy Wright","1014296","White Sox","RF","580","","3.95051503181458","4.0"
"Johnny Vander Meer","1013350","Reds","P","","226.1","4.3426079750061","3.9"
"Eddie Smith","1012132","White Sox","P","","263.1","3.56932711601257","3.9"
"Billy Jurges","1006653","Giants","SS","528","","3.81864070892334","3.8"
"Schoolboy Rowe","1011259","Tigers","P","","139.0","3.22135281562805","3.8"
"Vince DiMaggio","1003312","Pirates","CF","605","","3.77044343948364","3.8"
"Lonny Frey","1004343","Reds","2B","629","","3.68044948577881","3.7"
"Sid Hudson","1006141","Senators","P","","249.2","3.7437162399292","3.7"
"Danny Litwhiler","1007670","Phillies","LF","635","","3.62332105636597","3.6"
"Johnny Hopp","1006022","Cardinals","1B/LF","509","","3.60190272331238","3.6"
"Elmer Riddle","1010946","Reds","P","","216.2","3.23800539970398","3.6"
"Bill Nicholson","1009554","Cubs","RF","617","","3.56623935699463","3.6"
"Ernie White","1013871","Cardinals","P","","210.0","3.46147418022156","3.5"
"Buddy Lewis","1007578","Senators","3B/RF","653","","3.50675320625305","3.5"
"Marius Russo","1011324","Yankees","P","","209.2","3.25797605514526","3.5"
"Nick Etten","1003848","Phillies","1B","627","","3.40165400505066","3.4"
"Barney McCosky","1008422","Tigers","CF","565","","3.39962911605835","3.4"
"Max West","1013809","Braves","LF","560","","3.39744305610657","3.4"
"Enos Slaughter","1012060","Cardinals","RF","484","","3.32330203056335","3.3"
"Billy Herman","1005692","- - -","2B","649","","3.27520111203194","3.3"
"Dick Siebert","1011948","Athletics","1B","513","","3.21232342720032","3.2"
"Red Ruffing","1011296","Yankees","P","","185.2","2.00850892066956","3.2"
"Dom DiMaggio","1003310","Red Sox","CF","688","","3.19615364074707","3.2"
