"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Ty Cobb","1002378","Tigers","CF","654","","10.9897003173828","11.0"
"Joe Jackson","1006301","Naps","RF/CF","641","","9.344651222229","9.3"
"Ed Walsh","1013570","White Sox","P","","368.2","7.63853549957275","7.6"
"Honus Wagner","1013485","Pirates","SS","558","","6.96217393875122","7.0"
"Joe Wood","1014224","Red Sox","P","","275.2","6.44065999984741","6.9"
"Pete Alexander","1000128","Phillies","P","","367.0","7.23770332336426","6.8"
"Eddie Collins","1002451","Athletics","2B","588","","6.81451416015625","6.8"
"Christy Mathewson","1008235","Giants","P","","307.0","6.77359294891357","6.8"
"Babe Adams","1000041","Pirates","P","","293.1","6.23098754882813","6.6"
"Frank Baker","1000453","Athletics","3B","659","","6.52184343338013","6.5"
"Walter Johnson","1006511","Senators","P","","322.1","5.94155883789063","6.4"
"Larry Doyle","1003467","Giants","2B","622","","5.91889905929565","5.9"
"Sam Crawford","1002748","Tigers","RF","648","","5.88132476806641","5.9"
"Frank Schulte","1011631","Cubs","RF","687","","5.86932802200317","5.9"
"Tris Speaker","1012309","Red Sox","CF","589","","5.8505654335022","5.9"
"Birdie Cree","1002752","Highlanders","LF","588","","5.69773244857788","5.7"
"Jimmy Sheckard","1011843","Cubs","LF","704","","5.67585277557373","5.7"
"Russ Ford","1004223","Highlanders","P","","281.1","5.41816854476929","5.3"
"Ed Konetchy","1007093","Cardinals","1B","680","","5.25838375091553","5.3"
"Mordecai Brown","1001547","Cubs","P","","270.0","4.66405773162842","5.2"
"Rube Marquard","1008125","Giants","P","","277.2","5.24950885772705","5.1"
"Clyde Milan","1008856","Senators","CF","705","","4.92698621749878","4.9"
"Johnny Bates","1000662","Reds","CF","646","","4.64646053314209","4.6"
"Jack Coombs","1002583","Athletics","P","","336.2","2.92204594612122","4.6"
"Joe Tinker","1013075","Cubs","SS","593","","4.51108837127686","4.5"
"Fred Merkle","1008783","Giants","1B","604","","4.3221960067749","4.3"
"Fred Snodgrass","1012234","Giants","CF","647","","4.22026300430298","4.2"
"Lefty Leifield","1007494","Pirates","P","","318.0","4.12461233139038","4.2"
"Danny Murphy","1009352","Athletics","RF","593","","4.10674619674683","4.1"
"Matty McIntyre","1008573","White Sox","RF","648","","4.10525798797607","4.1"
"Larry Gardner","1004528","Red Sox","2B/3B","593","","4.06659603118896","4.1"
"Buck Herzog","1005745","- - -","3B/SS","635","","4.05718839168549","4.1"
"Harry Lord","1007761","White Sox","3B","630","","4.05082130432129","4.1"
"Harry Hooper","1006002","Red Sox","RF","614","","4.04796123504639","4.0"
"Nap Rucker","1011281","Dodgers","P","","315.2","3.85946774482727","4.0"
"Fred Clarke","1002280","Pirates","LF","460","","4.00063848495483","4.0"
"Red Ames","1000210","Giants","P","","205.0","4.35259294509888","3.9"
"Miller Huggins","1006148","Cardinals","2B","626","","3.89397835731506","3.9"
"Heinie Zimmerman","1014444","Cubs","2B","583","","3.875159740448","3.9"
"Jake Daubert","1003005","Dodgers","1B","652","","3.86280632019043","3.9"
"George Suggs","1012673","Reds","P","","260.2","3.1863055229187","3.8"
"Bris Lord","1007759","Athletics","LF","631","","3.8129243850708","3.8"
"Art Fletcher","1004149","Giants","SS","377","","3.76927518844604","3.8"
"Jim Doyle","1003464","Cubs","3B","533","","3.70801663398743","3.7"
"Harry Wolter","1014200","Highlanders","RF","510","","3.5647075176239","3.6"
"George Mullin","1009302","Tigers","P","","234.1","2.53995108604431","3.6"
"Chief Meyers","1008823","Giants","C","439","","3.54682183265686","3.5"
"Howie Camnitz","1001866","Pirates","P","","267.2","3.97404146194458","3.5"
"Bob Bescher","1000921","Reds","LF","716","","3.51276302337646","3.5"
"Sherry Magee","1007965","Phillies","LF","514","","3.5018413066864","3.5"
"Chief Wilson","1014066","Pirates","RF","603","","3.41497611999512","3.4"
"Eddie Plank","1010385","Athletics","P","","256.2","3.42570233345032","3.4"
"Ray Caldwell","1001832","Highlanders","P","","255.0","3.4122896194458","3.4"
"Jimmy Austin","1000372","Browns","3B","650","","3.37421631813049","3.4"
"Mike Mitchell","1009007","Reds","RF","594","","3.35803461074829","3.4"
"Ray Collins","1002462","Red Sox","P","","194.2","3.19185471534729","3.3"
"Fred Luderus","1007813","Phillies","1B","609","","3.25864124298096","3.3"
"Hans Lobert","1007684","Phillies","3B","650","","3.16146779060364","3.2"
"Jim Delahanty","1003157","Tigers","1B/2B","628","","3.12977457046509","3.1"
"Dots Miller","1008885","Pirates","2B","556","","3.1238214969635","3.1"
"John Hummel","1006180","Dodgers","2B","556","","3.05802726745605","3.1"
