"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Willie Mays","1008315","Giants","CF","685","","9.7169713973999","9.7"
"Mickey Mantle","1008082","Yankees","CF","654","","8.76537704467773","8.8"
"Ernie Banks","1000512","Cubs","SS","682","","8.74730110168457","8.7"
"Hank Aaron","1000001","Braves","RF/CF","664","","6.78623628616333","6.8"
"Rocky Colavito","1002404","Indians","RF","578","","6.63184881210327","6.6"
"Richie Ashburn","1000335","Phillies","CF","725","","6.46556377410889","6.5"
"Al Kaline","1006678","Tigers","RF","607","","6.43972063064575","6.4"
"Bob Cerv","1002107","Athletics","LF","572","","6.24844121932983","6.2"
"Eddie Mathews","1008236","Braves","3B","649","","5.78782272338867","5.8"
"Lew Burdette","1001662","Braves","P","","275.1","4.9532618522644","5.8"
"Pete Runnels","1011303","Red Sox","1B/2B","666","","5.57273197174072","5.6"
"Jackie Jensen","1006398","Red Sox","RF","655","","5.48396444320679","5.5"
"Warren Spahn","1012299","Braves","P","","290.0","3.5692572593689","5.4"
"Ken Boyer","1001283","Cardinals","3B","631","","5.33312940597534","5.3"
"Jack Harshman","1005435","Orioles","P","","236.1","3.97369861602783","5.2"
"Whitey Ford","1004227","Yankees","P","","219.1","4.72128343582153","5.0"
"Minnie Minoso","1008984","Indians","LF","638","","4.97953176498413","5.0"
"Billy O'Dell","1009724","Orioles","P","","221.1","4.87695789337158","4.8"
"Robin Roberts","1011046","Phillies","P","","269.2","4.48443746566772","4.8"
"Frank Sullivan","1012691","Red Sox","P","","199.1","4.80232286453247","4.7"
"Norm Siebern","1011949","Yankees","LF","533","","4.6592869758606","4.7"
"Sam Jones","1006590","Cardinals","P","","250.0","5.50640916824341","4.7"
"Frank Lary","1007364","Tigers","P","","260.1","4.75023365020752","4.6"
"Bill Mazeroski","1008316","Pirates","2B","607","","4.54159259796143","4.5"
"Ted Williams","1014040","Red Sox","LF","517","","4.49095582962036","4.5"
"Del Crandall","1002729","Braves","C","485","","4.44670963287354","4.4"
"Don Drysdale","1003516","Dodgers","P","","211.2","3.27717709541321","4.2"
"Vic Power","1010506","- - -","1B/3B","620","","4.14502704143524","4.1"
"Bob Friend","1004355","Pirates","P","","274.0","4.81820201873779","4.1"
"Sherm Lollar","1007714","White Sox","C","491","","4.08810377120972","4.1"
"Stan Musial","1009405","Cardinals","1B","549","","4.04131460189819","4.0"
"Camilo Pascual","1010039","Senators","P","","177.1","4.1755256652832","4.0"
"Dick Donovan","1003395","White Sox","P","","248.0","4.06694936752319","4.0"
"Paul Foytack","1004287","Tigers","P","","230.0","3.47235536575317","3.9"
"Frank Robinson","1011066","Redlegs","CF/LF","623","","3.88773488998413","3.9"
"Roy Sievers","1011959","Senators","LF","614","","3.8485472202301","3.8"
"Bob Skinner","1012037","Pirates","LF","596","","3.74097967147827","3.7"
"Lee Walls","1013563","Cubs","RF","576","","3.73060178756714","3.7"
"Roberto Clemente","1002340","Pirates","RF","556","","3.69276189804077","3.7"
"Vern Law","1007410","Pirates","P","","202.1","3.08480930328369","3.7"
"Luis Aparicio","1000278","White Sox","SS","604","","3.61731481552124","3.6"
"Johnny Temple","1012910","Redlegs","2B","652","","3.55494737625122","3.6"
"Curt Simmons","1011980","Phillies","P","","168.1","3.57111024856567","3.5"
"Frank Bolling","1001147","Tigers","2B","681","","3.49543523788452","3.5"
"Gus Triandos","1013182","Orioles","C","544","","3.48860645294189","3.5"
"Yogi Berra","1000898","Yankees","C","476","","3.46896624565125","3.5"
"Joe Cunningham","1002881","Cardinals","1B/RF","424","","3.44312620162964","3.4"
"Frank Malzone","1008048","Red Sox","3B","672","","3.41661596298218","3.4"
"Andy Carey","1001943","Yankees","3B","365","","3.3671669960022","3.4"
"Elston Howard","1006079","Yankees","C","406","","3.36201786994934","3.4"
"Stu Miller","1008935","Giants","P","","182.0","3.39473128318787","3.3"
"Bob Purkey","1010572","Redlegs","P","","250.0","3.69719982147217","3.3"
"Nellie Fox","1004281","White Sox","2B","698","","3.30583000183105","3.3"
"Joe Nuxhall","1009665","Redlegs","P","","175.2","3.39014554023743","3.3"
"Frank Thomas","1012976","Pirates","3B","620","","3.19462823867798","3.2"
"Bobby Thomson","1013032","Cubs","CF","615","","3.17768526077271","3.2"
"Dick Groat","1005075","Pirates","SS","622","","3.14478039741516","3.1"
"Jim Bunning","1001653","Tigers","P","","219.2","3.14445185661316","3.1"
"Daryl Spencer","1012321","Giants","SS","626","","3.12906837463379","3.1"
"Wes Covington","1002687","Braves","LF","324","","3.03428792953491","3.0"
"Tom Brewer","1001409","Red Sox","P","","227.1","3.03745865821838","3.0"
"Orlando Cepeda","1002103","Giants","1B","644","","2.99184560775757","3.0"
"Walt Moryn","1009236","Cubs","LF","587","","2.9912748336792","3.0"
"Gil McDougald","1008471","Yankees","2B","578","","2.96974015235901","3.0"
"Harry Anderson","1000230","Phillies","1B/LF","585","","2.93416428565979","2.9"
"Early Wynn","1014309","White Sox","P","","239.2","2.55586075782776","2.9"
"Larry Jackson","1006304","Cardinals","P","","198.0","3.25479650497437","2.9"
"Brooks Lawrence","1007398","Redlegs","P","","181.0","3.13824558258057","2.8"
"Harvey Kuenn","1007200","Tigers","CF","619","","2.80063152313232","2.8"
"Billy Pierce","1010326","White Sox","P","","245.0","2.51129746437073","2.8"
"Ralph Terry","1012929","Athletics","P","","216.2","2.69857048988342","2.7"
"Jim Landis","1007296","White Sox","CF","593","","2.68509721755981","2.7"
"Hector Lopez","1007755","Athletics","2B/3B","631","","2.64597320556641","2.6"
"Jack Sanford","1011432","Phillies","P","","186.1","2.54169058799744","2.6"
"Bob Rush","1011307","Braves","P","","147.1","2.50836396217346","2.6"
"Billy Hoeft","1005893","Tigers","P","","143.0","2.14839267730713","2.6"
"Harvey Haddix","1005184","Redlegs","P","","184.0","2.24909782409668","2.6"
"Don Larsen","1007359","Yankees","P","","114.1","1.6136440038681","2.5"
"Arnie Portocarrero","1010459","Orioles","P","","204.2","2.5147716999054","2.5"
"Curt Flood","1004165","Cardinals","CF","461","","2.53155636787415","2.5"
"Johnny Antonelli","1000277","Giants","P","","241.2","2.13412880897522","2.5"
"Bill Virdon","1013437","Pirates","CF","662","","2.4080650806427","2.4"
"Hoyt Wilhelm","1013945","- - -","P","","131.0","2.67310357093811","2.4"
"Bob Boyd","1001275","Orioles","1B","432","","2.36673808097839","2.4"
"Johnny Podres","1010406","Dodgers","P","","210.1","2.92303609848022","2.4"
"Bob Nieman","1009587","Orioles","LF","414","","2.34701538085938","2.3"
"Frank Torre","1013130","Braves","1B","430","","2.32795524597168","2.3"
"Bobby Shantz","1011804","Yankees","P","","126.0","2.32978010177612","2.3"
"Solly Hemus","1005627","Phillies","2B","401","","2.26654052734375","2.3"
"Ray Herbert","1005684","Athletics","P","","175.0","2.05048751831055","2.2"
"George Witt","1014172","Pirates","P","","106.0","2.45338034629822","2.2"
"Hank Bauer","1000679","Yankees","RF","490","","2.22533226013184","2.2"
"Gary Bell","1000806","Indians","P","","182.0","1.9642208814621","2.2"
"Charlie Maxwell","1008287","Tigers","LF","466","","2.21505975723267","2.2"
"Johnny Logan","1007705","Braves","SS","590","","2.20068073272705","2.2"
"Gail Harris","1005413","Tigers","1B","498","","2.19929957389832","2.2"
"Tom Acker","1000031","Redlegs","P","","124.2","2.37746071815491","2.2"
"Gene Woodling","1014228","Orioles","RF/LF","485","","2.17923259735107","2.2"
"Ed Bailey","1000421","Redlegs","C","414","","2.16837906837463","2.2"
"Ike Delock","1003179","Red Sox","P","","160.0","2.63428711891174","2.2"
"Ruben Gomez","1004827","Giants","P","","207.2","2.0943455696106","2.2"
"Don Newcombe","1009529","- - -","P","","167.2","0.894654870033264","2.1"
"Russ Kemmerer","1006824","Senators","P","","224.1","2.32776093482971","2.1"
"Don Buddin","1001628","Red Sox","SS","594","","2.05551743507385","2.1"
"Red Wilson","1014102","Tigers","C","343","","2.04747200012207","2.0"
"Alex Kellner","1006785","- - -","P","","115.2","1.74097719788551","2.0"
"Milt Pappas","1009989","Orioles","P","","135.1","2.04912877082825","2.0"
"Pedro Ramos","1010681","Senators","P","","259.1","1.79474210739136","1.9"
"Tony Kubek","1007188","Yankees","SS","597","","1.92633485794067","1.9"
"Billy Goodman","1004856","White Sox","3B","471","","1.92169976234436","1.9"
"Bill Skowron","1012043","Yankees","1B","503","","1.9092378616333","1.9"
"Russ Nixon","1009609","Indians","C","395","","1.89797389507294","1.9"
"Dave Hillman","1005829","Cubs","P","","125.2","2.07417678833008","1.9"
"Earl Torgeson","1013124","White Sox","1B","236","","1.87197971343994","1.9"
"Jack Meyer","1008828","Phillies","P","","90.1","1.7681987285614","1.8"
"Cal McLish","1008626","Indians","P","","225.2","1.8643547296524","1.8"
"Duke Maas","1007894","- - -","P","","156.2","1.95342552661896","1.8"
"Mike McCormick","1008420","Giants","P","","178.1","1.63993811607361","1.7"
"Jim Brosnan","1001479","- - -","P","","166.2","2.02368623018265","1.7"
"Bob Schmidt","1011576","Giants","C","432","","1.71306848526001","1.7"
"Johnny Roseboro","1011199","Dodgers","C","431","","1.65141141414642","1.7"
"Leon Wagner","1013487","Giants","LF","240","","1.6119019985199","1.6"
"Charlie Neal","1009473","Dodgers","2B","549","","1.5987241268158","1.6"
"Seth Morehead","1009158","Phillies","P","","92.1","1.5888055562973","1.6"
"Stan Lopata","1007749","Phillies","C","322","","1.58361601829529","1.6"
"Red Schoendienst","1011600","Braves","2B","465","","1.58188009262085","1.6"
"Ned Garver","1004556","Athletics","P","","201.0","1.46265339851379","1.6"
"Joe Adcock","1000067","Braves","1B/LF","349","","1.56120705604553","1.6"
"Dale Long","1007730","Cubs","1B","554","","1.52744376659393","1.5"
"Roger Maris","1008110","- - -","RF/CF","637","","1.52519911527634","1.5"
"Jim Piersall","1010340","Red Sox","CF","469","","1.52068674564362","1.5"
"Bob Turley","1013225","Yankees","P","","245.1","1.62764406204224","1.5"
"Mickey Vernon","1013416","Indians","1B","404","","1.5058513879776","1.5"
"Cal Neeman","1009481","Cubs","C","226","","1.49566078186035","1.5"
"Ray Moore","1009125","White Sox","P","","136.2","1.2404305934906","1.5"
"Earl Battey","1000670","White Sox","C","198","","1.47453486919403","1.5"
"Larry Doby","1003346","Indians","CF","276","","1.46697604656219","1.5"
"Connie Johnson","1006438","Orioles","P","","118.1","1.36764538288116","1.5"
"Smoky Burgess","1001665","Redlegs","C","274","","1.41121435165405","1.4"
"Dick Hyde","1006248","Senators","P","","103.0","1.62566018104553","1.4"
"Gene Green","1004995","Cardinals","C/RF","489","","1.36461853981018","1.4"
