"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Mickey Mantle","1008082","Yankees","CF","646","","10.3283948898315","10.3"
"Norm Cash","1002043","Tigers","1B","672","","10.1747055053711","10.2"
"Hank Aaron","1000001","Braves","RF/CF","671","","8.87291240692139","8.9"
"Willie Mays","1008315","Giants","CF","659","","8.33032894134521","8.3"
"Rocky Colavito","1002404","Tigers","LF","708","","8.03516292572021","8.0"
"Jim Gentile","1004612","Orioles","1B","601","","8.02535724639893","8.0"
"Al Kaline","1006678","Tigers","RF","665","","7.73011922836304","7.7"
"Ken Boyer","1001283","Cardinals","3B","663","","7.11291980743408","7.1"
"Frank Robinson","1011066","Reds","RF/LF","636","","7.07266092300415","7.1"
"Roger Maris","1008110","Yankees","RF","698","","7.07258892059326","7.1"
"Eddie Mathews","1008236","Braves","3B","672","","7.06460380554199","7.1"
"Vada Pinson","1010360","Reds","CF","659","","6.77073192596436","6.8"
"Harmon Killebrew","1006905","Twins","1B/3B","656","","6.37982177734375","6.4"
"Frank Lary","1007364","Tigers","P","","275.1","5.87248182296753","6.2"
"Whitey Ford","1004227","Yankees","P","","283.0","5.77334499359131","6.1"
"Jim Bunning","1001653","Tigers","P","","268.0","6.32286262512207","5.7"
"Sandy Koufax","1007124","Dodgers","P","","255.2","6.31792593002319","5.7"
"Orlando Cepeda","1002103","Giants","1B/LF","636","","5.5463285446167","5.5"
"Jim O'Toole","1009897","Reds","P","","252.2","5.59839963912964","5.5"
"Elston Howard","1006079","Yankees","C","482","","5.39633131027222","5.4"
"Roberto Clemente","1002340","Pirates","RF","614","","5.25445508956909","5.3"
"Camilo Pascual","1010039","Twins","P","","252.1","5.29878234863281","5.2"
"Jim Piersall","1010340","Indians","CF","536","","5.0106086730957","5.0"
"Johnny Romano","1011165","Indians","C","580","","4.89958810806274","4.9"
"Jack Kralick","1007135","Twins","P","","242.0","5.07183122634888","4.8"
"Don Mossi","1009250","Tigers","P","","240.1","4.65432929992676","4.7"
"Curt Simmons","1011980","Cardinals","P","","195.2","3.85005617141724","4.7"
"Stan Williams","1014039","Dodgers","P","","235.1","4.58095979690552","4.6"
"Bob Friend","1004355","Pirates","P","","236.0","4.88429641723633","4.5"
"Juan Pizarro","1010382","White Sox","P","","194.2","3.90294551849365","4.5"
"Roy Sievers","1011959","White Sox","1B","563","","4.34203958511353","4.3"
"Warren Spahn","1012299","Braves","P","","262.2","3.22435283660889","4.2"
