"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Willie Mays","1008315","Giants","CF","638","","10.7228565216064","10.7"
"Sandy Koufax","1007124","Dodgers","P","","335.2","9.98452186584473","10.5"
"Sam McDowell","1008476","Indians","P","","273.0","8.7006368637085","8.3"
"Ron Santo","1011447","Cubs","3B","704","","7.68748044967651","7.7"
"Jim Bunning","1001653","Phillies","P","","291.0","7.26156139373779","7.7"
"Hank Aaron","1000001","Braves","RF","639","","7.59399032592773","7.6"
"Bob Veale","1013391","Pirates","P","","266.0","7.98951864242554","7.4"
"Jim Maloney","1008039","Reds","P","","255.1","6.45909690856934","7.3"
"Billy Williams","1013975","Cubs","RF","719","","7.08509302139282","7.1"
"Zoilo Versalles","1013417","Twins","SS","728","","6.98167133331299","7.0"
"Juan Marichal","1008106","Giants","P","","295.1","6.82647466659546","6.9"
"Jimmy Wynn","1014313","Astros","CF","663","","6.42704296112061","6.4"
"Don Buford","1001636","White Sox","2B","668","","6.3729510307312","6.4"
"Dick Allen","1000137","Phillies","3B","707","","6.29003715515137","6.3"
"Bob Gibson","1004662","Cardinals","P","","299.0","5.08134126663208","6.2"
"Chris Short","1011931","Phillies","P","","297.1","6.47989702224731","6.1"
"Roberto Clemente","1002340","Pirates","RF","642","","5.95784044265747","6.0"
"Don Drysdale","1003516","Dodgers","P","","308.1","3.39467597007751","5.9"
"Willie McCovey","1008423","Giants","1B","639","","5.73296594619751","5.7"
"Jim Fregosi","1004330","Angels","SS","683","","5.38719320297241","5.4"
"Vada Pinson","1010360","Reds","CF","728","","5.27120351791382","5.3"
"Brooks Robinson","1011055","Orioles","3B","616","","5.24247074127197","5.2"
"Joe Torre","1013133","Braves","C/1B","594","","5.22830677032471","5.2"
"Norm Cash","1002043","Tigers","1B","553","","5.19851064682007","5.2"
"Pete Rose","1011217","Reds","2B","757","","5.18810558319092","5.2"
"Frank Robinson","1011066","Reds","RF","674","","5.18035554885864","5.2"
"Eddie Mathews","1008236","Braves","3B","626","","5.15954160690308","5.2"
"Joe Morgan","1009179","Astros","2B","708","","5.13285303115845","5.1"
"Felipe Alou","1000177","Braves","1B/LF","599","","5.10109233856201","5.1"
"Tony Oliva","1009772","Twins","RF","647","","5.08270263671875","5.1"
"Maury Wills","1014053","Dodgers","SS","710","","5.0791916847229","5.1"
"Sonny Siebert","1011951","Indians","P","","188.2","5.35053539276123","5.1"
"Jim Kaat","1006660","Twins","P","","264.1","4.27839612960815","5.1"
"Johnny Callison","1001851","Phillies","RF","691","","4.97403764724731","5.0"
"Whitey Ford","1004227","Yankees","P","","244.1","4.55766677856445","4.8"
"Carl Yastrzemski","1014326","Red Sox","LF","571","","4.6122465133667","4.6"
"Earl Wilson","1014073","Red Sox","P","","230.2","3.47505569458008","4.6"
"Mel Stottlemyre","1012579","Yankees","P","","291.0","4.50519895553589","4.5"
"Bill White","1013855","Cardinals","1B","618","","4.45762348175049","4.5"
"Deron Johnson","1006444","Reds","3B","680","","4.32901525497437","4.3"
"Mickey Lolich","1007712","Tigers","P","","243.2","5.0518217086792","4.3"
"Leo Cardenas","1001938","Reds","SS","626","","4.23915529251099","4.2"
"Harmon Killebrew","1006905","Twins","1B/3B","479","","4.19896030426025","4.2"
"Tom Tresh","1013179","Yankees","CF/LF","668","","4.18144416809082","4.2"
"Curt Blefary","1001068","Orioles","RF/LF","561","","4.17242765426636","4.2"
"Ken McMullen","1008650","Senators","3B","618","","4.10248756408691","4.1"
"Jimmie Hall","1005253","Twins","CF","580","","4.07450437545776","4.1"
"Jim Lefebvre","1007473","Dodgers","2B","631","","4.02824258804321","4.0"
"Joe Horlen","1006025","White Sox","P","","219.0","3.96963024139404","4.0"
"Vern Law","1007410","Pirates","P","","217.1","3.43873739242554","3.9"
"Tony Cloninger","1002359","Braves","P","","279.0","3.77179360389709","3.9"
"Lou Brock","1001458","Cardinals","LF","697","","3.8765811920166","3.9"
"Bob Shaw","1011819","Giants","P","","235.0","4.26578235626221","3.8"
"Rocky Colavito","1002404","Indians","RF","695","","3.83200192451477","3.8"
"Fred Newman","1009542","Angels","P","","260.2","3.84736919403076","3.8"
"Mack Jones","1006574","Braves","CF","546","","3.76485848426819","3.8"
"Gene Alley","1000160","Pirates","2B/SS","540","","3.74065017700195","3.7"
"Bob Allison","1000166","Twins","LF","519","","3.72448778152466","3.7"
"Curt Flood","1004165","Cardinals","CF","683","","3.70360374450684","3.7"
"Earl Battey","1000670","Twins","C","456","","3.69816732406616","3.7"
"Don Wert","1013790","Tigers","3B","697","","3.61122131347656","3.6"
"Jim Ray Hart","1005448","Giants","3B","649","","3.50581812858582","3.5"
"Ken Johnson","1006477","- - -","P","","231.1","3.86359745264053","3.5"
"Denny McLain","1008603","Tigers","P","","220.1","4.0263934135437","3.5"
"Sammy Ellis","1003753","Reds","P","","263.2","3.72140645980835","3.5"
"Robin Roberts","1011046","- - -","P","","190.2","2.90766406059265","3.5"
"Vic Davalillo","1003012","Indians","CF","550","","3.4574887752533","3.5"
"George Brunet","1001590","Angels","P","","197.0","3.75551652908325","3.4"
"Ron Fairly","1003907","Dodgers","RF","654","","3.38784837722778","3.4"
"Clete Boyer","1001282","Yankees","3B","561","","3.32452321052551","3.3"
"Willie Stargell","1012426","Pirates","LF","582","","3.31600856781006","3.3"
"Claude Osteen","1009878","Dodgers","P","","287.0","3.51129007339478","3.3"
"Ron Hansen","1005329","White Sox","SS","662","","3.29294872283936","3.3"
"Luis Aparicio","1000278","Orioles","SS","629","","3.27947640419006","3.3"
"Tommy Harper","1005383","Reds","LF","745","","3.26756358146667","3.3"
"Mudcat Grant","1004952","Twins","P","","270.1","3.00301027297974","3.3"
"Johnny Edwards","1003689","Reds","C","427","","3.26307320594788","3.3"
"Johnny Romano","1011165","White Sox","C","425","","3.23848819732666","3.2"
"Tommy John","1006515","White Sox","P","","183.2","2.98889851570129","3.2"
"Tony Conigliaro","1002502","Red Sox","RF","586","","3.21275281906128","3.2"
"Marcelino Lopez","1007757","Angels","P","","215.1","2.77309966087341","3.2"
"Jim Pagliaroni","1009958","Pirates","C","452","","3.17847943305969","3.2"
"Floyd Robinson","1011064","White Sox","RF","671","","3.15804052352905","3.2"
"Bob Bruce","1001573","Astros","P","","229.2","3.39957809448242","3.1"
"Turk Farrell","1003950","Astros","P","","208.1","3.30899620056152","3.1"
"Willie Horton","1006038","Tigers","LF","572","","3.08522844314575","3.1"
"Gene Oliver","1009777","Braves","C/1B","432","","3.00135564804077","3.0"
"Pete Ward","1013621","White Sox","3B","574","","2.97230291366577","3.0"
"Ed Charles","1002158","Athletics","3B","535","","2.95453310012817","3.0"
