"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Rickey Henderson","194","Yankees","CF","654","","9.71729278564453","9.7"
"Dwight Gooden","1004852","Mets","P","","276.2","8.89950656890869","9.7"
"Wade Boggs","1001124","Red Sox","3B","758","","8.81308364868164","8.8"
"George Brett","1001400","Royals","3B","665","","8.26888084411621","8.3"
"Pedro Guerrero","1005120","Dodgers","3B/LF","581","","7.76886749267578","7.8"
"Tim Raines","1406","Expos","LF","665","","7.17316293716431","7.2"
"Willie McGee","1008513","Cardinals","CF","652","","7.13893985748291","7.1"
"Jesse Barfield","1000537","Blue Jays","RF","612","","7.03720283508301","7.0"
"Bert Blyleven","1001098","- - -","P","","293.2","6.96612691879272","7.0"
"Gary Carter","1002015","Mets","C","633","","6.68381690979004","6.7"
"John Tudor","1013215","Cardinals","P","","275.0","6.43086051940918","6.6"
"Bret Saberhagen","1011355","Royals","P","","235.1","6.15860891342163","6.2"
"Don Mattingly","1008261","Yankees","1B","727","","6.05414152145386","6.1"
"Ryne Sandberg","1011411","Cubs","2B","673","","5.88686513900757","5.9"
"Orel Hershiser","1005741","Dodgers","P","","239.2","5.41013097763062","5.9"
"Mike Moore","1009122","Mariners","P","","247.0","5.85511875152588","5.9"
"Fernando Valenzuela","1013327","Dodgers","P","","272.1","5.39593935012817","5.9"
"Rich Gedman","1004592","Red Sox","C","556","","5.60992240905762","5.6"
"Ozzie Smith","1012186","Cardinals","SS","615","","5.57272148132324","5.6"
"Mike Scioscia","1011667","Dodgers","C","525","","5.51556301116943","5.5"
"Eddie Murray","1009386","Orioles","1B","677","","5.503662109375","5.5"
"Bryn Smith","1012104","Expos","P","","222.1","5.07173919677734","5.5"
"Rick Reuschel","1010852","Pirates","P","","194.0","5.1586651802063","5.5"
"Cal Ripken","1010978","Orioles","SS","718","","5.39770793914795","5.4"
"Dave Parker","1010000","Reds","RF","694","","5.35318326950073","5.4"
"Kirk Gibson","1004669","Tigers","RF","670","","5.31982421875","5.3"
"Mike Schmidt","1011586","Phillies","1B/3B","645","","5.2289776802063","5.2"
"Tim Wallach","1013554","Expos","3B","617","","5.13488721847534","5.1"
"Tom Herr","1005737","Cardinals","2B","696","","5.09520483016968","5.1"
"Keith Hernandez","1005706","Mets","1B","682","","5.04091548919678","5.0"
"Bill Doran","1003406","Astros","2B","657","","5.02548789978027","5.0"
"Mike Davis","1003070","Athletics","RF","604","","4.90303468704224","4.9"
"Ron Guidry","1005124","Yankees","P","","259.0","4.86898469924927","4.9"
"Walt Terrell","1012924","Tigers","P","","229.0","4.83810997009277","4.8"
"Phil Bradley","1001313","Mariners","LF","714","","4.79301834106445","4.8"
"Darryl Strawberry","1012606","Mets","RF","470","","4.75125503540039","4.8"
"Mike Witt","1014174","Angels","P","","250.0","4.72003364562988","4.7"
"Lou Whitaker","1013846","Tigers","2B","701","","4.67060470581055","4.7"
"Jack Morris","1009211","Tigers","P","","257.0","4.67013931274414","4.7"
"Dale Murphy","1009355","Braves","CF","712","","4.62870311737061","4.6"
"Oil Can Boyd","1001279","Red Sox","P","","272.1","4.60778141021729","4.6"
"Danny Jackson","1006295","Royals","P","","208.0","4.56250476837158","4.6"
"Dave Stieb","1012532","Blue Jays","P","","265.0","4.45249271392822","4.5"
"Dennis Eckersley","1003660","Cubs","P","","169.1","4.27977132797241","4.4"
"Nolan Ryan","1011348","Astros","P","","232.0","4.38417863845825","4.3"
"Willie Randolph","1010694","Yankees","2B","597","","4.26294422149658","4.3"
"Tony Gwynn","1005166","Padres","RF","671","","4.21582746505737","4.2"
"Darrell Evans","1003864","Tigers","1B","594","","4.15466117858887","4.2"
"Tony Fernandez","1004002","Blue Jays","SS","618","","4.11597776412964","4.1"
"Charlie Leibrandt","1007492","Royals","P","","237.2","4.10201930999756","4.1"
"Lance Parrish","1010021","Tigers","C","600","","4.09065341949463","4.1"
"Mike Krukow","1007185","Giants","P","","194.2","3.48138999938965","4.1"
"Toby Harrah","1005384","Rangers","2B","521","","4.0570707321167","4.1"
"Dwight Evans","1003865","Red Sox","RF","744","","4.0313606262207","4.0"
"Doyle Alexander","1000122","Blue Jays","P","","260.2","3.95107555389404","4.0"
"Tom Seaver","1011708","White Sox","P","","238.2","3.92750787734985","3.9"
