"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Babe Ruth","1011327","Yankees","RF/LF","699","","14.9519557952881","15.0"
"Harry Heilmann","1005590","Tigers","RF","626","","9.15631008148193","9.2"
"Tris Speaker","1012309","Indians","CF","693","","8.69674968719482","8.7"
"George Uhle","1013266","Indians","P","","357.2","5.81709146499634","7.7"
"Frankie Frisch","1004364","Giants","2B","702","","7.51650094985962","7.5"
"Ken Williams","1014012","Browns","LF","646","","7.39502573013306","7.4"
"Rogers Hornsby","1006030","Cardinals","2B","487","","7.07253503799438","7.1"
"Dolf Luque","1007843","Reds","P","","322.0","6.832594871521","7.0"
"Joe Sewell","1011766","Indians","SS","682","","6.92591571807861","6.9"
"Urban Shocker","1011918","Browns","P","","277.1","5.91466951370239","6.2"
"Jack Fournier","1004264","Robins","1B","578","","5.84540796279907","5.8"
"Eddie Collins","1002451","White Sox","2B","632","","5.83180570602417","5.8"
"Hooks Dauss","1003011","Tigers","P","","316.0","5.01518630981445","5.6"
"Lee Meadows","1008705","- - -","P","","246.2","4.98059341311455","5.5"
"Max Carey","1001944","Pirates","CF","699","","5.34506225585938","5.3"
"Eppa Rixey","1011008","Reds","P","","309.0","5.91810178756714","5.3"
"Burleigh Grimes","1005061","Robins","P","","327.0","4.72346878051758","5.1"
"Pete Alexander","1000128","Cubs","P","","305.0","5.14250373840332","5.1"
"Ty Cobb","1002378","Tigers","CF","647","","5.05313158035278","5.1"
"Dazzy Vance","1013342","Robins","P","","280.1","5.36220502853394","5.0"
"Charlie Jamieson","1006355","Indians","LF","742","","4.95207357406616","5.0"
"Bubbles Hargrave","1005359","Reds","C","444","","4.87630939483643","4.9"
"Pete Donohue","1003390","Reds","P","","274.1","4.51848888397217","4.8"
"Edd Roush","1011247","Reds","CF","592","","4.77140235900879","4.8"
"Pie Traynor","1013165","Pirates","3B","661","","4.67760419845581","4.7"
"Bob O'Farrell","1009740","Cubs","C","526","","4.63730430603027","4.6"
"Red Faber","1003889","White Sox","P","","232.1","4.1428394317627","4.6"
"Wilbur Cooper","1002602","Pirates","P","","294.2","4.13866901397705","4.5"
"Joe Bush","1001754","Yankees","P","","275.2","3.67418503761292","4.5"
"Aaron Ward","1013602","Yankees","2B","640","","4.35174417495728","4.4"
"Jimmy Johnston","1006466","Robins","2B/SS","693","","4.34814643859863","4.3"
"Jim Bottomley","1001228","Cardinals","1B","587","","4.30012559890747","4.3"
"Joe Harris","1005421","Red Sox","LF","553","","4.29060840606689","4.3"
"Jimmy Ring","1010972","Phillies","P","","304.1","5.4965991973877","4.3"
"Johnny Morrison","1009217","Pirates","P","","301.2","4.6855092048645","4.3"
"Jigger Statz","1012439","Cubs","CF","722","","4.26191806793213","4.3"
"Willie Kamm","1006683","White Sox","3B","626","","4.24442481994629","4.2"
"Ross Youngs","1014390","Giants","RF","688","","4.22112560272217","4.2"
