"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Ty Cobb","1002378","Tigers","CF","669","","11.4620571136475","11.5"
"Pete Alexander","1000128","Phillies","P","","388.0","9.00066471099854","9.6"
"Rogers Hornsby","1006030","Cardinals","SS","589","","9.54141330718994","9.5"
"Walter Johnson","1006511","Senators","P","","326.0","6.73701572418213","8.0"
"Ray Chapman","1002151","Indians","SS","691","","7.70397758483887","7.7"
"Tris Speaker","1012309","Indians","CF","612","","7.6618218421936","7.7"
"Heinie Groh","1005078","Reds","3B","685","","6.86217975616455","6.9"
"Eddie Cicotte","1002236","White Sox","P","","346.2","6.64354801177979","6.9"
"George Burns","1001708","Giants","LF","678","","6.7217378616333","6.7"
"Art Fletcher","1004149","Giants","SS","608","","6.61978149414063","6.6"
"Bobby Veach","1013388","Tigers","LF","666","","6.37744140625","6.4"
"George Sisler","1012021","Browns","1B","587","","5.89317226409912","5.9"
"Hippo Vaughn","1013384","Cubs","P","","295.2","5.54756116867065","5.6"
"Max Carey","1001944","Pirates","CF","668","","5.57090854644775","5.6"
"Joe Jackson","1006301","White Sox","LF","621","","5.35762929916382","5.4"
"Benny Kauff","1006715","Giants","CF","644","","5.31800699234009","5.3"
"Eddie Collins","1002451","White Sox","2B","689","","5.23633718490601","5.2"
"Heinie Zimmerman","1014444","Giants","3B","620","","5.19546890258789","5.2"
"Edd Roush","1011247","Reds","CF","567","","5.08917903900146","5.1"
"Eppa Rixey","1011008","Phillies","P","","281.1","4.94936370849609","4.8"
"Babe Ruth","1011327","Red Sox","P","","326.1","3.25155067443848","4.7"
"Happy Felsch","1003977","White Sox","CF","632","","4.71183586120605","4.7"
"Jim Bagby","1000411","Indians","P","","320.2","4.24861001968384","4.7"
"Rabbit Maranville","1008099","Braves","SS","613","","4.58466625213623","4.6"
"Gavvy Cravath","1002735","Phillies","RF","590","","4.56036710739136","4.6"
"Jesse Barnes","1000566","Braves","P","","295.0","3.90727162361145","4.4"
"Leon Cadore","1001811","Robins","P","","264.0","3.65033507347107","4.4"
"Frank Baker","1000453","Yankees","3B","613","","4.14858722686768","4.1"
"Wilbur Cooper","1002602","Pirates","P","","297.2","4.31101846694946","4.1"
"Red Smith","1012197","Braves","3B","585","","4.06455898284912","4.1"
"Larry Gardner","1004528","Red Sox","3B","598","","4.03025817871094","4.0"
"Braggo Roth","1011238","Indians","RF","569","","4.02596998214722","4.0"
"Dutch Leonard","1007532","Red Sox","P","","294.1","4.64449787139893","4.0"
