"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Walter Johnson","1006511","Senators","P","","346.0","8.51713085174561","9.1"
"Eddie Collins","1002451","Athletics","2B","652","","8.98554134368896","9.0"
"Tris Speaker","1012309","Red Sox","CF","608","","8.57348346710205","8.6"
"Frank Baker","1000453","Athletics","3B","644","","7.88308572769165","7.9"
"Joe Jackson","1006301","Naps","RF","623","","7.53381013870239","7.5"
"Ty Cobb","1002378","Tigers","CF","501","","7.17337322235107","7.2"
"Babe Adams","1000041","Pirates","P","","313.2","5.39114332199097","6.3"
"Gavvy Cravath","1002735","Phillies","RF","594","","5.84089040756226","5.8"
"Christy Mathewson","1008235","Giants","P","","306.0","5.32862854003906","5.3"
"Dick Rudolph","1011284","Braves","P","","249.1","4.70072078704834","5.2"
"Rube Marquard","1008125","Giants","P","","288.0","4.91293001174927","5.1"
"Lefty Tyler","1013252","Braves","P","","290.1","4.69986248016357","5.1"
"Heinie Zimmerman","1014444","Cubs","3B","510","","5.05632781982422","5.1"
"Pete Alexander","1000128","Phillies","P","","306.1","5.47895812988281","5.0"
"Cy Falkenberg","1003913","Naps","P","","276.0","5.14890193939209","5.0"
"Art Fletcher","1004149","Giants","SS","594","","4.94967937469482","4.9"
"Burt Shotton","1011933","Browns","CF","655","","4.93757629394531","4.9"
"Stuffy McInnis","1008569","Athletics","1B","619","","4.90494394302368","4.9"
"Nap Lajoie","1007259","Naps","2B","525","","4.72353267669678","4.7"
"Red Smith","1012197","Superbas","3B","614","","4.72046947479248","4.7"
"Sam Crawford","1002748","Tigers","RF","671","","4.53320646286011","4.5"
"Nap Rucker","1011281","Superbas","P","","260.0","4.28188180923462","4.5"
"Ray Collins","1002462","Red Sox","P","","246.2","4.08724975585938","4.4"
"Eddie Plank","1010385","Athletics","P","","242.2","4.41836738586426","4.4"
"Jake Daubert","1003005","Superbas","1B","572","","4.28181505203247","4.3"
"Vic Saier","1011372","Cubs","1B","600","","4.26233959197998","4.3"
"Jack Barry","1000616","Athletics","SS","535","","4.23700761795044","4.2"
"Clyde Milan","1008856","Senators","CF","661","","4.16186952590942","4.2"
"Hans Lobert","1007684","Phillies","3B","646","","4.15638113021851","4.2"
"Claude Hendrix","1005638","Pirates","P","","241.0","2.95347809791565","4.0"
"Tommy Leach","1007428","Cubs","CF","540","","3.95862150192261","4.0"
