"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Fergie Jenkins","1006388","Cubs","P","","325.0","9.64294052124023","11.2"
"Tom Seaver","1011708","Mets","P","","286.1","9.13889980316162","9.7"
"Mickey Lolich","1007712","Tigers","P","","376.0","8.33610343933105","8.5"
"Vida Blue","1001094","Athletics","P","","312.0","8.75164413452148","8.4"
"Willie Stargell","1012426","Pirates","LF","606","","8.15609455108643","8.2"
"Wilbur Wood","1014248","White Sox","P","","334.0","8.6560173034668","7.9"
"Don Sutton","1012745","Dodgers","P","","265.1","7.13524150848389","7.5"
"Graig Nettles","1009517","Indians","3B","690","","7.41351890563965","7.4"
"Tom Bradley","1001316","White Sox","P","","285.2","7.66317462921143","7.4"
"Hank Aaron","1000001","Braves","1B/RF","573","","7.0887246131897","7.1"
"Bert Blyleven","1001098","Twins","P","","278.1","7.46535205841064","7.0"
"Joe Torre","1013133","Cardinals","3B","707","","6.92860555648804","6.9"
"Roberto Clemente","1002340","Pirates","RF","553","","6.53922748565674","6.5"
"Bobby Murcer","1009338","Yankees","CF","624","","6.53751277923584","6.5"
"Joe Coleman","1002428","Tigers","P","","286.0","7.06043481826782","6.5"
"Sal Bando","1000505","Athletics","3B","643","","6.28968524932861","6.3"
"Reggie Jackson","1006308","Athletics","RF","642","","6.23809576034546","6.2"
"Bobby Bonds","1001157","Giants","RF","691","","6.19448375701904","6.2"
"Willie Mays","1008315","Giants","1B/CF","537","","5.85031509399414","5.9"
"Brooks Robinson","1011055","Orioles","3B","663","","5.84806823730469","5.8"
"Rick Wise","1014155","Phillies","P","","272.1","4.63460826873779","5.8"
"Roy White","1013890","Yankees","LF","634","","5.81417465209961","5.8"
"Jim Kaat","1006660","Twins","P","","260.1","5.88671779632568","5.8"
"Bill Melton","1008754","White Sox","3B","621","","5.78363180160522","5.8"
"Merv Rettenmund","1010846","Orioles","RF/CF/LF","589","","5.75745630264282","5.8"
"Rusty Staub","1012440","Expos","RF","690","","5.72097635269165","5.7"
"Dave Roberts","1011031","Padres","P","","269.2","5.42533254623413","5.7"
"Sonny Siebert","1011951","Red Sox","P","","235.1","4.40401315689087","5.7"
"Reggie Smith","1012201","Red Sox","RF/CF","692","","5.46754455566406","5.5"
"Bob Gibson","1004662","Cardinals","P","","245.2","5.1694507598877","5.4"
"Joe Morgan","1009179","Astros","2B","689","","5.38384437561035","5.4"
"Dick Allen","1000137","Dodgers","3B/LF","649","","5.17679023742676","5.2"
"Amos Otis","1009893","Royals","CF","607","","5.09454202651978","5.1"
"Don Buford","1001636","Orioles","LF","549","","5.0921630859375","5.1"
"Lee May","1008303","Reds","1B","602","","5.07788944244385","5.1"
"Pat Dobson","1003345","Orioles","P","","282.1","5.62113904953003","5.0"
"Manny Sanguillen","1011434","Pirates","C","557","","5.0373649597168","5.0"
"Rico Petrocelli","1010245","Red Sox","3B","661","","5.02388620376587","5.0"
"Bill Freehan","1004315","Tigers","C","586","","4.94871473312378","4.9"
"Tony Perez","1010188","Reds","3B","664","","4.91531848907471","4.9"
"Don Wilson","1014071","Astros","P","","268.0","4.9827356338501","4.9"
"Gary Nolan","1009616","Reds","P","","244.2","4.93122053146362","4.8"
"Ralph Garr","1004554","Braves","LF","693","","4.81089496612549","4.8"
"Catfish Hunter","1006199","Athletics","P","","273.2","3.20037961006165","4.8"
"Jim Palmer","1009973","Orioles","P","","282.0","4.618004322052","4.8"
"Dick Drago","1003475","Royals","P","","241.1","4.65666723251343","4.7"
"Cleon Jones","1006540","Mets","LF","568","","4.64791870117188","4.6"
"Willie Davis","1003088","Dodgers","CF","672","","4.63310956954956","4.6"
"Bill Stoneman","1012560","Expos","P","","294.2","4.60244989395142","4.5"
"Mel Stottlemyre","1012579","Yankees","P","","269.2","4.35782146453857","4.5"
"Ron Hunt","1006212","Expos","2B","638","","4.51595878601074","4.5"
"Pete Rose","1011217","Reds","RF","707","","4.49316787719727","4.5"
"Billy Williams","1013975","Cubs","LF","677","","4.41808223724365","4.4"
"Davey Johnson","1006440","Orioles","2B","574","","4.33870840072632","4.3"
"Ray Culp","1002869","Red Sox","P","","242.1","4.60088300704956","4.3"
"Tommy John","1006515","White Sox","P","","229.1","4.48149824142456","4.2"
"Paul Schaal","1011502","Royals","3B","659","","4.21289730072021","4.2"
"Gaylord Perry","1010210","Giants","P","","280.0","4.69035291671753","4.2"
"Johnny Bench","1000826","Reds","C","613","","4.12135791778564","4.1"
"Mark Belanger","1000786","Orioles","SS","590","","4.11591720581055","4.1"
"Ken Henderson","1005634","Giants","LF","598","","4.10926532745361","4.1"
"Dock Ellis","1003747","Pirates","P","","226.2","3.66003251075745","4.0"
"Dick Dietz","1003290","Giants","C","558","","4.00934457778931","4.0"
"Clyde Wright","1014272","Angels","P","","276.2","3.87220859527588","4.0"
"Clay Kirby","1006960","Padres","P","","267.1","4.37659883499146","4.0"
"Phil Niekro","1009583","Braves","P","","268.2","4.31409311294556","3.9"
"Juan Marichal","1008106","Giants","P","","279.0","4.00464105606079","3.9"
"Harmon Killebrew","1006905","Twins","1B/3B","624","","3.93824052810669","3.9"
"Deron Johnson","1006444","Phillies","1B","660","","3.92430663108826","3.9"
"Ken Forsch","1004234","Astros","P","","188.1","4.08298349380493","3.9"
"Andy Messersmith","1008799","Angels","P","","276.2","3.50140261650085","3.9"
"Lou Brock","1001458","Cardinals","LF","720","","3.85666728019714","3.9"
"Bud Harrelson","1005387","Mets","SS","618","","3.83977031707764","3.8"
"Bob Robertson","1011024","Pirates","1B","536","","3.82350373268127","3.8"
"Ted Simmons","1011986","Cardinals","C","563","","3.80385208129883","3.8"
"Norm Cash","1002043","Tigers","1B","523","","3.79347825050354","3.8"
"Boog Powell","1010482","Orioles","1B","509","","3.76660943031311","3.8"
"Carl Yastrzemski","1014326","Red Sox","LF","620","","3.76480293273926","3.8"
"Sandy Alomar","1000176","Angels","2B","739","","3.731205701828","3.7"
"Tony Oliva","1009772","Twins","RF","518","","3.72670149803162","3.7"
