"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Willie Mays","1008315","Giants","CF","669","","8.34512901306152","8.3"
"Eddie Mathews","1008236","Braves","3B","671","","7.68436241149902","7.7"
"Roger Maris","1008110","Yankees","RF","578","","7.15578699111938","7.2"
"Ernie Banks","1000512","Cubs","SS","678","","7.00294065475464","7.0"
"Hank Aaron","1000001","Braves","RF","664","","7.00041484832764","7.0"
"Mickey Mantle","1008082","Yankees","CF","644","","6.90946912765503","6.9"
"Jim Bunning","1001653","Tigers","P","","252.0","6.90351629257202","6.5"
"Ken Boyer","1001283","Cardinals","3B","616","","6.42870569229126","6.4"
"Bob Friend","1004355","Pirates","P","","275.2","7.10883903503418","6.4"
"Don Drysdale","1003516","Dodgers","P","","269.0","6.18134069442749","6.4"
"Larry Jackson","1006304","Cardinals","P","","282.0","6.06224536895752","6.3"
"Frank Robinson","1011066","Reds","1B/LF","562","","6.30210018157959","6.3"
"Dick Groat","1005075","Pirates","SS","629","","5.7657732963562","5.8"
"Frank Lary","1007364","Tigers","P","","274.1","5.29876804351807","5.7"
"Ray Herbert","1005684","Athletics","P","","252.2","5.31355285644531","5.4"
"Mike McCormick","1008420","Giants","P","","253.0","5.05756711959839","5.1"
"Don Hoak","1005866","Pirates","3B","636","","5.05151510238647","5.1"
"Luis Aparicio","1000278","White Sox","SS","670","","5.00311946868896","5.0"
"Brooks Robinson","1011055","Orioles","3B","651","","4.90923929214478","4.9"
"Bill Skowron","1012043","Yankees","1B","584","","4.74674987792969","4.7"
"Camilo Pascual","1010039","Senators","P","","151.2","4.34673070907593","4.6"
"Vada Pinson","1010360","Reds","CF","706","","4.58071088790894","4.6"
"Ron Hansen","1005329","Orioles","SS","604","","4.49877214431763","4.5"
"Vern Law","1007410","Pirates","P","","271.2","4.16204690933228","4.4"
"Ernie Broglio","1001463","Cardinals","P","","226.1","4.06523132324219","4.4"
"Pete Runnels","1011303","Red Sox","1B/2B","613","","4.25728845596313","4.3"
"Gene Conley","1002507","Phillies","P","","183.1","4.3843469619751","4.2"
"Bill Monbouquette","1009048","Red Sox","P","","215.0","4.582435131073","4.2"
"Pedro Ramos","1010681","Senators","P","","274.0","4.53443193435669","4.1"
"Woodie Held","1005609","Indians","SS","430","","4.04874277114868","4.0"
"Del Crandall","1002729","Braves","C","596","","3.98709177970886","4.0"
"Sam Jones","1006590","Giants","P","","234.0","3.90301203727722","4.0"
"Nellie Fox","1004281","White Sox","2B","684","","3.95729613304138","4.0"
"Joe Adcock","1000067","Braves","1B","570","","3.95461940765381","4.0"
"Early Wynn","1014309","White Sox","P","","237.1","3.16636371612549","3.9"
