"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Ted Williams","1014040","Red Sox","LF","671","","11.6376504898071","11.6"
"Joe Gordon","1004874","Yankees","2B","625","","8.76867294311523","8.8"
"Charlie Keller","1006768","Yankees","LF","661","","7.25141334533691","7.3"
"Enos Slaughter","1012060","Cardinals","RF","687","","6.78093767166138","6.8"
"Mort Cooper","1002598","Cardinals","P","","278.2","6.67933034896851","6.6"
"Joe DiMaggio","1003311","Yankees","CF","680","","6.54740238189697","6.5"
"Mel Ott","1009904","Giants","RF","664","","6.32876062393188","6.3"
"Johnny Pesky","1010219","Red Sox","SS","686","","6.07101774215698","6.1"
"Bobby Doerr","1003355","Red Sox","2B","625","","6.03174209594727","6.0"
"Bill Nicholson","1009554","Cubs","RF","673","","5.81383228302002","5.8"
"Johnny Mize","1009014","Giants","1B","607","","5.76409387588501","5.8"
"Phil Rizzuto","1011011","Yankees","SS","613","","5.753746509552","5.8"
"Dom DiMaggio","1003310","Red Sox","CF","702","","5.70264625549316","5.7"
"Tex Hughson","1006169","Red Sox","P","","281.0","5.54270839691162","5.6"
"Johnny Vander Meer","1013350","Reds","P","","244.0","5.53332185745239","5.5"
"Stan Musial","1009405","Cardinals","LF","536","","5.46324920654297","5.5"
"Pee Wee Reese","1010776","Dodgers","SS","655","","5.46037769317627","5.5"
"Wally Judnich","1006645","Browns","CF","544","","5.40932559967041","5.4"
"Lonny Frey","1004343","Reds","2B","620","","5.26843500137329","5.3"
"Les Fleming","1004146","Indians","1B","662","","5.1015157699585","5.1"
"Dolph Camilli","1001860","Dodgers","1B","625","","5.04666519165039","5.0"
"Stan Hack","1005183","Cubs","3B","657","","5.0068564414978","5.0"
"Marty Marion","1008108","Cardinals","SS","554","","4.82123899459839","4.8"
"Elbie Fletcher","1004150","Pirates","1B","623","","4.81032991409302","4.8"
"Lou Boudreau","1001234","Indians","SS","604","","4.66305637359619","4.7"
"Pete Reiser","1010814","Dodgers","CF","537","","4.42300271987915","4.4"
"Bucky Walters","1013583","Reds","P","","253.2","4.27959108352661","4.4"
"Chet Laabs","1007229","Browns","RF/LF","614","","4.30904245376587","4.3"
"Bob Johnson","1006428","Athletics","LF","634","","4.16916942596436","4.2"
"Tiny Bonham","1001166","Yankees","P","","226.0","4.52817678451538","4.1"
"Harlond Clift","1002352","Browns","3B","656","","4.13984346389771","4.1"
"Red Ruffing","1011296","Yankees","P","","193.2","3.3966372013092","4.1"
"Whit Wyatt","1014304","Dodgers","P","","217.1","3.96037197113037","4.0"
"Jeff Heath","1005560","Indians","LF","634","","3.93582797050476","3.9"
"Johnny Humphries","1006186","White Sox","P","","228.1","3.42363500595093","3.9"
"Bill Lee","1007447","Cubs","P","","219.2","3.80675458908081","3.9"
"Hal White","1013877","Tigers","P","","216.2","4.00826406478882","3.8"
"Larry French","1004338","Dodgers","P","","147.2","3.18118095397949","3.8"
"Johnny Beazley","1000735","Cardinals","P","","215.1","3.85414695739746","3.7"
"Claude Passeau","1010046","Cubs","P","","278.1","3.70791459083557","3.7"
"Bobo Newsom","1009546","- - -","P","","245.2","4.15944927930832","3.7"
"Ernie Lombardi","1007718","Braves","C","347","","3.65383338928223","3.7"
"Paul Derringer","1003224","Reds","P","","208.2","3.83419346809387","3.6"
"Al Benton","1000853","Tigers","P","","226.2","4.40906763076782","3.6"
