"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Tris Speaker","1012309","Red Sox","CF","675","","10.5950126647949","10.6"
"Walter Johnson","1006511","Senators","P","","369.0","9.27443885803223","10.4"
"Joe Jackson","1006301","Naps","RF","653","","9.14561557769775","9.1"
"Ty Cobb","1002378","Tigers","CF","609","","9.11884880065918","9.1"
"Frank Baker","1000453","Athletics","3B","644","","9.09440040588379","9.1"
"Honus Wagner","1013485","Pirates","SS","634","","8.47169399261475","8.5"
"Joe Wood","1014224","Red Sox","P","","344.0","7.56126499176025","8.3"
"Eddie Collins","1002451","Athletics","2B","673","","8.30984210968018","8.3"
"Heinie Zimmerman","1014444","Cubs","3B","619","","7.59738969802856","7.6"
"Ed Walsh","1013570","White Sox","P","","393.0","6.73156452178955","7.5"
"Christy Mathewson","1008235","Giants","P","","310.0","6.19416284561157","6.8"
"Johnny Evers","1003876","Cubs","2B","568","","6.04027700424194","6.0"
"Larry Gardner","1004528","Red Sox","3B","590","","5.78410148620605","5.8"
"Larry Doyle","1003467","Giants","2B","629","","5.7794394493103","5.8"
"Claude Hendrix","1005638","Pirates","P","","288.2","4.06455326080322","5.6"
"Clyde Milan","1008856","Senators","CF","674","","5.30395650863647","5.3"
"Bill Sweeney","1012771","Braves","2B","699","","5.1903715133667","5.2"
"Nap Rucker","1011281","Dodgers","P","","297.2","4.79604768753052","5.0"
"Stuffy McInnis","1008569","Athletics","1B","649","","5.001389503479","5.0"
"Rube Marquard","1008125","Giants","P","","294.2","4.80811262130737","5.0"
"Pete Alexander","1000128","Phillies","P","","310.1","4.89647626876831","4.9"
"Eddie Foster","1004248","Senators","3B","678","","4.70406579971313","4.7"
"Dode Paskert","1010042","Phillies","CF","649","","4.58179807662964","4.6"
"Chief Wilson","1014066","Pirates","RF/CF","643","","4.5431113243103","4.5"
"Chief Meyers","1008823","Giants","C","435","","4.48645305633545","4.5"
"Nap Lajoie","1007259","Naps","2B","500","","4.47501611709595","4.5"
"George Suggs","1012673","Reds","P","","303.0","4.70005893707275","4.4"
"Vean Gregg","1005022","Naps","P","","271.1","4.63597345352173","4.4"
"Bob Groom","1005081","Senators","P","","316.0","5.0444540977478","4.4"
"Ed Konetchy","1007093","Cardinals","1B","621","","4.1679630279541","4.2"
"Larry Cheney","1002176","Cubs","P","","303.1","3.63634848594666","4.1"
"Donie Bush","1001749","Tigers","SS","643","","4.02577590942383","4.0"
"Max Carey","1001944","Pirates","LF","690","","3.98480916023254","4.0"
"Bob Bescher","1000921","Reds","LF","646","","3.89931344985962","3.9"
"Amos Strunk","1012634","Athletics","CF/LF","487","","3.79429578781128","3.8"
"Jack Warhop","1013628","Highlanders","P","","258.0","3.66822838783264","3.8"
"Jake Daubert","1003005","Dodgers","1B","627","","3.59370613098145","3.6"
"Sam Crawford","1002748","Tigers","RF","644","","3.58735370635986","3.6"
"Russ Ford","1004223","Highlanders","P","","291.2","3.3006911277771","3.6"
"Del Pratt","1010512","Browns","2B","622","","3.5371425151825","3.5"
"Burt Shotton","1011933","Browns","CF","681","","3.53402161598206","3.5"
"Joe Tinker","1013075","Cubs","SS","624","","3.51415491104126","3.5"
"Jack Barry","1000616","Athletics","SS","562","","3.50677299499512","3.5"
"Morrie Rath","1010709","White Sox","2B","709","","3.50354909896851","3.5"
"Buck Herzog","1005745","Giants","3B","563","","3.49613213539124","3.5"
"Otto Hess","1005749","Braves","P","","254.0","3.18970060348511","3.4"
"Rube Benton","1000857","Reds","P","","302.0","4.16694831848145","3.4"
"Slim Sallee","1011385","Cardinals","P","","294.0","3.8673267364502","3.4"
"Danny Moeller","1009021","Senators","RF","586","","3.31018209457397","3.3"
"Hugh Bedient","1000764","Red Sox","P","","231.0","3.05517506599426","3.3"
"Eddie Plank","1010385","Athletics","P","","259.2","2.66697359085083","3.2"
"Hub Perdue","1010178","Braves","P","","249.0","3.92206478118896","3.2"
"Art Fletcher","1004149","Giants","SS","463","","3.17995405197144","3.2"
"Red Ames","1000210","Giants","P","","179.0","3.03181409835815","3.2"
"Red Smith","1012197","Dodgers","3B","560","","3.15796566009521","3.2"
"Earl Hamilton","1005273","Browns","P","","249.2","3.01335787773132","3.1"
"Fred Merkle","1008783","Giants","1B","537","","3.1177031993866","3.1"
"Ad Brennan","1001387","Phillies","P","","174.0","2.68099975585938","3.1"
"Zack Wheat","1013828","Dodgers","LF","505","","3.04460191726685","3.0"
"Jimmy Sheckard","1011843","Cubs","LF","660","","3.03552079200745","3.0"
"Ray Caldwell","1001832","Highlanders","P","","183.1","2.67309665679932","3.0"
"George McConnell","1008406","Highlanders","P","","176.2","2.75956225395203","3.0"
"Chief Bender","1000827","Athletics","P","","171.0","2.98989129066467","3.0"
"Howie Camnitz","1001866","Pirates","P","","276.2","2.92223572731018","3.0"
"Shano Collins","1002466","White Sox","1B/RF","632","","2.94250059127808","2.9"
"Heinie Wagner","1013483","Red Sox","SS","584","","2.94134926795959","2.9"
"Hank Robinson","1011067","Pirates","P","","175.0","2.69843864440918","2.9"
"Joe Lake","1007262","- - -","P","","219.2","3.34497135877609","2.9"
"George Mullin","1009302","Tigers","P","","226.0","1.82787895202637","2.9"
"Miller Huggins","1006148","Cardinals","2B","530","","2.86435294151306","2.9"
"Fred Blanding","1001045","Naps","P","","262.0","2.50360870361328","2.8"
"Ray Collins","1002462","Red Sox","P","","199.1","2.60180306434631","2.8"
"Duffy Lewis","1007579","Red Sox","LF","667","","2.79537558555603","2.8"
"John Titus","1013085","- - -","RF","609","","2.76750820875168","2.8"
"Sherry Magee","1007965","Phillies","LF","555","","2.73959684371948","2.7"
"Babe Adams","1000041","Pirates","P","","170.1","2.36252808570862","2.7"
"Bobby Byrne","1001797","Pirates","3B","598","","2.69591116905212","2.7"
"Eddie Cicotte","1002236","- - -","P","","198.0","2.43362367153168","2.7"
"Chick Gandil","1004476","Senators","1B","492","","2.61710429191589","2.6"
"Gavvy Cravath","1002735","Phillies","RF/LF","502","","2.6132025718689","2.6"
"Jack Coombs","1002583","Athletics","P","","262.1","1.79144167900085","2.6"
"Bert Daniels","1002967","Highlanders","RF/LF","584","","2.56807708740234","2.6"
"Ed Willett","1013966","Tigers","P","","284.1","2.7061562538147","2.6"
"Red Murray","1009397","Giants","RF","603","","2.54350304603577","2.5"
"Art Fromme","1004375","Reds","P","","296.0","3.69802165031433","2.5"
"Terry Turner","1013233","Naps","3B","419","","2.52304339408875","2.5"
"Lefty Tyler","1013252","Braves","P","","256.1","2.74289584159851","2.5"
"Jake Stahl","1012382","Red Sox","1B","380","","2.41135787963867","2.4"
"Rollie Zeider","1014428","White Sox","1B/3B","497","","2.35095453262329","2.4"
"Jack Powell","1010487","Browns","P","","235.1","2.23957872390747","2.3"
"George Baumgardner","1000686","Browns","P","","218.1","2.22464752197266","2.3"
"Buck O'Brien","1009684","Red Sox","P","","275.2","2.65891575813293","2.3"
"Herbie Moran","1009149","Dodgers","RF/CF","591","","2.27233195304871","2.3"
"Tom Seaton","1011706","Phillies","P","","255.0","2.33996653556824","2.3"
"Tommy Leach","1007428","- - -","CF","439","","2.23526293039322","2.2"
"Charley Hall","1005239","Red Sox","P","","191.0","1.41585540771484","2.2"
"Walt Dickson","1003283","Braves","P","","189.0","2.35136342048645","2.2"
"Jeff Tesreau","1012936","Giants","P","","243.0","2.47075343132019","2.1"
"Fred Snodgrass","1012234","Giants","CF/LF","634","","2.13624930381775","2.1"
"Marty O'Toole","1009898","Pirates","P","","275.1","2.05721473693848","2.1"
"Willie Mitchell","1009011","Naps","P","","163.2","2.43328738212585","2.1"
"Eppa Rixey","1011008","Phillies","P","","162.0","2.26687073707581","2.1"
"Ping Bodie","1001112","White Sox","RF/CF","537","","2.03500866889954","2.0"
"Frank Schulte","1011631","Cubs","RF","632","","2.03247213363647","2.0"
"Jean Dubuc","1003519","Tigers","P","","250.0","1.88266146183014","2.0"
"George McBride","1008342","Senators","SS","585","","1.95636391639709","2.0"
"Frank LaPorte","1007340","- - -","2B/RF","451","","1.94886440038681","1.9"
"Beals Becker","1000740","Giants","CF","469","","1.90851879119873","1.9"
"Bill Steen","1012454","Naps","P","","143.1","1.57244658470154","1.9"
"Dick Hoblitzel","1005871","Reds","1B","634","","1.83877682685852","1.8"
"Hooks Wiltse","1014116","Giants","P","","134.0","1.42841470241547","1.8"
"Birdie Cree","1002752","Highlanders","LF","216","","1.79287278652191","1.8"
"Jimmy Lavender","1007390","Cubs","P","","251.2","2.15898418426514","1.8"
"Johnny Bates","1000662","Reds","CF","297","","1.74930500984192","1.7"
"Buster Brown","1001499","Braves","P","","168.1","1.66927635669708","1.7"
"Bob Harmon","1005371","Cardinals","P","","268.0","1.68969333171844","1.7"
"Doc Crandall","1002730","Giants","P","","162.0","1.26456367969513","1.7"
"Art Griggs","1005055","Naps","1B","314","","1.70000767707825","1.7"
"Bill Steele","1012449","Cardinals","P","","194.0","1.5493506193161","1.7"
"Dots Miller","1008885","Pirates","1B","628","","1.67253339290619","1.7"
"Armando Marsans","1008131","Reds","CF","448","","1.64824593067169","1.6"
"Lew Richie","1010923","Cubs","P","","238.0","2.07218503952026","1.6"
"Hans Lobert","1007684","Phillies","3B","286","","1.62300205230713","1.6"
"John Hummel","1006180","Dodgers","2B/RF","470","","1.61759293079376","1.6"
"Jack Lapp","1007341","Athletics","C","303","","1.6112095117569","1.6"
"Steve Evans","1003870","Cardinals","RF","559","","1.58743155002594","1.6"
"Harry Lord","1007761","White Sox","3B","656","","1.58455348014832","1.6"
"Baldy Louden","1007766","Tigers","2B","489","","1.56036281585693","1.6"
"Tillie Shafer","1011780","Giants","3B/SS","203","","1.50740051269531","1.5"
"Frank Lange","1007318","White Sox","P","","165.1","1.16899180412292","1.5"
"Mike Donlin","1003380","Pirates","RF","275","","1.45744919776917","1.5"
"Earl Moore","1009103","Phillies","P","","182.1","1.98375809192657","1.5"
"Tom Hughes","1006163","Senators","P","","196.0","1.3006067276001","1.5"
"Alex McCarthy","1008364","Pirates","2B","450","","1.44295692443848","1.4"
"Jimmy Archer","1000290","Cubs","C","426","","1.44125628471375","1.4"
"Ed Donnelly","1003382","Braves","P","","184.1","1.12322628498077","1.4"
"Gus Williams","1014001","Browns","RF","246","","1.42309486865997","1.4"
"Mordecai Brown","1001547","Cubs","P","","88.2","1.17906284332275","1.4"
"Bert Humphries","1006182","Reds","P","","158.2","1.60415041446686","1.4"
"Arnold Hauser","1005501","Cardinals","SS","542","","1.3804053068161","1.4"
"Ed McDonald","1008457","Braves","3B","540","","1.37209022045135","1.4"
"Pat Ragan","1010650","Dodgers","P","","208.0","2.20949459075928","1.4"
"Rube Oldring","1009764","Athletics","CF","426","","1.32960557937622","1.3"
"Tommy Clarke","1002313","Reds","C","180","","1.32890176773071","1.3"
"Fred Luderus","1007813","Phillies","1B","628","","1.32543981075287","1.3"
"Joe Benz","1000860","White Sox","P","","238.2","1.82123160362244","1.3"
"Josh Devore","1003254","Giants","LF","390","","1.28827238082886","1.3"
"Vic Saier","1011372","Cubs","1B","500","","1.28333115577698","1.3"
"George Cutshaw","1002913","Dodgers","2B","405","","1.2785758972168","1.3"
"Doc White","1013864","White Sox","P","","172.0","1.35592198371887","1.3"
"Jack Quinn","1010605","Highlanders","P","","102.2","1.23646628856659","1.3"
"Bobby Wallace","1013542","Browns","SS","372","","1.24584221839905","1.2"
"Mickey Doolan","1003402","Phillies","SS","589","","1.22825145721436","1.2"
"Jack Lelivelt","1007510","Highlanders","CF","154","","1.20270097255707","1.2"
"Rip Williams","1014033","Senators","C","168","","1.17805254459381","1.2"
"Art Devlin","1003248","Braves","1B","498","","1.17134201526642","1.2"
"George Kahler","1006665","Naps","P","","246.1","1.66337263584137","1.2"
"Buddy Ryan","1011334","Naps","RF/LF","376","","1.15349876880646","1.2"
"Roger Bresnahan","1001396","Cardinals","C","124","","1.14502012729645","1.1"
"Johnny Kling","1007008","Braves","C","274","","1.14306485652924","1.1"
"Harry Hooper","1006002","Red Sox","RF","684","","1.1372195482254","1.1"
"Carl Weilman","1013737","Browns","P","","48.1","1.1712259054184","1.1"
"Roy Hartzell","1005468","Highlanders","3B/RF","495","","1.10025894641876","1.1"
"Frank Allen","1000140","Dodgers","P","","109.0","0.933069050312042","1.1"
"Hippo Vaughn","1013384","- - -","P","","144.0","1.31010979413986","1.1"
"Otto Knabe","1007024","Phillies","2B","494","","1.07862365245819","1.1"
"Ivey Wingo","1014133","Cardinals","C","337","","1.06108856201172","1.1"
"Mike Mowrey","1009271","Cardinals","3B","477","","1.05744552612305","1.1"
"Solly Hofman","1005917","- - -","CF","210","","1.0531819164753","1.1"
"Bill Carrigan","1001991","Red Sox","C","314","","1.04965019226074","1.0"
"Otto Miller","1008918","Dodgers","C","345","","1.0325129032135","1.0"
"Babe Borton","1001209","White Sox","1B","118","","1.02276957035065","1.0"
"Charlie Smith","1012110","Cubs","P","","94.0","0.901764690876007","1.0"
"Hub Northen","1009639","Dodgers","RF/CF","466","","0.95247608423233","1.0"
"Lee Magee","1007964","Cardinals","LF","523","","0.941888332366943","0.9"
"Wally Mattick","1008265","White Sox","CF","334","","0.916904866695404","0.9"
"Hick Cady","1001813","Red Sox","C","155","","0.89539510011673","0.9"
"Ralph Works","1014258","- - -","P","","166.2","1.27509452402592","0.9"
"Ted Easterly","1003643","- - -","C","257","","0.878830552101135","0.9"
"Jim Delahanty","1003157","Tigers","2B/LF","323","","0.866585969924927","0.9"
"Art Wilson","1014059","Giants","C","140","","0.833676636219025","0.8"
"Ed Phelps","1010276","Dodgers","C","133","","0.831691980361938","0.8"
"Lefty Leifield","1007494","- - -","P","","94.1","0.941774599254131","0.8"
