"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Ty Cobb","1002378","Tigers","CF","700","","9.77986240386963","9.8"
"Pete Alexander","1000128","Phillies","P","","376.1","9.59527397155762","9.5"
"Eddie Collins","1002451","White Sox","2B","680","","9.34618473052979","9.3"
"Walter Johnson","1006511","Senators","P","","336.2","8.22642993927002","8.5"
"Benny Kauff","1006715","Tip-Tops","CF","581","","8.42485332489014","8.4"
"Dave Davenport","1003016","Terriers","P","","392.2","8.63863658905029","7.5"
"Eddie Plank","1010385","Terriers","P","","268.1","6.47317123413086","7.0"
"Gavvy Cravath","1002735","Phillies","RF","621","","6.95474720001221","7.0"
"Tris Speaker","1012309","Red Sox","CF","652","","6.46976852416992","6.5"
"Doc Crandall","1002730","Terriers","P","","312.2","4.51032161712646","6.4"
"Dick Rudolph","1011284","Braves","P","","341.1","5.66362905502319","6.3"
"Ed Konetchy","1007093","Rebels","1B","636","","6.17715406417847","6.2"
"Jack Fournier","1004264","White Sox","1B/LF","514","","5.95474290847778","6.0"
"Dutch Zwilling","1014467","Whales","CF","635","","5.63554239273071","5.6"
"Jeff Tesreau","1012936","Giants","P","","306.0","5.06856107711792","5.6"
"Heinie Groh","1005078","Reds","3B","677","","5.50137329101563","5.5"
"Honus Wagner","1013485","Pirates","SS","625","","5.47304058074951","5.5"
"Fred Luderus","1007813","Phillies","1B","560","","5.44936180114746","5.4"
"Red Faber","1003889","White Sox","P","","299.2","4.77926301956177","5.4"
"Harry Coveleski","1002681","Tigers","P","","312.2","5.24090385437012","5.1"
"Bill Hinchman","1005839","Pirates","RF","649","","4.85501575469971","4.9"
"Ray Caldwell","1001832","Yankees","P","","305.0","3.6806697845459","4.8"
"Claude Cooper","1002593","Tip-Tops","LF","621","","4.76108455657959","4.8"
"Buck Herzog","1005745","Reds","SS","641","","4.75614547729492","4.8"
"Bobby Veach","1013388","Tigers","LF","659","","4.74192476272583","4.7"
"Bert Gallia","1004460","Senators","P","","259.2","4.78794813156128","4.7"
"Larry Doyle","1003467","Giants","2B","641","","4.66367530822754","4.7"
"Sherry Magee","1007965","Braves","CF","655","","4.63143301010132","4.6"
"Ward Miller","1008939","Terriers","LF","646","","4.62763595581055","4.6"
"Willie Mitchell","1009011","Indians","P","","236.0","5.0263991355896","4.6"
"Tom Hughes","1006164","Braves","P","","280.1","4.97174263000488","4.5"
"Guy Morton","1009232","Indians","P","","240.0","4.95651149749756","4.5"
"Hooks Dauss","1003011","Tigers","P","","309.2","4.16551542282104","4.4"
"Max Flack","1004124","Whales","RF/LF","583","","4.42597913742065","4.4"
"Art Wilson","1014059","Whales","C","351","","4.39642715454102","4.4"
"Burt Shotton","1011933","Browns","LF","685","","4.34612131118774","4.3"
"Jack Tobin","1013088","Terriers","RF","716","","4.33432531356812","4.3"
"Mike Mowrey","1009271","Rebels","3B","613","","4.32751560211182","4.3"
"Les Mann","1008073","Whales","RF/LF","516","","4.26226711273193","4.3"
"Eddie Cicotte","1002236","White Sox","P","","223.1","3.95940017700195","4.2"
"Reb Russell","1011321","White Sox","P","","229.1","3.96294498443604","4.2"
"Ossie Vitt","1013444","Tigers","3B","686","","4.11430549621582","4.1"
"Vic Saier","1011372","Cubs","1B","568","","4.06814050674438","4.1"
"Del Pratt","1010512","Browns","2B","663","","4.0455756187439","4.0"
"Red Smith","1012197","Braves","3B","636","","4.01068496704102","4.0"
"Dave Bancroft","1000503","Phillies","SS","665","","3.99725723266602","4.0"
"Hippo Vaughn","1013384","Cubs","P","","269.2","3.89311361312866","4.0"
"Sam Crawford","1002748","Tigers","RF","694","","3.96464681625366","4.0"
"Jack Quinn","1010605","Terrapins","P","","273.2","3.86002969741821","3.9"
"Gene Packard","1009939","Packers","P","","281.2","3.59602355957031","3.9"
"Jimmy Esmond","1003826","Pepper","SS","663","","3.91778206825256","3.9"
"Ray Chapman","1002151","Indians","SS","669","","3.91548919677734","3.9"
"Jake Daubert","1003005","Robins","1B","641","","3.89818429946899","3.9"
"Ed Reulbach","1010850","Pepper","P","","270.0","3.99064183235168","3.9"
"Babe Ruth","1011327","Red Sox","P","","217.2","2.51771759986877","3.9"
