"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Roger Clemens","815","Red Sox","P","","264.0","9.16152000427246","9.2"
"Wade Boggs","1001124","Red Sox","3B","719","","8.64999389648438","8.6"
"Mike Greenwell","1005006","Red Sox","LF","693","","7.77143621444702","7.8"
"Jose Canseco","1001918","Athletics","RF","705","","7.59371757507324","7.6"
"Kirby Puckett","1010557","Twins","CF","691","","7.12199020385742","7.1"
"Fred McGriff","293","Blue Jays","1B","623","","6.61029386520386","6.6"
"Dave Henderson","1005630","Athletics","CF","570","","6.39918327331543","6.4"
"Andy Van Slyke","1013363","Pirates","CF","659","","6.38363742828369","6.4"
"Greg Swindell","76","Indians","P","","242.0","6.33678102493286","6.3"
"Dwight Gooden","1004852","Mets","P","","248.1","5.98801136016846","6.3"
"Barry Larkin","335","Reds","SS","652","","6.31054210662842","6.3"
"Frank Viola","1013435","Twins","P","","255.1","6.26309108734131","6.3"
"Mark Gubicza","1005115","Royals","P","","269.2","6.18023920059204","6.2"
"Kirk Gibson","1004669","Dodgers","LF","632","","6.16689968109131","6.2"
"Teddy Higuera","1005799","Brewers","P","","227.1","5.85432720184326","5.9"
"Ozzie Smith","1012186","Cardinals","SS","669","","5.82914352416992","5.8"
"Brett Butler","1001772","Giants","CF","679","","5.81825590133667","5.8"
"Will Clark","1002318","Giants","1B","689","","5.73571872711182","5.7"
"Andres Galarraga","1390","Expos","1B","661","","5.60430479049683","5.6"
"Tim Leary","1007438","Dodgers","P","","228.2","4.70048856735229","5.5"
"Rickey Henderson","194","Yankees","LF","647","","5.46409511566162","5.5"
"David Cone","1680","Mets","P","","231.1","5.30150270462036","5.5"
"Robin Yount","1014396","Brewers","CF","696","","5.45343685150146","5.5"
"Bret Saberhagen","1011355","Royals","P","","260.2","5.45063495635986","5.5"
"Barry Bonds","1109","Pirates","LF","614","","5.40035390853882","5.4"
"George Brett","1001400","Royals","1B","681","","5.30724191665649","5.3"
"Paul Molitor","1009040","Brewers","3B/DH","690","","5.30093574523926","5.3"
"Alan Trammell","1013157","Tigers","SS","523","","5.29014825820923","5.3"
"Darryl Strawberry","1012606","Mets","RF","640","","5.27177000045776","5.3"
"Kelly Gruber","1005107","Blue Jays","3B","623","","5.26251697540283","5.3"
"Danny Jackson","1006295","Reds","P","","260.2","5.22061014175415","5.2"
"Ellis Burks","372","Red Sox","CF","615","","5.17348957061768","5.2"
"Bob Ojeda","1009756","Mets","P","","190.1","5.05727577209473","5.2"
"Bobby Bonilla","1001168","Pirates","3B","681","","5.09916877746582","5.1"
"Dave Stewart","1012519","Athletics","P","","275.2","5.06043910980225","5.1"
