"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Joe Morgan","1009179","Reds","2B","599","","9.5182466506958","9.5"
"Mike Schmidt","1011586","Phillies","3B","705","","8.30944347381592","8.3"
"Graig Nettles","1009517","Yankees","3B","656","","8.08224868774414","8.1"
"Vida Blue","1001094","Athletics","P","","298.1","7.6360068321228","7.6"
"Pete Rose","1011217","Reds","3B","759","","7.40059566497803","7.4"
"George Brett","1001400","Royals","3B","705","","6.96124410629272","7.0"
"Bert Blyleven","1001098","- - -","P","","297.2","6.68515515327454","6.7"
"Tom Seaver","1011708","Mets","P","","271.0","6.76682472229004","6.5"
"Ron Cey","1002108","Dodgers","3B","600","","6.39455413818359","6.4"
"Rod Carew","1001942","Twins","1B","687","","6.36186599731445","6.4"
"George Foster","1004250","Reds","CF/LF","627","","6.32290506362915","6.3"
"Garry Maddox","1007948","Phillies","CF","586","","6.30955028533936","6.3"
"Frank Tanana","1012818","Angels","P","","288.1","6.04528093338013","6.0"
"Bobby Grich","1005033","Orioles","2B","615","","5.74876594543457","5.7"
"Mark Belanger","1000786","Orioles","SS","589","","5.6430835723877","5.6"
"Mickey Rivers","1011005","Yankees","CF","613","","5.54173946380615","5.5"
"Rick Reuschel","1010852","Cubs","P","","260.0","4.83891820907593","5.4"
"Steve Carlton","1001964","Phillies","P","","252.2","5.10519742965698","5.4"
"Nolan Ryan","1011348","Angels","P","","284.1","5.34211778640747","5.3"
"Cesar Cedeno","1002100","Astros","CF","635","","5.33763456344604","5.3"
"Jerry Koosman","1007103","Mets","P","","247.1","4.89558506011963","5.2"
"Roy White","1013890","Yankees","LF","728","","5.13448572158813","5.1"
"Sal Bando","1000505","Athletics","3B","640","","5.10521841049194","5.1"
"Gaylord Perry","1010210","Rangers","P","","250.1","5.09024667739868","5.1"
"John Montefusco","1009065","Giants","P","","253.1","5.19022178649902","4.9"
"Jon Matlack","1008246","Mets","P","","262.0","4.40544366836548","4.9"
"Reggie Jackson","1006308","Orioles","RF","558","","4.84063005447388","4.8"
"Johnny Bench","1000826","Reds","C","552","","4.78221845626831","4.8"
"Bill Madlock","1007957","Cubs","3B","588","","4.78096961975098","4.8"
"Mark Fidrych","1004023","Tigers","P","","250.1","4.65045022964478","4.7"
"Dave Winfield","1014127","Padres","RF","567","","4.62956380844116","4.6"
"Willie Randolph","1010694","Yankees","2B","500","","4.62502765655518","4.6"
"Richie Zisk","1014455","Pirates","LF","641","","4.62420034408569","4.6"
"Dave Concepcion","1002494","Reds","SS","636","","4.60379219055176","4.6"
"Thurman Munson","1009334","Yankees","C","665","","4.59116888046265","4.6"
"Steve Garvey","1004557","Dodgers","1B","696","","4.57825422286987","4.6"
"Steve Rogers","1011138","Expos","P","","230.0","4.82220983505249","4.6"
"Dennis Eckersley","1003660","Indians","P","","199.1","4.55143642425537","4.6"
"Hal McRae","1008687","Royals","DH","609","","4.42672109603882","4.4"
"Phil Niekro","1009583","Braves","P","","270.2","4.32703733444214","4.4"
"Jose Cruz","1002841","Astros","RF/LF","496","","4.28227806091309","4.3"
"Jay Johnstone","1006463","Phillies","RF","491","","4.2311863899231","4.2"
"Carlton Fisk","1004101","Red Sox","C","557","","4.20964193344116","4.2"
"Jim Palmer","1009973","Orioles","P","","315.0","4.20488929748535","4.2"
"Jim Slaton","1012054","Brewers","P","","292.2","4.12466192245483","4.1"
"Rollie Fingers","1004051","Athletics","P","","134.2","4.10710954666138","4.1"
"Ken Griffey","1005044","Reds","RF","628","","4.09784603118896","4.1"
"Ron LeFlore","1007478","Tigers","CF","603","","4.07222080230713","4.1"
"Chris Chambliss","1002119","Yankees","1B","675","","4.05537414550781","4.1"
"Toby Harrah","1005384","Rangers","SS","688","","4.00634860992432","4.0"
"Bert Campaneris","1001868","Athletics","SS","631","","3.96425724029541","4.0"
"Catfish Hunter","1006199","Yankees","P","","298.2","3.94863390922546","3.9"
"Gene Tenace","1012911","Athletics","C/1B","508","","3.91804480552673","3.9"
"Fred Lynn","1007872","Red Sox","CF","566","","3.91705369949341","3.9"
"Rick Monday","1009051","Cubs","CF","601","","3.87960696220398","3.9"
"Al Oliver","1009773","Pirates","CF","481","","3.87396478652954","3.9"
