"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Jack Chesbro","1002179","Highlanders","P","","454.2","8.54079532623291","9.4"
"Honus Wagner","1013485","Pirates","SS","558","","8.97594833374023","9.0"
"Nap Lajoie","1007259","Naps","2B/SS","594","","8.77543544769287","8.8"
"Rube Waddell","1013467","Athletics","P","","383.0","9.18646812438965","8.5"
"Cy Young","1014369","Americans","P","","380.0","7.67680597305298","8.1"
"Christy Mathewson","1008235","Giants","P","","367.2","6.71286535263062","7.5"
"George Davis","1003049","White Sox","SS","626","","6.63441467285156","6.6"
"Elmer Flick","1004158","Naps","RF","659","","6.58801746368408","6.6"
"Frank Chance","1002131","Cubs","1B","514","","6.26192045211792","6.3"
"Bill Bradley","1001304","Naps","3B","667","","6.25785064697266","6.3"
"Noodles Hahn","1005205","Reds","P","","297.2","6.0692720413208","6.2"
"Freddy Parent","1009992","Americans","SS","653","","5.97454261779785","6.0"
"Bill Dahlen","1002924","Giants","SS","579","","5.85431575775146","5.9"
"Eddie Plank","1010385","Athletics","P","","357.1","5.22165489196777","5.7"
"Art Devlin","1003248","Giants","3B","562","","5.43682050704956","5.4"
"Kid Nichols","1009564","Cardinals","P","","317.0","5.43097400665283","5.4"
"Roy Thomas","1012992","Phillies","CF","610","","5.2061014175415","5.2"
"Bobby Wallace","1013542","Browns","SS","593","","5.07113933563232","5.1"
"Jimmy Collins","1002455","Americans","3B","676","","4.99444627761841","5.0"
"Dan McGann","1008501","Giants","1B","593","","4.92366600036621","4.9"
"Danny Murphy","1009352","Athletics","2B","594","","4.85101938247681","4.9"
"Sam Mertes","1008794","Giants","LF","611","","4.67151594161987","4.7"
"Jack Harper","1005380","Reds","P","","293.2","4.88148260116577","4.7"
"Willie Keeler","1006747","Highlanders","RF","612","","4.51819849014282","4.5"
"Chick Stahl","1012381","Americans","CF","681","","4.51743650436401","4.5"
"Jake Weimer","1013738","Cubs","P","","307.0","4.65240430831909","4.5"
"Cy Seymour","1011777","Reds","CF","570","","4.49808073043823","4.5"
"Joe McGinnity","1008527","Giants","P","","408.0","4.61053943634033","4.5"
"Kid Elberfeld","1003722","Highlanders","SS","511","","4.47303295135498","4.5"
"Harry Davis","1003053","Athletics","1B","435","","4.39622020721436","4.4"
"Bill Dineen","1003317","Americans","P","","335.2","4.16372013092041","4.4"
"Danny Green","1004988","White Sox","RF","622","","4.34295177459717","4.3"
"Jake Beckley","1000754","Cardinals","1B","610","","4.30461359024048","4.3"
"Jack Powell","1010487","Highlanders","P","","390.1","4.53916358947754","4.3"
"Bill Bernhard","1000891","Naps","P","","320.2","4.16720581054688","4.2"
"Chief Bender","1000827","Athletics","P","","203.2","3.65279316902161","4.2"
"Harry Lumley","1007830","Superbas","RF","633","","4.14665937423706","4.1"
"Tommy Leach","1007428","Pirates","3B","633","","4.02985572814941","4.0"
"Fred Glade","1004753","Browns","P","","289.0","3.74112963676453","4.0"
"Bob Ewing","1003880","Reds","P","","212.0","3.67198634147644","4.0"
"Roger Bresnahan","1001396","Giants","CF","468","","3.97966408729553","4.0"
"Mike Grady","1004917","Cardinals","C","363","","3.80105257034302","3.8"
"Red Donahue","1003373","Naps","P","","277.0","3.78245234489441","3.8"
"George Mullin","1009302","Tigers","P","","382.1","2.78998827934265","3.8"
"Jack Taylor","1012879","Cardinals","P","","352.0","3.19203925132751","3.7"
"Sam Leever","1007470","Pirates","P","","253.1","2.94029998779297","3.7"
"Harry Howell","1006097","Browns","P","","299.2","2.9974513053894","3.7"
"Jesse Tannehill","1012822","Americans","P","","281.2","3.68548321723938","3.7"
"Billy Gilbert","1004686","Giants","2B","557","","3.69578909873962","3.7"
"Lee Tannehill","1012823","White Sox","3B","586","","3.65342593193054","3.7"
"Vic Willis","1014042","Beaneaters","P","","350.0","4.15730571746826","3.6"
"Charlie Babb","1000393","Superbas","SS","595","","3.62644720077515","3.6"
"Wid Conroy","1002544","Highlanders","3B","556","","3.60384035110474","3.6"
"Johnny Evers","1003876","Cubs","2B","587","","3.59385180473328","3.6"
"Joe Tinker","1013075","Cubs","SS","531","","3.56918168067932","3.6"
"Jesse Burkett","1001682","Browns","LF","661","","3.55831241607666","3.6"
"Kip Selbach","1011731","- - -","LF","639","","3.55649352073669","3.6"
"Win Kellum","1006791","Reds","P","","224.2","3.64364838600159","3.5"
"Claude Ritchey","1010987","Pirates","2B","623","","3.45181107521057","3.5"
"Fielder Jones","1006555","White Sox","CF","641","","3.4067804813385","3.4"
"John Titus","1013085","Phillies","LF","565","","3.37096738815308","3.4"
"Ginger Beaumont","1000733","Pirates","CF","673","","3.31526112556458","3.3"
"Jimmy Williams","1014005","Highlanders","2B","612","","3.25514197349548","3.3"
"Fred Odwell","1009735","Reds","LF","515","","3.23268032073975","3.2"
"Socks Seybold","1011775","Athletics","RF","572","","3.22364664077759","3.2"
"Lave Cross","1002808","Athletics","3B","639","","3.22282719612122","3.2"
"Spike Shannon","1011800","Cardinals","RF","582","","3.16882729530334","3.2"
"Dave Brain","1001335","Cardinals","SS","514","","3.1678614616394","3.2"
"Dummy Taylor","1012867","Giants","P","","296.1","3.78112030029297","3.2"
"Weldon Henley","1005652","Athletics","P","","295.2","2.79876470565796","3.2"
"Miller Huggins","1006148","Reds","2B","596","","3.12572026252747","3.1"
"Fred Tenney","1012916","Beaneaters","1B","621","","3.11014628410339","3.1"
"Buck Freeman","1004316","Americans","RF","652","","3.07994985580444","3.1"
"Mike Donlin","1003380","- - -","LF","407","","3.07775664329529","3.1"
"Deacon Phillippe","1010287","Pirates","P","","166.2","3.43535614013672","3.0"
"Carl Lundgren","1007836","Cubs","P","","242.0","2.54176998138428","3.0"
"Mike O'Neill","1009816","Cardinals","P","","220.0","2.68607378005981","3.0"
"Charlie Hickman","1005773","- - -","1B/2B","520","","2.92750951647758","2.9"
"Frank Owen","1009916","White Sox","P","","315.0","2.10021018981934","2.9"
"Chappie McFarland","1008489","Cardinals","P","","269.1","3.15177631378174","2.9"
"Danny Shay","1011827","Cardinals","SS","389","","2.87414383888245","2.9"
"Jimmy Barrett","1000596","Tigers","CF","714","","2.85621500015259","2.9"
"Billy Lush","1007845","Naps","LF","577","","2.82942748069763","2.8"
"Buttons Briggs","1001424","Cubs","P","","277.0","2.85604739189148","2.8"
"Homer Smoot","1012220","Cardinals","CF","573","","2.78896427154541","2.8"
"Case Patten","1010056","Senators","P","","357.2","3.21679043769836","2.8"
"Jim Delahanty","1003157","Beaneaters","3B","541","","2.79861354827881","2.8"
"Earl Moore","1009103","Naps","P","","227.2","2.90396952629089","2.8"
"Patsy Flaherty","1004129","- - -","P","","285.0","2.11233104020357","2.7"
"John Anderson","1000232","Highlanders","CF/LF","598","","2.69093942642212","2.7"
"George Browne","1001519","Giants","RF","661","","2.67202925682068","2.7"
"Joe Kelley","1006776","Reds","1B","519","","2.67180943489075","2.7"
"Emmet Heidrick","1005587","Browns","CF","578","","2.62937879562378","2.6"
"Ducky Holmes","1005976","White Sox","LF","277","","2.61585211753845","2.6"
"Jake Stahl","1012382","Senators","1B","567","","2.57470536231995","2.6"
"Bob Wicker","1013916","Cubs","P","","229.0","2.30508899688721","2.6"
"Topsy Hartsel","1005464","Athletics","LF","624","","2.43880486488342","2.4"
"Mordecai Brown","1001547","Cubs","P","","212.1","2.64115285873413","2.4"
"Sam Crawford","1002748","Tigers","RF","617","","2.41541981697083","2.4"
"Fred Clarke","1002280","Pirates","LF","313","","2.40909290313721","2.4"
"Doc Casey","1002038","Cubs","3B","593","","2.36579775810242","2.4"
"John Ganzel","1004486","Highlanders","1B","502","","2.35570597648621","2.4"
"Patsy Dougherty","1003430","- - -","LF","701","","2.35189700126648","2.4"
"Doc Gessler","1004642","Superbas","CF","381","","2.30946207046509","2.3"
"Ed Killian","1006908","Tigers","P","","331.2","2.53682112693787","2.3"
"Harry Bay","1000698","Naps","CF","563","","2.29978322982788","2.3"
"Al Orth","1009857","- - -","P","","211.1","2.62108696997166","2.3"
"Frank Smith","1012139","White Sox","P","","202.1","1.67510008811951","2.3"
"Tom Walker","1013535","Reds","P","","217.0","2.78459763526917","2.2"
"Dave Fultz","1004404","Highlanders","CF","382","","2.22253012657166","2.2"
"John Farrell","1003947","Cardinals","2B","562","","2.19863867759705","2.2"
"Charlie Case","1002032","Pirates","P","","141.0","2.09558010101318","2.2"
"Matty McIntyre","1008573","Tigers","LF","654","","2.15660810470581","2.2"
"Nick Altrock","1000191","White Sox","P","","307.0","2.39424514770508","2.2"
"Moose McCormick","1008421","- - -","RF/CF","480","","2.14985024929047","2.1"
"Jimmy Sheckard","1011843","Superbas","LF","583","","2.1438684463501","2.1"
"Oscar Jones","1006580","Superbas","P","","377.0","2.10116696357727","2.1"
"Mike Lynch","1007867","Pirates","P","","222.2","1.66060316562653","2.1"
"Nixey Callahan","1001847","White Sox","LF","555","","2.06527042388916","2.1"
"Addie Joss","1006630","Naps","P","","192.1","2.77309036254883","2.0"
"Red Ames","1000210","Giants","P","","115.0","2.18935465812683","2.0"
"Tully Sparks","1012306","Phillies","P","","200.2","2.57140159606934","2.0"
"Cozy Dolan","1003360","Reds","RF","522","","1.97446322441101","2.0"
"Bill Donovan","1003393","Tigers","P","","293.0","1.91689169406891","2.0"
"Lew Drill","1003502","- - -","C","355","","1.91134065389633","1.9"
"Pop Dillon","1003307","Superbas","1B","561","","1.88565385341644","1.9"
"Joe Sugden","1012672","Browns","C/1B","391","","1.85175979137421","1.9"
"Rabbit Robinson","1011075","Tigers","3B/SS","368","","1.83424150943756","1.8"
"Tom Hughes","1006163","- - -","P","","260.2","1.62638378143311","1.8"
"Ed Abbaticchio","1000005","Beaneaters","SS","637","","1.8074893951416","1.8"
"Chick Fraser","1004305","Phillies","P","","302.0","2.40770530700684","1.8"
"Jack Dunn","1003573","Giants","3B","199","","1.91510713100433","1.7"
"Jimmy Slagle","1012048","Cubs","LF","532","","1.69538962841034","1.7"
