"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Ted Williams","1014040","Red Sox","LF","693","","10.4744539260864","10.5"
"Ralph Kiner","1006923","Pirates","LF","666","","8.24071502685547","8.2"
"Hal Newhouser","1009535","Tigers","P","","285.0","6.92712879180908","7.4"
"Lou Boudreau","1001234","Indians","SS","623","","7.30968332290649","7.3"
"Joe Gordon","1004874","Indians","2B","626","","6.8935341835022","6.9"
"Johnny Mize","1009014","Giants","1B","664","","6.81913805007935","6.8"
"Ewell Blackwell","1001013","Reds","P","","273.0","7.58205461502075","6.8"
"Bob Elliott","1003733","Braves","3B","645","","6.38425254821777","6.4"
"Johnny Sain","1011373","Braves","P","","266.0","4.98907375335693","6.3"
"Pee Wee Reese","1010776","Dodgers","SS","590","","6.1909351348877","6.2"
"Harry Walker","1013521","- - -","CF","598","","5.91524337232113","5.9"
"Warren Spahn","1012299","Braves","P","","289.2","6.00858783721924","5.9"
"Whitey Kurowski","1007215","Cardinals","3B","614","","5.85554122924805","5.9"
"Fred Hutchinson","1006238","Tigers","P","","219.2","4.39135980606079","5.8"
"Walker Cooper","1002601","Giants","C","546","","5.06309700012207","5.1"
"Willard Marshall","1008148","Giants","RF","656","","5.01211071014404","5.0"
"Red Munger","1009320","Cardinals","P","","224.1","5.00816535949707","5.0"
"Bob Feller","1003975","Indians","P","","299.0","4.58581161499023","4.9"
"Joe DiMaggio","1003311","Yankees","CF","601","","4.90000343322754","4.9"
"Dutch Leonard","1007533","Phillies","P","","235.0","4.93637037277222","4.8"
"Tommy Henrich","1005664","Yankees","RF","629","","4.68597507476807","4.7"
"George McQuinn","1008683","Yankees","1B","609","","4.54797124862671","4.5"
"Stan Musial","1009405","Cardinals","1B","677","","4.51468420028687","4.5"
"Joe Dobson","1003344","Red Sox","P","","228.2","4.21634674072266","4.5"
"Roy Cullenbine","1002861","Tigers","1B","607","","4.43506956100464","4.4"
"Johnny Pesky","1010219","Red Sox","SS","719","","4.42606163024902","4.4"
"Luke Appling","1000284","White Sox","SS","572","","4.40551805496216","4.4"
"George Kell","1006783","Tigers","3B","662","","4.2160816192627","4.2"
"Walt Masterson","1008230","Senators","P","","253.0","4.40471982955933","4.2"
"Ferris Fain","1003902","Athletics","1B","567","","4.15302991867065","4.2"
"Ralph Branca","1001343","Dodgers","P","","280.0","4.63741493225098","4.1"
"Dizzy Trout","1013196","Tigers","P","","186.1","3.61081290245056","4.1"
"Vern Stephens","1012501","Browns","SS","634","","4.01573324203491","4.0"
"Larry Jansen","1006358","Giants","P","","248.0","4.10646963119507","4.0"
"Ed Lopat","1007748","White Sox","P","","252.2","3.79146695137024","3.9"
"Al Brazle","1001371","Cardinals","P","","168.0","3.90294551849365","3.9"
"Harry Brecheen","1001375","Cardinals","P","","223.1","3.3813328742981","3.9"
"Phil Rizzuto","1011011","Yankees","SS","623","","3.88222932815552","3.9"
"Bobby Doerr","1003355","Red Sox","2B","624","","3.82949328422546","3.8"
"Dixie Walker","1013512","Dodgers","RF","637","","3.80573153495789","3.8"
"Stan Spence","1012328","Senators","CF","588","","3.68642687797546","3.7"
"Augie Galan","1004440","Reds","LF","491","","3.67495894432068","3.7"
"Barney McCosky","1008422","Athletics","LF","616","","3.66281080245972","3.7"
"Murry Dickson","1003282","Cardinals","P","","231.2","3.673415184021","3.6"
"Jackie Robinson","1011070","Dodgers","1B","701","","3.54141926765442","3.5"
"Early Wynn","1014309","Senators","P","","247.0","2.56714081764221","3.5"
"Earl Torgeson","1013124","Braves","1B","484","","3.5391902923584","3.5"
"Jeff Heath","1005560","Browns","LF","582","","3.49734663963318","3.5"
"Eddie Stanky","1012406","Dodgers","2B","679","","3.47973322868347","3.5"
"Dom DiMaggio","1003310","Red Sox","CF","599","","3.47317481040955","3.5"
"Spud Chandler","1002133","Yankees","P","","128.0","3.00882267951965","3.5"
"Snuffy Stirnweiss","1012546","Yankees","2B","673","","3.43624305725098","3.4"
"Hank Majeski","1008006","Athletics","3B","545","","3.40555691719055","3.4"
"Johnny Schmitz","1011585","Cubs","P","","207.0","3.72219967842102","3.4"
"Pete Reiser","1010814","Dodgers","CF/LF","462","","3.35683059692383","3.4"
"Schoolboy Rowe","1011259","Phillies","P","","195.2","2.23780202865601","3.3"
"Phil Masi","1008212","Braves","C","470","","3.30537796020508","3.3"
"Bill Nicholson","1009554","Cubs","RF","580","","3.28744506835938","3.3"
"Enos Slaughter","1012060","Cardinals","LF","619","","3.21440768241882","3.2"
"Hank Greenberg","1004996","Pirates","1B","510","","3.20893836021423","3.2"
"Tommy Holmes","1005980","Braves","RF","676","","3.18784356117249","3.2"
"Ellis Kinder","1006922","Browns","P","","194.1","3.58698844909668","3.2"
"Grady Hatton","1005496","Reds","3B","610","","3.1348888874054","3.1"
"Joe Hatten","1005495","Dodgers","P","","225.1","3.07496523857117","3.1"
"Dave Ferriss","1004012","Red Sox","P","","218.1","2.08958077430725","3.1"
"Bobby Thomson","1013032","Giants","CF","591","","3.06020450592041","3.1"
"Joe Haynes","1005534","White Sox","P","","182.0","2.7469277381897","3.0"
"Elmer Valo","1013335","Athletics","RF","450","","2.91665124893188","2.9"
"Hoot Evers","1003875","Tigers","CF","525","","2.91280651092529","2.9"
"Andy Pafko","1009948","Cubs","CF","550","","2.86426734924316","2.9"
"Virgil Trucks","1013203","Tigers","P","","180.2","2.50515913963318","2.9"
"Phil Marchildon","1008102","Athletics","P","","276.2","2.91829490661621","2.8"
"Bobo Newsom","1009546","- - -","P","","199.1","3.08068192005157","2.8"
"Eddie Miller","1008892","Reds","SS","602","","2.8225531578064","2.8"
"Bruce Edwards","1003683","Dodgers","C","528","","2.80312347412109","2.8"
"Frankie Gustine","1005152","Pirates","3B","691","","2.6739490032196","2.7"
"Vic Lombardi","1007722","Dodgers","P","","174.2","2.46607756614685","2.6"
"Ken Keltner","1006821","Indians","3B","613","","2.61423325538635","2.6"
"Pat Mullin","1009308","Tigers","RF","467","","2.59180998802185","2.6"
"Eddie Joost","1006604","Athletics","SS","682","","2.58193421363831","2.6"
"Dick Fowler","1004270","Athletics","P","","227.1","2.85066533088684","2.6"
"Floyd Baker","1000452","White Sox","3B","439","","2.47235107421875","2.5"
"Red Barrett","1000600","Braves","P","","210.2","2.90808129310608","2.4"
"Bob Muncrief","1009317","Browns","P","","176.1","2.77689218521118","2.4"
"Bill Rigney","1010960","Giants","2B/3B","596","","2.40021824836731","2.4"
"Denny Galehouse","1004443","- - -","P","","181.1","3.04090309143066","2.4"
"Buddy Kerr","1006870","Giants","SS","596","","2.36878657341003","2.4"
"Marty Marion","1008108","Cardinals","SS","599","","2.3613440990448","2.4"
"Spider Jorgensen","1006625","Dodgers","3B","506","","2.34766840934753","2.3"
"Tex Hughson","1006169","Red Sox","P","","189.1","3.00594258308411","2.3"
"Carl Furillo","1004409","Dodgers","CF","476","","2.27671480178833","2.3"
"Art Houtteman","1006066","Tigers","P","","110.2","2.00504541397095","2.3"
"Andy Seminick","1011742","Phillies","C","405","","2.25229454040527","2.3"
"Howie Pollet","1010423","Cardinals","P","","176.1","2.06790256500244","2.2"
"Dick Wakefield","1013498","Tigers","LF","453","","2.2344012260437","2.2"
"Mickey Haefner","1005189","Senators","P","","193.0","2.275071144104","2.2"
"Spec Shea","1011841","Yankees","P","","178.2","1.94037115573883","2.2"
"Jim Hearn","1005556","Cardinals","P","","162.0","2.41169285774231","2.2"
"Connie Ryan","1011335","Braves","2B","627","","2.17267608642578","2.2"
"Earl Johnson","1006450","Red Sox","P","","142.1","1.9191929101944","2.2"
"Joe Page","1009951","Yankees","P","","141.1","1.96518671512604","2.2"
"Johnny Lindell","1007619","Yankees","LF","513","","2.14261317253113","2.1"
"Sam Chapman","1002152","Athletics","CF","624","","2.12954950332642","2.1"
"Bob Dillinger","1003302","Browns","3B","635","","2.09995651245117","2.1"
"Bill McCahan","1008355","Athletics","P","","165.1","2.12621212005615","2.1"
"Billy Johnson","1006426","Yankees","3B","547","","2.06750273704529","2.1"
"Phil Cavarretta","1002093","Cubs","LF","522","","2.05203294754028","2.1"
"Oscar Judd","1006640","Phillies","P","","146.2","1.82549512386322","2.0"
"Ron Northey","1009643","- - -","RF","414","","2.00425742566586","2.0"
"Fritz Ostermueller","1009883","Pirates","P","","183.0","2.02159118652344","2.0"
"Billy Cox","1002692","Pirates","SS","561","","1.90483343601227","1.9"
"Tiny Bonham","1001166","Pirates","P","","149.2","1.98192632198334","1.9"
"Charlie Keller","1006768","Yankees","LF","193","","1.8932648897171","1.9"
"Cass Michaels","1008836","White Sox","2B/3B","404","","1.88466811180115","1.9"
"Taffy Wright","1014296","White Sox","RF/LF","455","","1.88377153873444","1.9"
"Ray Scarborough","1011496","Senators","P","","161.0","2.16789770126343","1.9"
"Kent Peterson","1010234","Reds","P","","152.1","2.34477376937866","1.9"
"Sam Zoldak","1014458","Browns","P","","171.0","1.87486624717712","1.8"
"Johnny Hopp","1006022","Braves","CF","502","","1.82428240776062","1.8"
"Aaron Robinson","1011052","Yankees","C","292","","1.81638288497925","1.8"
"Sam Mele","1008747","Red Sox","RF","497","","1.81098818778992","1.8"
"Hal Peck","1010115","Indians","RF","422","","1.80221176147461","1.8"
"Jack Kramer","1007137","Browns","P","","199.1","1.9699684381485","1.8"
"Johnny Vander Meer","1013350","Reds","P","","186.0","2.25759840011597","1.8"
"Bill Voiselle","1013448","- - -","P","","174.0","2.07461148500443","1.8"
"Dale Mitchell","1009000","Indians","CF/LF","518","","1.77692079544067","1.8"
"Frank Papish","1009985","White Sox","P","","199.0","2.31864976882935","1.8"
"Kirby Higbe","1005782","- - -","P","","240.2","2.02447474002838","1.7"
"Vic Wertz","1013795","Tigers","RF/LF","382","","1.74109745025635","1.7"
"Cliff Fannin","1003921","Browns","P","","145.2","1.69277381896973","1.7"
"Dave Koslo","1007118","Giants","P","","217.1","1.95023810863495","1.7"
"Johnny Wyrostek","1014314","Phillies","RF","523","","1.65939509868622","1.7"
"Joe Garagiola","1004487","Cardinals","C","228","","1.64313650131226","1.6"
"Ken Raffensberger","1010646","- - -","P","","147.2","1.74380850791931","1.6"
"Doyle Lade","1007246","Cubs","P","","187.1","1.34063315391541","1.6"
"Hank Edwards","1003687","Indians","RF/LF","427","","1.59995198249817","1.6"
"Arky Vaughan","1013377","Dodgers","3B/LF","153","","1.5902384519577","1.6"
"Stubby Overmire","1009911","Tigers","P","","140.2","1.62050902843475","1.6"
"Les Fleming","1004146","Indians","1B","337","","1.55458068847656","1.6"
"Nels Potter","1010471","Browns","P","","122.2","1.14896655082703","1.5"
"Harry Dorish","1003411","Red Sox","P","","136.0","1.64274048805237","1.5"
"Fred Sanford","1011430","Browns","P","","186.2","1.5400722026825","1.5"
"Jesse Flores","1004170","Athletics","P","","151.1","1.30454754829407","1.5"
"Erv Dusak","1003600","Cardinals","RF/CF","383","","1.50311779975891","1.5"
"Del Ennis","1003786","Phillies","LF","581","","1.47977733612061","1.5"
"Catfish Metkovich","1008809","Indians","CF","515","","1.47660481929779","1.5"
"Peanuts Lowrey","1007794","Cubs","3B","493","","1.47649669647217","1.5"
"Jim Hegan","1005582","Indians","C","426","","1.43913376331329","1.4"
"Sid Gordon","1004877","Giants","LF","490","","1.42544341087341","1.4"
"Hal Gregg","1005020","Dodgers","P","","104.1","1.26230132579803","1.4"
"Hal Wagner","1013482","- - -","C","297","","1.40509620308876","1.4"
"Eddie Robinson","1011063","Indians","1B","355","","1.39041650295258","1.4"
"Clyde Kluttz","1007021","Pirates","C","255","","1.38190460205078","1.4"
"Frank McCormick","1008413","- - -","1B","268","","1.35400204360485","1.4"
"Jim Russell","1011315","Pirates","CF","548","","1.31819117069244","1.3"
"Al Gettel","1004644","Indians","P","","149.0","0.805761575698853","1.3"
"Eddie Mayo","1008307","Tigers","2B","595","","1.30241858959198","1.3"
"Mickey Harris","1005424","Red Sox","P","","51.2","0.910292863845825","1.3"
"Bob Lemon","1007517","Indians","P","","167.1","0.508337497711182","1.3"
"Yogi Berra","1000898","Yankees","C","306","","1.26899027824402","1.3"
"Allie Reynolds","1010860","Yankees","P","","241.2","1.39072620868683","1.2"
"Wally Westlake","1013807","Pirates","RF","443","","1.22338533401489","1.2"
"Hank Borowy","1001208","Cubs","P","","183.0","1.40505659580231","1.2"
"Buddy Rosar","1011194","Athletics","C","409","","1.20466589927673","1.2"
"Stan Hack","1005183","Cubs","3B","283","","1.19059383869171","1.2"
"Babe Young","1014363","- - -","1B","417","","1.18218269944191","1.2"
"Jake Early","1003632","Browns","C","268","","1.18150269985199","1.2"
"Monte Kennedy","1006846","Giants","P","","148.1","1.29703068733215","1.2"
"Rip Sewell","1011768","Pirates","P","","121.0","1.33446443080902","1.1"
"Clint Hartung","1005466","Giants","P","","138.0","0.648289978504181","1.1"
"Culley Rikard","1010963","Pirates","RF/CF","376","","1.11560440063477","1.1"
"Tommy Hughes","1006166","Phillies","P","","127.0","1.61616158485413","1.1"
"Ralph LaPointe","1007339","Phillies","SS","230","","1.10939180850983","1.1"
"Vic Raschi","1010702","Yankees","P","","104.2","0.89403885602951","1.1"
"Eddie Erautt","1003802","Reds","P","","119.0","1.26829552650452","1.1"
"Harry Taylor","1012875","Dodgers","P","","162.0","1.37561285495758","1.1"
"Bill Bevens","1000937","Yankees","P","","165.0","1.36350691318512","1.0"
"Rudy York","1014354","- - -","1B","643","","1.04669923725305","1.0"
"Terry Moore","1009128","Cardinals","CF","508","","1.04229772090912","1.0"
"Pete Suder","1012669","Athletics","2B","579","","1.03638982772827","1.0"
"Gene Hermanski","1005693","Dodgers","LF","225","","1.03178679943085","1.0"
"Mort Cooper","1002598","- - -","P","","83.1","0.746072538197041","1.0"
"Bob Chipman","1002195","Cubs","P","","134.2","1.42834615707397","1.0"
"Bob Gillespie","1004708","White Sox","P","","118.0","1.23378086090088","1.0"
"Rick Ferrell","1004007","Senators","C","115","","0.984512627124786","1.0"
"Ken Heintzelman","1005596","- - -","P","","140.0","1.30228927731514","1.0"
"Don Kolloway","1007087","White Sox","2B","509","","0.966744184494019","1.0"
"Emil Verban","1013406","Phillies","2B","573","","0.959292531013489","1.0"
"Bobby Adams","1000045","Reds","2B","253","","0.955025851726532","1.0"
"Bob Savage","1011466","Athletics","P","","146.0","1.37850058078766","0.9"
"Mel Harder","1005339","Indians","P","","80.0","0.874810039997101","0.9"
"Eddie Waitkus","1013493","Cubs","1B","554","","0.920249819755554","0.9"
"Gil Coan","1002373","Senators","RF","47","","0.916939318180084","0.9"
"Joe Coleman","1002427","Athletics","P","","160.1","0.908308386802673","0.9"
"Ray Poat","1010402","Giants","P","","60.0","0.706188917160034","0.9"
"Del Rice","1010894","Cardinals","C","301","","0.871174991130829","0.9"
"Johnny Berardino","1000861","Browns","2B","357","","0.83483475446701","0.8"
"Earl Harrist","1005411","White Sox","P","","93.2","0.841416835784912","0.8"
"Si Johnson","1006502","Braves","P","","112.2","1.22093784809113","0.8"
"Bobby Brown","1001496","Yankees","3B/SS","175","","0.810237884521484","0.8"
"Blix Donnelly","1003381","Phillies","P","","120.2","1.09796524047852","0.8"
"Ralph Hodgin","1005888","White Sox","LF","198","","0.729649603366852","0.7"
"Tommy Fine","1004050","Red Sox","P","","36.0","0.540490567684174","0.7"
"Ray Lamanno","1007270","Reds","C","448","","0.69298243522644","0.7"
"Joe Medwick","1008719","Cardinals","RF","166","","0.688789844512939","0.7"
"Clyde McCullough","1008435","Cubs","C","257","","0.679438054561615","0.7"
"Harry Gumbert","1005141","Reds","P","","90.1","0.546757340431213","0.7"
"Thornton Lee","1007468","White Sox","P","","86.2","0.600773394107819","0.7"
