"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Barry Bonds","1109","Pirates","LF","612","","9.55764484405518","9.6"
"Roger Clemens","815","Red Sox","P","","246.2","7.57524967193604","7.6"
"Ryne Sandberg","1011411","Cubs","2B","687","","7.39078855514526","7.4"
"Greg Maddux","104","Cubs","P","","268.0","6.97256374359131","7.2"
"Darren Daulton","1003010","Phillies","C","585","","7.1804084777832","7.2"
"Frank Thomas","255","White Sox","1B","711","","7.06805992126465","7.1"
"Charles Nagy","397","Indians","P","","252.0","6.97565603256226","7.0"
"Andy Van Slyke","1013363","Pirates","CF","685","","6.51245594024658","6.5"
"Gary Sheffield","114","Padres","3B","618","","6.50535297393799","6.5"
"Mark McGwire","1008559","Athletics","1B","571","","6.34252786636353","6.3"
"Kevin Brown","642","Rangers","P","","265.2","6.3201003074646","6.3"
"Roberto Alomar","860","Blue Jays","2B","671","","6.14314985275269","6.1"
"Robin Ventura","854","White Sox","3B","694","","6.09293365478516","6.1"
"Edgar Martinez","1086","Mariners","3B","592","","6.01448774337769","6.0"
"Kirby Puckett","1010557","Twins","CF","696","","5.94093084335327","5.9"
"Devon White","1013862","Blue Jays","CF","696","","5.89867258071899","5.9"
"Melido Perez","1010183","Yankees","P","","247.2","5.88042545318604","5.9"
"Kenny Lofton","246","Indians","CF","651","","5.78290462493896","5.8"
"Dave Hollins","1391","Phillies","3B","685","","5.7417197227478","5.7"
"Rickey Henderson","194","Athletics","LF","500","","5.5638632774353","5.6"
"Tim Raines","1406","White Sox","LF","644","","5.54039812088013","5.5"
"Carlos Baerga","175","Indians","2B","716","","5.50338220596313","5.5"
"Fred McGriff","293","Padres","1B","632","","5.49514722824097","5.5"
"Juan Guzman","1005162","Blue Jays","P","","180.2","5.47588300704956","5.5"
"Steve Finley","54","Astros","CF","686","","5.43275833129883","5.4"
"Mark Langston","1007323","Angels","P","","229.0","5.40812492370605","5.4"
"Mike Mussina","837","Orioles","P","","241.0","5.34404945373535","5.3"
"Ken Griffey Jr.","327","Mariners","CF","617","","5.29584169387817","5.3"
"Jose Rijo","349","Reds","P","","211.0","5.09768915176392","5.3"
"Tom Glavine","90","Braves","P","","225.0","4.59332752227783","5.3"
"John Smoltz","115","Braves","P","","246.2","4.95060014724731","5.3"
"Barry Larkin","335","Reds","SS","609","","5.27403020858765","5.3"
"Larry Walker","455","Expos","RF","583","","5.2705512046814","5.3"
"Brady Anderson","364","Orioles","LF","749","","5.25180292129517","5.3"
"Sid Fernandez","1004001","Mets","P","","214.2","4.88231515884399","5.2"
"Shane Mack","1007928","Twins","LF","692","","5.15381717681885","5.2"
"Marquis Grissom","652","Expos","CF","707","","5.11354684829712","5.1"
"Terry Pendleton","1010157","Braves","3B","689","","5.11027956008911","5.1"
"Ozzie Smith","1012186","Cardinals","SS","590","","5.0955023765564","5.1"
"David Justice","923","Braves","RF","571","","5.05153942108154","5.1"
"Andy Benes","1144","Padres","P","","231.1","4.74517822265625","5.0"
"John Smiley","1012084","Twins","P","","241.0","5.00374841690063","5.0"
"David Cone","1680","- - -","P","","249.2","5.18846541643143","5.0"
"Mickey Tettleton","1012939","Tigers","C/DH","654","","4.95493316650391","5.0"
"Doug Drabek","1003473","Pirates","P","","256.2","4.76211404800415","4.9"
"Ray Lankford","1044","Cardinals","CF","682","","4.82761764526367","4.8"
"Jack McDowell","1008473","White Sox","P","","260.2","4.80713033676147","4.8"
"Kevin Appier","3","Royals","P","","208.1","4.79477834701538","4.8"
"Bip Roberts","1011023","Reds","2B/LF","601","","4.76942729949951","4.8"
"Mike Devereaux","1003242","Orioles","CF","710","","4.723388671875","4.7"
"Jose Guzman","1005160","Rangers","P","","224.0","4.68908166885376","4.7"
"Brett Butler","1001772","Dodgers","CF","676","","4.62897205352783","4.6"
"Tony Phillips","1010300","Tigers","2B","733","","4.57599639892578","4.6"
"Jeff Bagwell","547","Astros","1B","697","","4.54715538024902","4.5"
"Chuck Knoblauch","609","Twins","2B","707","","4.53041124343872","4.5"
"Darrin Jackson","1006296","Padres","CF","628","","4.5082688331604","4.5"
"Kevin Tapani","1012824","Twins","P","","220.0","4.49149942398071","4.5"
"Mark Grace","56","Cubs","1B","689","","4.44063282012939","4.4"
"Lou Whitaker","1013846","Tigers","2B","544","","4.4327244758606","4.4"
"Jim Abbott","1000012","Angels","P","","211.0","4.42681169509888","4.4"
"John Kruk","1007184","Phillies","1B","607","","4.39272356033325","4.4"
"Greg Swindell","76","Reds","P","","213.2","4.58245658874512","4.4"
"Dave Fleming","1004145","Mariners","P","","228.1","4.36501264572144","4.4"
"Tony Gwynn","1005166","Padres","RF","569","","4.35464859008789","4.4"
"Dwight Gooden","1004852","Mets","P","","206.0","3.48153972625732","4.3"
"Paul Molitor","1009040","Brewers","1B/DH","700","","4.2599949836731","4.3"
"Curt Schilling","73","Phillies","P","","226.1","4.17464208602905","4.2"
"Jay Bell","48","Pirates","SS","712","","4.16364860534668","4.2"
"Travis Fryman","385","Tigers","SS","721","","4.14532947540283","4.1"
"Bernard Gilkey","1004706","Cardinals","LF","431","","4.01053953170776","4.0"
"Jaime Navarro","1009465","Brewers","P","","246.0","4.00263214111328","4.0"
"Terry Steinbach","1012473","Athletics","C","487","","3.98386979103088","4.0"
"Ken Hill","1005827","Expos","P","","218.0","3.19983220100403","4.0"
"Dennis Martinez","1008161","Expos","P","","226.1","3.82699990272522","4.0"
"Craig Biggio","549","Astros","2B","721","","3.91054558753967","3.9"
"Ken Caminiti","1001863","Astros","3B","557","","3.84940958023071","3.8"
"Dave Winfield","1014127","Blue Jays","DH","670","","3.80791306495667","3.8"
"Chris Bosio","1001212","Brewers","P","","231.1","3.8073103427887","3.8"
"Mike Bordick","129","Athletics","2B/SS","572","","3.75649356842041","3.8"
"Bob Tewksbury","1012941","Cardinals","P","","233.0","3.9865710735321","3.8"
"Rob Deer","1003137","Tigers","RF","448","","3.72844099998474","3.7"
"Frank Viola","1013435","Red Sox","P","","238.0","3.72355437278748","3.7"
"Jack Morris","1009211","Blue Jays","P","","240.2","3.71328139305115","3.7"
"Steve Avery","1706","Braves","P","","233.2","3.46854424476624","3.7"
"Will Clark","1002318","Giants","1B","601","","3.67052578926086","3.7"
"Danny Tartabull","1012829","Yankees","RF/DH","526","","3.6534104347229","3.7"
"Cal Ripken","1010978","Orioles","SS","715","","3.65147018432617","3.7"
"Nolan Ryan","1011348","Rangers","P","","157.1","3.54173064231873","3.5"
"Terry Mulholland","665","Phillies","P","","229.0","3.83856868743896","3.5"
"Delino DeShields","275","Expos","2B","599","","3.4731752872467","3.5"
"Charlie Leibrandt","1007492","Braves","P","","193.0","3.64625597000122","3.5"
"Randy Johnson","60","Mariners","P","","210.1","3.44136047363281","3.4"
"Rafael Palmeiro","1266","Rangers","1B","701","","3.43556070327759","3.4"
"Lance Johnson","1006482","White Sox","CF","611","","3.37939381599426","3.4"
"Omar Vizquel","411","Mariners","SS","527","","3.37627959251404","3.4"
"Pat Listach","1007655","Brewers","SS","649","","3.36558389663696","3.4"
"Lance Blankenship","1001052","Athletics","2B","446","","3.3217453956604","3.3"
"Chris Hoiles","1005935","Orioles","C","371","","3.31408882141113","3.3"
"Tom Candiotti","1001911","Dodgers","P","","203.2","3.48860764503479","3.3"
"Deion Sanders","1011415","Braves","CF","325","","3.25652933120728","3.3"
"Kevin Gross","1005088","Dodgers","P","","204.2","3.36819243431091","3.3"
"John Olerud","1093","Blue Jays","1B","537","","3.09205150604248","3.1"
"Ruben Sierra","1099","- - -","RF","656","","3.08908897638321","3.1"
"Bill Wegman","1013727","Brewers","P","","261.2","3.07701420783997","3.1"
"Danny Darwin","1002996","Red Sox","P","","161.1","3.06842088699341","3.1"
"Erik Hanson","1005333","Mariners","P","","186.2","3.06078314781189","3.1"
"Julio Valera","1013331","Angels","P","","188.0","3.0595006942749","3.1"
"Dennis Eckersley","1003660","Athletics","P","","80.0","3.05901408195496","3.1"
"Robby Thompson","1013023","Giants","2B","505","","3.0485303401947","3.0"
"Juan Gonzalez","1251","Rangers","CF","632","","2.98490357398987","3.0"
"Kirt Manwaring","1008091","Giants","C","389","","2.9777672290802","3.0"
"Rick Sutcliffe","1012734","Orioles","P","","237.1","2.95909142494202","3.0"
"Ron Gant","1032","Braves","LF","602","","2.95062494277954","3.0"
"Randy Tomlin","1013111","Pirates","P","","208.2","2.95058059692383","2.9"
"Bruce Hurst","1006222","Padres","P","","217.1","2.69757604598999","2.9"
"Manuel Lee","1007460","Blue Jays","SS","457","","2.88287281990051","2.9"
"Joe Carter","1002018","Blue Jays","RF","683","","2.87065291404724","2.9"
"Tim Belcher","1000789","Reds","P","","227.2","3.12195611000061","2.9"
"Don Slaught","1012059","Pirates","C","285","","2.8442325592041","2.8"
"Mike Morgan","67","Cubs","P","","240.0","3.17215085029602","2.8"
"Bill Swift","1012788","Giants","P","","164.2","2.70418310165405","2.8"
"Orel Hershiser","1005741","Dodgers","P","","210.2","2.26662468910217","2.8"
"Pete Harnisch","1005374","Astros","P","","206.2","2.54828524589539","2.8"
"Darryl Hamilton","1005272","Brewers","RF/CF","527","","2.77386999130249","2.8"
"Reggie Sanders","1129","Reds","CF/LF","438","","2.75460958480835","2.8"
"Rheal Cormier","952","Cardinals","P","","186.0","3.01672434806824","2.8"
"Jimmy Key","1006885","Blue Jays","P","","216.2","2.74982619285583","2.7"
"Leo Gomez","1004822","Orioles","3B","552","","2.73327684402466","2.7"
"Rod Beck","1730","Giants","P","","92.0","2.67242932319641","2.7"
"Andre Dawson","1003091","Cubs","RF","582","","2.68634867668152","2.7"
"Moises Alou","261","Expos","LF","377","","2.66467952728271","2.7"
"Kirk McCaskill","1008382","White Sox","P","","209.0","2.66244792938232","2.7"
"Kevin Seitzer","1011730","Brewers","3B","615","","2.62981176376343","2.6"
"Otis Nixon","1009608","Braves","CF","502","","2.6129834651947","2.6"
"Cal Eldred","1653","Brewers","P","","100.1","2.61150503158569","2.6"
"Doug Jones","1006552","Astros","P","","111.2","2.63008737564087","2.6"
"Rob Dibble","1003269","Reds","P","","70.1","2.46324324607849","2.5"
"Jeff Blauser","1001062","Braves","SS","403","","2.54608988761902","2.5"
"Cecil Fielder","1004026","Tigers","1B/DH","676","","2.54344439506531","2.5"
"Lenny Dykstra","1003619","Phillies","CF","392","","2.53825187683105","2.5"
"Jose Canseco","1001918","- - -","RF","512","","2.50744807720184","2.5"
"Don Mattingly","1008261","Yankees","1B","686","","2.5019006729126","2.5"
"Ron Darling","1002989","Athletics","P","","206.1","2.49418234825134","2.5"
"Chris Nabholz","1009431","Expos","P","","195.0","2.49991965293884","2.4"
"Scott Fletcher","1004155","Brewers","2B","433","","2.41825723648071","2.4"
"Danny Jackson","1006295","- - -","P","","201.1","2.82953727245331","2.4"
"Duane Ward","1013609","Blue Jays","P","","101.1","2.37673354148865","2.4"
"Donovan Osborne","299","Cardinals","P","","179.0","2.51789999008179","2.4"
"Craig Grebeck","1004982","White Sox","SS","333","","2.33600735664368","2.3"
"John Burkett","179","Giants","P","","189.2","2.76547574996948","2.3"
"Felix Jose","1610","Cardinals","RF","551","","2.31320118904114","2.3"
"Candy Maldonado","1008015","Blue Jays","LF","560","","2.30335569381714","2.3"
"Andy Stankiewicz","1012405","Yankees","2B/SS","451","","2.29692411422729","2.3"
"Ivan Rodriguez","1275","Rangers","C","454","","2.29646635055542","2.3"
"Rene Gonzales","1004844","Angels","2B/3B","380","","2.29397964477539","2.3"
"Ron Karkovice","1006700","White Sox","C","381","","2.28777194023132","2.3"
"Randy Milligan","1008946","Orioles","1B","577","","2.27637362480164","2.3"
"Brian Harper","1005376","Twins","C","546","","2.26761102676392","2.3"
"Scott Kamieniecki","1006681","Yankees","P","","188.0","2.24147486686707","2.2"
"Brian Downing","1003451","Rangers","DH","391","","2.2355899810791","2.2"
"Spike Owen","1009924","Expos","SS","446","","2.21099090576172","2.2"
"Charlie Hayes","1005525","Yankees","3B","549","","2.20419955253601","2.2"
"Zane Smith","1012218","Pirates","P","","141.0","2.19643712043762","2.2"
"Geronimo Pena","1010144","Cardinals","2B","236","","2.1791844367981","2.2"
"Mike Macfarlane","1007905","Royals","C","450","","2.1654577255249","2.2"
"Mark Gubicza","1005115","Royals","P","","111.1","2.14172792434692","2.1"
"Craig Lefferts","1007476","- - -","P","","196.1","2.56812924146652","2.1"
"Keith Miller","1008910","Royals","2B","464","","2.11436605453491","2.1"
"Dick Schofield","1011602","- - -","SS","502","","2.08877243474126","2.1"
"Frank Castillo","180","Cubs","P","","205.1","2.3671088218689","2.1"
"Jerry Browne","1001525","Athletics","3B","390","","2.08249711990356","2.1"
"Gregg Jefferies","1006379","Royals","3B","657","","2.07689332962036","2.1"
"Joe Oliver","1009778","Reds","C","534","","2.06548428535461","2.1"
"Arthur Rhodes","1097","Orioles","P","","94.1","2.04992151260376","2.0"
"Omar Olivares","1009771","Cardinals","P","","197.0","1.48756432533264","2.0"
"Mel Hall","1005259","Yankees","RF/LF","622","","2.01839137077332","2.0"
"Albert Belle","1000802","Indians","LF/DH","650","","2.01659560203552","2.0"
"Luis Gonzalez","55","Astros","LF","416","","2.0032331943512","2.0"
"Mark Gardner","1004529","Expos","P","","179.2","1.9157110452652","2.0"
"Rick Wilkins","1013960","Cubs","C","274","","1.98383140563965","2.0"
"Steve Buechele","1001630","- - -","3B","590","","1.97952643036842","2.0"
"Bernie Williams","857","Yankees","CF","293","","1.97767770290375","2.0"
"Ben McDonald","1008454","Orioles","P","","227.0","1.96161937713623","2.0"
"Eddie Murray","1009386","Mets","1B","625","","1.95395028591156","2.0"
"Todd Zeile","457","Cardinals","3B","514","","1.93269455432892","1.9"
"John Doherty","1003358","Tigers","P","","116.0","1.93174612522125","1.9"
"Pete Incaviglia","1006257","Astros","RF/LF","379","","1.92039120197296","1.9"
"Bret Saberhagen","1011355","Mets","P","","97.2","2.00054407119751","1.9"
"Bill Krueger","1007175","- - -","P","","178.2","1.94757330417633","1.9"
