"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Jackie Robinson","1011070","Dodgers","2B","636","","7.84573841094971","7.8"
"Stan Musial","1009405","Cardinals","CF","676","","7.76443719863892","7.8"
"Robin Roberts","1011046","Phillies","P","","330.0","7.04126358032227","7.1"
"Larry Doby","1003346","Indians","CF","611","","6.92198038101196","6.9"
"Mickey Mantle","1008082","Yankees","CF","626","","6.62657690048218","6.6"
"Al Rosen","1011208","Indians","3B","649","","6.51705598831177","6.5"
"Bob Rush","1011307","Cubs","P","","250.1","5.64959478378296","6.5"
"Solly Hemus","1005627","Cardinals","SS","690","","6.45653247833252","6.5"
"Bobby Shantz","1011804","Athletics","P","","279.2","6.05697059631348","6.3"
"Warren Spahn","1012299","Braves","P","","290.0","5.93509149551392","6.1"
"Yogi Berra","1000898","Yankees","C","605","","5.81486320495605","5.8"
"Mike Garcia","1004505","Indians","P","","292.1","5.90266132354736","5.7"
"Billy Pierce","1010326","White Sox","P","","255.1","5.54799365997314","5.6"
"Hank Sauer","1011459","Cubs","LF","649","","5.46246957778931","5.5"
"Alvin Dark","1002987","Giants","SS","649","","5.13840293884277","5.1"
"Bob Lemon","1007517","Indians","P","","309.2","4.3619270324707","5.1"
"Gil Hodges","1005883","Dodgers","1B","619","","5.10551595687866","5.1"
"Phil Rizzuto","1011011","Yankees","SS","673","","4.89890050888062","4.9"
"Ferris Fain","1003902","Athletics","1B","648","","4.86995458602905","4.9"
"Sid Gordon","1004877","Braves","LF","606","","4.78572511672974","4.8"
"Curt Simmons","1011980","Phillies","P","","201.1","4.4551796913147","4.6"
"Red Schoendienst","1011600","Cardinals","2B","673","","4.54880857467651","4.5"
"Pee Wee Reese","1010776","Dodgers","SS","660","","4.49321699142456","4.5"
"Allie Reynolds","1010860","Yankees","P","","244.1","4.55181980133057","4.5"
"Duke Snider","1012230","Dodgers","CF","598","","4.4570517539978","4.5"
"Eddie Joost","1006604","Athletics","SS","669","","4.3621654510498","4.4"
"Bobby Thomson","1013032","Giants","3B/CF","666","","4.33123207092285","4.3"
"Saul Rogovin","1011143","White Sox","P","","231.2","3.90223717689514","4.3"
"Bobby Avila","1000380","Indians","2B","684","","4.28477334976196","4.3"
"Minnie Minoso","1008984","White Sox","CF/LF","668","","4.28149557113647","4.3"
"Roy Campanella","1001871","Dodgers","C","533","","4.20635175704956","4.2"
"Ralph Kiner","1006923","Pirates","LF","633","","4.19286060333252","4.2"
"Ken Raffensberger","1010646","Reds","P","","247.0","4.65154361724854","4.2"
"Eddie Robinson","1011063","White Sox","1B","681","","4.08458948135376","4.1"
"Murry Dickson","1003282","Pirates","P","","277.2","3.8678867816925","4.1"
"Granny Hamner","1005286","Phillies","SS","640","","4.0384669303894","4.0"
"Enos Slaughter","1012060","Cardinals","RF","587","","4.03155374526978","4.0"
"Joe Dobson","1003344","White Sox","P","","200.2","3.8788378238678","4.0"
"Gene Woodling","1014228","Yankees","LF","471","","3.92794466018677","3.9"
"Hank Bauer","1000679","Yankees","RF","615","","3.90397906303406","3.9"
"Karl Drews","1003499","Phillies","P","","228.2","4.18790721893311","3.8"
"Russ Meyer","1008833","Phillies","P","","232.1","4.2288556098938","3.8"
"Gil McDougald","1008471","Yankees","3B","632","","3.78674602508545","3.8"
"Bob Porterfield","1010445","Senators","P","","231.1","3.66553664207458","3.7"
"Smoky Burgess","1001665","Phillies","C","424","","3.68781876564026","3.7"
"Vic Wertz","1013795","- - -","RF","486","","3.65331709384918","3.7"
"Dale Mitchell","1009000","Indians","LF","571","","3.59630370140076","3.6"
"Virgil Trucks","1013203","Tigers","P","","197.0","3.38938450813293","3.4"
"Carl Erskine","1003816","Dodgers","P","","206.2","3.53320670127869","3.4"
"Vic Raschi","1010702","Yankees","P","","223.0","2.98329854011536","3.3"
"Billy Goodman","1004856","Red Sox","2B","579","","3.29592394828796","3.3"
"Joe Collins","1002456","Yankees","1B","489","","3.2798011302948","3.3"
"Del Ennis","1003786","Phillies","LF","644","","3.27098679542542","3.3"
"Ted Kluszewski","1007020","Reds","1B","549","","3.25005459785461","3.3"
"Duane Pillette","1010350","Browns","P","","205.1","3.17300271987915","3.2"
"Paul Minner","1008980","Cubs","P","","180.2","2.59015917778015","3.2"
"Mel Parnell","1010017","Red Sox","P","","214.0","3.6345362663269","3.2"
"Luke Easter","1003640","Indians","1B","486","","3.21023011207581","3.2"
"Harry Byrd","1001793","Athletics","P","","228.1","3.5224187374115","3.2"
"Andy Pafko","1009948","Dodgers","RF/LF","624","","3.12215352058411","3.1"
"Whitey Lockman","1007694","Giants","1B","686","","3.10629177093506","3.1"
"Nellie Fox","1004281","White Sox","2B","700","","3.06110095977783","3.1"
"Connie Ryan","1011335","Phillies","2B","656","","3.0332465171814","3.0"
"Hank Thompson","1013012","Giants","3B/CF","484","","3.02847576141357","3.0"
"Gerry Staley","1012388","Cardinals","P","","239.2","3.39754629135132","3.0"
"Elmer Valo","1013335","Athletics","RF","495","","2.98728036880493","3.0"
"Sherm Lollar","1007714","White Sox","C","447","","2.98162508010864","3.0"
"George Kell","1006783","- - -","3B","483","","2.9396641254425","2.9"
"Warren Hacker","1005182","Cubs","P","","185.0","3.2800624370575","2.9"
"Richie Ashburn","1000335","Phillies","CF","701","","2.87820529937744","2.9"
"Wes Westrum","1013812","Giants","C","403","","2.84054040908813","2.8"
"Joe Garagiola","1004487","Pirates","C","396","","2.80657649040222","2.8"
"Jackie Jensen","1006398","- - -","RF","664","","2.76701774075627","2.8"
"Alex Kellner","1006785","Athletics","P","","231.1","2.61655259132385","2.8"
"Jim Dyck","1003611","Browns","3B/LF","458","","2.74844408035278","2.7"
"Sid Hudson","1006141","- - -","P","","197.0","2.84744065999985","2.7"
"Marv Grissom","1005074","White Sox","P","","166.0","2.8127133846283","2.7"
"Davey Williams","1013984","Giants","2B","605","","2.72449278831482","2.7"
"Early Wynn","1014309","Indians","P","","285.2","2.12174129486084","2.7"
"Billy Loes","1007699","Dodgers","P","","187.1","3.18157505989075","2.7"
"Connie Marrero","1008126","Senators","P","","184.1","3.25932383537292","2.7"
"Gus Zernial","1014432","Athletics","LF","621","","2.62276577949524","2.6"
"Frank Baumholtz","1000691","Cubs","RF/CF","446","","2.61293959617615","2.6"
"Bill Serena","1011752","Cubs","2B/3B","435","","2.60925722122192","2.6"
"Eddie Mathews","1008236","Braves","3B","593","","2.58339619636536","2.6"
"Art Houtteman","1006066","Tigers","P","","221.0","3.12096738815308","2.6"
"Billy Martin","1008155","Yankees","2B","401","","2.56391716003418","2.6"
"Howie Pollet","1010423","Pirates","P","","214.0","2.35449981689453","2.5"
"Harry Perkowski","1010195","Reds","P","","194.0","2.67867684364319","2.5"
"Sal Maglie","1007968","Giants","P","","216.0","3.06946229934692","2.5"
"Del Rice","1010894","Cardinals","C","537","","2.46428298950195","2.5"
"Eddie Yost","1014357","Senators","3B","734","","2.43110036849976","2.4"
"Mickey McDermott","1008448","Red Sox","P","","162.0","2.04593014717102","2.4"
"Johnny Logan","1007705","Braves","SS","500","","2.39274668693542","2.4"
"Stu Miller","1008935","Cardinals","P","","88.0","2.59676575660706","2.4"
"Clint Courtney","1002676","Browns","C","458","","2.38747692108154","2.4"
"Jim Hearn","1005556","Giants","P","","223.2","1.98148512840271","2.4"
"Bill Wight","1013933","- - -","P","","168.0","2.19616033136845","2.3"
"Vinegar Bend Mizell","1009015","Cardinals","P","","190.0","3.12624311447144","2.3"
"Ray Boone","1001189","Indians","SS","375","","2.27118802070618","2.3"
"Satchel Paige","1009962","Browns","P","","138.0","2.52735137939453","2.3"
"Hal Newhouser","1009535","Tigers","P","","154.0","1.80038690567017","2.3"
"Max Surkont","1012729","Braves","P","","215.0","2.49417853355408","2.2"
"Ted Gray","1004978","Tigers","P","","224.0","2.42629480361938","2.2"
"Larry Jansen","1006358","Giants","P","","167.1","1.81290805339813","2.2"
"Johnny Klippstein","1007013","Cubs","P","","202.2","2.12074732780457","2.2"
"Bob Nieman","1009587","Browns","RF/LF","533","","2.16367506980896","2.2"
"Andy Seminick","1011742","Reds","C","374","","2.15710306167603","2.2"
"Willie Jones","1006601","Phillies","3B","611","","2.11045479774475","2.1"
"Stan Lopata","1007749","Phillies","C","217","","2.07972860336304","2.1"
"George Shuba","1011940","Dodgers","LF","294","","2.06744503974915","2.1"
"Harry Simpson","1011995","Indians","RF","607","","2.05142211914063","2.1"
"Dizzy Trout","1013196","- - -","P","","160.2","2.102414265275","2.0"
"Eddie Waitkus","1013493","Phillies","1B","568","","2.03342294692993","2.0"
"Don Mueller","1009278","Giants","RF","496","","1.96061897277832","2.0"
"Frank Hiller","1005814","Reds","P","","124.1","1.87920033931732","2.0"
"Mickey Vernon","1013416","Senators","1B","663","","1.94884514808655","1.9"
"Bob Cain","1001820","Browns","P","","170.0","2.07824349403381","1.9"
"Spec Shea","1011841","Senators","P","","169.0","1.62485337257385","1.9"
"Toby Atwell","1000356","Cubs","C","405","","1.88662540912628","1.9"
"Walt Dropo","1003510","- - -","1B","633","","1.88177877664566","1.9"
"Vern Bickford","1000947","Braves","P","","161.1","1.97083497047424","1.9"
"Tommy Byrne","1001801","Browns","P","","196.0","1.15508770942688","1.9"
"Dave Koslo","1007118","Giants","P","","166.1","2.42823123931885","1.8"
"Preacher Roe","1011122","Dodgers","P","","158.2","2.38083124160767","1.8"
"Dom DiMaggio","1003310","Red Sox","CF","549","","1.80808138847351","1.8"
"Bobby Adams","1000045","Reds","3B","694","","1.80535042285919","1.8"
