"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Kevin Brown","642","Padres","P","","257.0","9.56163501739502","10.0"
"Barry Bonds","1109","Giants","LF","697","","8.53411388397217","8.5"
"Mark McGwire","1008559","Cardinals","1B","681","","8.46439075469971","8.5"
"Roger Clemens","815","Blue Jays","P","","234.2","8.20638275146484","8.2"
"John Olerud","1093","Mets","1B","665","","8.09665012359619","8.1"
"Greg Maddux","104","Braves","P","","251.0","7.53793621063232","8.1"
"Curt Schilling","73","Phillies","P","","268.2","8.25204849243164","8.1"
"Alex Rodriguez","1274","Mariners","SS","748","","7.85030937194824","7.9"
"Randy Johnson","60","- - -","P","","244.1","7.60431718826294","7.3"
"Nomar Garciaparra","190","Red Sox","SS","652","","7.25280094146729","7.3"
"Albert Belle","1000802","White Sox","LF","706","","7.11761379241943","7.1"
"Chipper Jones","97","Braves","3B","707","","7.09717464447021","7.1"
"Sammy Sosa","302","Cubs","RF","722","","7.09675073623657","7.1"
"Andruw Jones","96","Braves","CF","631","","7.04071140289307","7.0"
"Scott Rolen","970","Phillies","3B","711","","7.02524137496948","7.0"
"Brian Jordan","658","Cardinals","RF","617","","6.89444875717163","6.9"
"Rafael Palmeiro","1266","Orioles","1B","709","","6.87662029266357","6.9"
"Moises Alou","261","Astros","LF","679","","6.79315519332886","6.8"
"Jeff Bagwell","547","Astros","1B","661","","6.71787214279175","6.7"
"Vladimir Guerrero","778","Expos","RF","677","","6.69954013824463","6.7"
"Mike Piazza","893","- - -","C","626","","6.57078232616186","6.6"
"Ken Griffey Jr.","327","Mariners","CF","720","","6.55268621444702","6.6"
"Craig Biggio","549","Astros","2B","738","","6.52659606933594","6.5"
"Bobby Abreu","945","Phillies","RF","589","","6.4966344833374","6.5"
"Jeff Cirillo","1073","Brewers","3B","694","","6.47266483306885","6.5"
"Ivan Rodriguez","1275","Rangers","C","617","","6.40591526031494","6.4"
"Mo Vaughn","899","Red Sox","1B","681","","6.2680287361145","6.3"
"Ray Lankford","1044","Cardinals","CF","626","","6.21147108078003","6.2"
"Derek Jeter","826","Yankees","SS","694","","6.16483783721924","6.2"
"Barry Larkin","335","Reds","SS","626","","5.90176343917847","5.9"
"Robin Ventura","854","White Sox","3B","674","","5.8395881652832","5.8"
"Greg Vaughn","1233","Padres","LF","661","","5.78951644897461","5.8"
"Jason Kendall","993","Pirates","C","627","","5.75341844558716","5.8"
"John Smoltz","115","Braves","P","","167.2","5.21847534179688","5.7"
"Derek Bell","1000801","Astros","RF","695","","5.70571088790894","5.7"
"Carlos Delgado","1297","Blue Jays","1B","620","","5.65014600753784","5.7"
"Pedro Martinez","200","Red Sox","P","","233.2","5.73538255691528","5.6"
"Kenny Lofton","246","Indians","CF","698","","5.60042190551758","5.6"
"Edgar Martinez","1086","Mariners","DH","672","","5.48811388015747","5.5"
"Paul O'Neill","1009818","Yankees","RF","672","","5.43605279922485","5.4"
"Manny Ramirez","210","Indians","RF","663","","5.39830923080444","5.4"
"Tom Glavine","90","Braves","P","","229.1","4.83243942260742","5.3"
"Scott Erickson","137","Orioles","P","","251.1","5.15873289108276","5.3"
"Jamie Moyer","1091","Mariners","P","","234.1","5.19873094558716","5.2"
"David Cone","1680","Yankees","P","","207.2","5.14649486541748","5.1"
"Mike Mussina","837","Orioles","P","","206.1","5.07822275161743","5.1"
"Andres Galarraga","1390","Braves","1B","648","","5.01756572723389","5.0"
"Larry Walker","455","Rockies","RF","524","","5.00789880752563","5.0"
"Scott Brosius","1001477","Yankees","3B","603","","4.97641181945801","5.0"
"Juan Gonzalez","1251","Rangers","RF","669","","4.94851446151733","4.9"
"Bernie Williams","857","Yankees","CF","578","","4.857506275177","4.9"
"Al Leiter","883","Mets","P","","193.0","4.77575159072876","4.8"
"Damion Easley","464","Tigers","2B","651","","4.78784608840942","4.8"
"Aaron Sele","34","Rangers","P","","212.2","4.70246648788452","4.7"
"Shane Reynolds","574","Astros","P","","233.1","4.54665040969849","4.7"
"Jose Offerman","205","Royals","2B","709","","4.60406160354614","4.6"
"Darren Dreifort","647","Dodgers","P","","180.0","4.17004632949829","4.5"
"Vinny Castilla","84","Rockies","3B","697","","4.49845743179321","4.5"
"John Valentin","1375","Red Sox","3B","681","","4.47800159454346","4.5"
"Kenny Rogers","1277","Athletics","P","","238.2","4.517249584198","4.5"
"David Wells","855","Yankees","P","","214.1","4.42854928970337","4.4"
"Bartolo Colon","375","Indians","P","","204.0","4.38756084442139","4.4"
"Todd Stottlemyre","75","- - -","P","","221.2","4.07635021209717","4.4"
"Chuck Finley","384","Angels","P","","223.1","4.42512989044189","4.4"
"Kerry Wood","304","Cubs","P","","166.2","4.3919529914856","4.4"
"Justin Thompson","8217","Tigers","P","","222.0","4.35353183746338","4.3"
"Jeff Kent","1119","Giants","2B","594","","4.23301649093628","4.2"
"Brad Radke","748","Twins","P","","213.2","4.15992450714111","4.1"
