"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Joe Morgan","1009179","Reds","2B","639","","10.9642963409424","11.0"
"Tom Seaver","1011708","Mets","P","","280.1","7.80709314346313","8.2"
"Mike Schmidt","1011586","Phillies","3B","674","","7.94838237762451","7.9"
"John Mayberry","1008289","Royals","1B","683","","7.29036140441895","7.3"
"Frank Tanana","1012818","Angels","P","","257.1","7.17359304428101","7.2"
"Fred Lynn","1007872","Red Sox","CF","605","","7.10980749130249","7.1"
"Rod Carew","1001942","Twins","2B","617","","7.05638265609741","7.1"
"Ron Reed","1010773","- - -","P","","250.1","6.89295744895935","7.0"
"Gaylord Perry","1010210","- - -","P","","305.2","6.98662555217743","7.0"
"Jim Palmer","1009973","Orioles","P","","323.0","6.92803335189819","6.9"
"Toby Harrah","1005384","Rangers","SS","631","","6.87717294692993","6.9"
"Bobby Grich","1005033","Orioles","2B","655","","6.8166184425354","6.8"
"Johnny Bench","1000826","Reds","C","605","","6.77708959579468","6.8"
"Ron Cey","1002108","Dodgers","3B","662","","6.62389993667603","6.6"
"Dave Parker","1010000","Pirates","RF","602","","6.46005582809448","6.5"
"Bert Blyleven","1001098","Twins","P","","275.2","6.19598388671875","6.2"
"Reggie Jackson","1006308","Athletics","RF","669","","6.11107158660889","6.1"
"Andy Messersmith","1008799","Dodgers","P","","321.2","5.8621244430542","6.0"
"Catfish Hunter","1006199","Yankees","P","","328.0","5.73961305618286","5.7"
"Ted Simmons","1011986","Cardinals","C","649","","5.72917699813843","5.7"
"John Montefusco","1009065","Giants","P","","243.2","5.98354578018188","5.6"
"Thurman Munson","1009334","Yankees","C","661","","5.61410617828369","5.6"
"Gene Tenace","1012911","Athletics","C/1B","623","","5.58703994750977","5.6"
"George Brett","1001400","Royals","3B","697","","5.35971260070801","5.4"
"Don Sutton","1012745","Dodgers","P","","254.1","5.44938564300537","5.3"
"Pete Rose","1011217","Reds","3B","764","","5.26265811920166","5.3"
"Bobby Bonds","1001157","Yankees","RF/CF","626","","5.25720596313477","5.3"
"George Foster","1004250","Reds","CF/LF","511","","5.17680740356445","5.2"
"Vida Blue","1001094","Athletics","P","","278.0","5.13611316680908","5.1"
"Jim Kaat","1006660","White Sox","P","","303.2","5.0986647605896","5.1"
"Davey Lopes","1007750","Dodgers","2B","726","","5.06538438796997","5.1"
"Billy North","1009638","Athletics","CF","624","","5.06513404846191","5.1"
"Ken Singleton","1012011","Orioles","RF","714","","5.05239629745483","5.1"
"Doug Rau","1010717","Dodgers","P","","257.2","4.76874017715454","5.0"
"Jimmy Wynn","1014313","Dodgers","CF","529","","5.00214767456055","5.0"
"Rick Reuschel","1010852","Cubs","P","","234.0","4.74223232269287","5.0"
"Jerry Reuss","1010853","Pirates","P","","237.1","4.59776210784912","4.9"
"Mickey Lolich","1007712","Tigers","P","","240.2","4.90615272521973","4.9"
