"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Arky Vaughan","1013377","Pirates","SS","610","","9.62705135345459","9.6"
"Lou Gehrig","1004598","Yankees","1B","672","","8.68725395202637","8.7"
"Jimmie Foxx","1004285","Athletics","1B","649","","8.52621650695801","8.5"
"Wes Ferrell","1004010","Red Sox","P","","322.1","5.45918607711792","8.1"
"Schoolboy Rowe","1011259","Tigers","P","","275.2","6.31105327606201","7.7"
"Mel Ott","1009904","Giants","RF","683","","7.67988252639771","7.7"
"Hank Greenberg","1004996","Tigers","1B","710","","7.59935426712036","7.6"
"Billy Herman","1005692","Cubs","2B","735","","7.33879089355469","7.3"
"Charlie Gehringer","1004596","Tigers","2B","709","","7.32035160064697","7.3"
"Dizzy Dean","1003106","Cardinals","P","","325.1","6.63164043426514","7.0"
"Mel Harder","1005339","Indians","P","","287.1","6.98132562637329","6.9"
"Lefty Grove","1005099","Red Sox","P","","273.0","7.19572353363037","6.6"
"Luke Appling","1000284","White Sox","SS","654","","6.42902660369873","6.4"
"Joe Medwick","1008719","Cardinals","LF","670","","6.42008352279663","6.4"
"Cy Blanton","1001055","Pirates","P","","254.1","6.77574110031128","6.2"
"Augie Galan","1004440","Cubs","LF","748","","6.12303495407104","6.1"
"Buddy Myer","1009415","Senators","2B","720","","5.95686435699463","6.0"
"Joe Vosmik","1013456","Indians","LF","688","","5.81418085098267","5.8"
"Wally Berger","1000875","Braves","CF","644","","5.65395736694336","5.7"
"Johnny Marcum","1008103","Athletics","P","","242.2","4.08661699295044","5.2"
"Hank Leiber","1007490","Giants","CF","680","","5.13406276702881","5.1"
"Gabby Hartnett","1005458","Cubs","C","461","","5.1285605430603","5.1"
"Bill Terry","1012927","Giants","1B","653","","4.92673254013062","4.9"
"Stan Hack","1005183","Cubs","3B","504","","4.85145235061646","4.9"
"Ripper Collins","1002464","Cardinals","1B","647","","4.7561206817627","4.8"
"Mickey Cochrane","1002384","Tigers","C","522","","4.54166221618652","4.5"
"Billy Rogell","1011128","Tigers","SS","648","","4.46341276168823","4.5"
"Willis Hudlin","1006132","Indians","P","","231.2","3.69537591934204","4.4"
"Paul Waner","1013597","Pirates","RF","623","","4.34136056900024","4.3"
"Carl Hubbell","1006123","Giants","P","","302.2","3.85528826713562","4.2"
"Paul Dean","1003110","Cardinals","P","","269.2","4.84380865097046","4.2"
"Bill Swift","1012787","Pirates","P","","203.2","3.87183427810669","4.1"
"Paul Derringer","1003224","Reds","P","","276.2","4.7124080657959","4.0"
"Tommy Bridges","1001421","Tigers","P","","274.1","3.74706482887268","4.0"
"Curt Davis","1003043","Phillies","P","","231.0","4.12876510620117","4.0"
"Bob Johnson","1006428","Athletics","LF","664","","3.87506556510925","3.9"
"George Selkirk","1011732","Yankees","RF","541","","3.85291790962219","3.9"
"Odell Hale","1005224","Indians","3B","648","","3.83344173431396","3.8"
"Lon Warneke","1013637","Cubs","P","","261.2","3.63510179519653","3.7"
"Larry French","1004338","Cubs","P","","246.1","4.21353626251221","3.7"
"Earl Averill","1000378","Indians","CF","638","","3.62958550453186","3.6"
"Jo-Jo Moore","1009117","Giants","LF","744","","3.58510112762451","3.6"
"Pete Fox","1004283","Tigers","RF","581","","3.53719115257263","3.5"
"Zeke Bonura","1001176","White Sox","1B","611","","3.48769497871399","3.5"
"Syl Johnson","1006505","Phillies","P","","174.2","3.30922412872314","3.5"
"Red Rolfe","1011157","Yankees","3B","706","","3.43474316596985","3.4"
"Lonny Frey","1004343","Dodgers","SS","588","","3.4170298576355","3.4"
"Moose Solters","1012270","- - -","LF","672","","3.36515590548515","3.4"
"Bobo Newsom","1009546","- - -","P","","241.0","2.99016892910004","3.4"
"Van Mungo","1009321","Dodgers","P","","214.1","2.87304306030273","3.3"
"Ernie Lombardi","1007718","Reds","C","351","","3.27871179580688","3.3"
"Red Ruffing","1011296","Yankees","P","","222.0","1.86947727203369","3.2"
"Ben Chapman","1002141","Yankees","CF","629","","3.22311186790466","3.2"
"Bill Lee","1007447","Cubs","P","","252.0","3.01315093040466","3.2"
"Hal Schumacher","1011648","Giants","P","","261.2","3.0779139995575","3.1"
"Joe Cronin","1002796","Red Sox","SS","630","","3.11266398429871","3.1"
"Chuck Klein","1006991","Cubs","RF","485","","3.10446858406067","3.1"
"Cecil Travis","1013162","Senators","3B","590","","3.05427384376526","3.1"
"Dick Bartell","1000621","Giants","SS","603","","3.02664494514465","3.0"
"Sam West","1013813","Browns","CF","615","","3.01697063446045","3.0"
"Earl Whitehill","1013866","Senators","P","","279.1","3.08919095993042","3.0"
"Thornton Lee","1007468","Indians","P","","180.2","2.98275065422058","2.9"
"Babe Herman","1005691","- - -","LF","471","","2.89912429451942","2.9"
"Ivy Andrews","1000253","Browns","P","","213.1","3.51000738143921","2.9"
"Johnny Allen","1000150","Yankees","P","","167.0","2.70678925514221","2.8"
"Travis Jackson","1006314","Giants","3B","556","","2.80442500114441","2.8"
"Ralph Birkofer","1000982","Pirates","P","","150.1","2.61587047576904","2.8"
"Pinky Higgins","1005793","Athletics","3B","573","","2.73572134971619","2.7"
"Alvin Crowder","1002820","Tigers","P","","241.0","2.9605507850647","2.7"
"Waite Hoyt","1006115","Pirates","P","","164.0","2.4898476600647","2.7"
"Tony Lazzeri","1007422","Yankees","2B","544","","2.66410779953003","2.7"
"Watty Clark","1002315","Dodgers","P","","207.0","2.74000835418701","2.6"
"Billy Jurges","1006653","Cubs","SS","584","","2.62020826339722","2.6"
"Harlond Clift","1002352","Browns","3B","569","","2.61832571029663","2.6"
"Tony Cuccinello","1002848","Dodgers","2B/3B","404","","2.57539892196655","2.6"
"Sam Leslie","1007559","Dodgers","1B","581","","2.55962109565735","2.6"
"Frankie Crosetti","1002802","Yankees","SS","351","","2.55650401115417","2.6"
"Billy Werber","1013783","Red Sox","3B","549","","2.54533624649048","2.5"
"Cliff Bolton","1001153","Senators","C","436","","2.53712248802185","2.5"
"Bill Dickey","1003271","Yankees","C","491","","2.50921535491943","2.5"
"Johnny Welch","1013756","Red Sox","P","","143.0","2.43372344970703","2.5"
"Charley Root","1011188","Cubs","P","","201.1","2.24660277366638","2.4"
"Bill Hallahan","1005229","Cardinals","P","","181.1","2.67225980758667","2.4"
"Lefty Gomez","1004821","Yankees","P","","246.0","3.11724472045898","2.4"
"Ed Linke","1007637","Senators","P","","178.0","1.67246448993683","2.4"
"Ted Lyons","1007887","White Sox","P","","190.2","2.32225036621094","2.3"
"Vito Tamulis","1012817","Yankees","P","","160.2","1.87664890289307","2.3"
"Rick Ferrell","1004007","Red Sox","C","536","","2.29487037658691","2.3"
"Fritz Ostermueller","1009883","Red Sox","P","","137.2","2.05491614341736","2.3"
"Gus Suhr","1012674","Pirates","1B","604","","2.28570342063904","2.3"
"Elden Auker","1000366","Tigers","P","","195.0","2.16750240325928","2.2"
"Lew Riggs","1010957","Reds","3B","583","","2.22277212142944","2.2"
"Doc Cramer","1002727","Athletics","CF","701","","2.19635105133057","2.2"
"Ival Goodman","1004857","Reds","RF","637","","2.18520569801331","2.2"
"Woody Jensen","1006400","Pirates","LF","657","","2.15595078468323","2.2"
"Pepper Martin","1008189","Cardinals","3B","575","","2.15081906318665","2.2"
"Spud Davis","1003078","Cardinals","C","354","","2.11254978179932","2.1"
"Red Lucas","1007808","Pirates","P","","125.2","1.21671748161316","2.1"
"Monte Pearson","1010111","Indians","P","","181.2","1.99577355384827","2.0"
"Bruce Campbell","1001875","Indians","RF","343","","1.98298597335815","2.0"
"Tony Piet","1010342","- - -","2B","341","","1.9634478148073","2.0"
"Russ Van Atta","1013337","- - -","P","","175.0","2.06029288005084","2.0"
"Jim Weaver","1013699","Pirates","P","","176.1","2.47906637191772","1.9"
"Lloyd Waner","1013596","Pirates","CF","562","","1.93552732467651","1.9"
"Frank Demaree","1003190","Cubs","RF/CF","420","","1.92363858222961","1.9"
"Goose Goslin","1004893","Tigers","LF","651","","1.90218484401703","1.9"
"Sam Jones","1006589","White Sox","P","","140.0","1.79017388820648","1.9"
"Leo Durocher","1003596","Cardinals","SS","546","","1.86736226081848","1.9"
"Joe Stripp","1012623","Dodgers","3B","405","","1.83826637268066","1.8"
"Jimmie Dykes","1003617","White Sox","3B","473","","1.82529032230377","1.8"
"Al Hollingsworth","1005955","Reds","P","","173.1","2.11309719085693","1.8"
"Danny Taylor","1012865","Dodgers","LF","404","","1.78506362438202","1.8"
"Bill DeLancey","1003164","Cardinals","C","345","","1.78253936767578","1.8"
"Bill Walker","1013508","Cardinals","P","","193.1","2.32345080375671","1.8"
"John Stone","1012568","Senators","RF","498","","1.72350859642029","1.7"
"Jack Knott","1007053","Browns","P","","187.2","2.37766671180725","1.7"
"Bill Knickerbocker","1007037","Indians","SS","577","","1.70900392532349","1.7"
"Roy Johnson","1006498","Red Sox","LF","635","","1.7031421661377","1.7"
"Tony Freitas","1004334","Reds","P","","143.2","1.77319610118866","1.7"
"Gus Mancuso","1008051","Giants","C","489","","1.67096471786499","1.7"
"Vern Kennedy","1006851","White Sox","P","","211.2","1.54787516593933","1.7"
"Jesse Hill","1005826","Yankees","LF","444","","1.62554502487183","1.6"
"Jake Powell","1010489","Senators","CF","604","","1.61654698848724","1.6"
"Frankie Frisch","1004364","Cardinals","2B","402","","1.61615741252899","1.6"
"Terry Moore","1009128","Cardinals","CF","477","","1.61506307125092","1.6"
"Red Kress","1007160","Senators","SS","279","","1.56731450557709","1.6"
"Jesse Haines","1005209","Cardinals","P","","115.1","1.41226148605347","1.6"
"George Earnshaw","1003633","- - -","P","","184.0","1.54322200641036","1.5"
"Fred Frankhouse","1004297","Braves","P","","230.2","0.866965115070343","1.5"
"Ethan Allen","1000139","Phillies","CF","700","","1.52984464168549","1.5"
"Babe Phelps","1010275","Dodgers","C","130","","1.51200926303864","1.5"
"Sugar Cain","1001822","- - -","P","","193.2","1.90308942645788","1.5"
"Jumbo Brown","1001533","Yankees","P","","87.1","1.19661474227905","1.5"
"Ed Heusser","1005756","Cardinals","P","","123.1","1.69911372661591","1.5"
"Lyn Lary","1007365","- - -","SS","562","","1.47264519333839","1.5"
"Johnny Moore","1009116","Phillies","RF","654","","1.47205948829651","1.5"
"Bump Hadley","1005186","Senators","P","","230.1","1.24897789955139","1.5"
"Shanty Hogan","1005924","Braves","C","188","","1.42731308937073","1.4"
"Hal Trosky","1013190","Indians","1B","680","","1.4190422296524","1.4"
"Guy Bush","1001752","Pirates","P","","204.1","1.55313849449158","1.4"
"Johnny Babich","1000396","Dodgers","P","","143.1","1.48650860786438","1.4"
"Danny MacFayden","1007904","- - -","P","","187.2","1.6771351993084","1.4"
"John Whitehead","1013882","White Sox","P","","222.1","1.92492294311523","1.4"
"Gene Schott","1011607","Reds","P","","159.0","1.32998049259186","1.3"
"Tom Zachary","1014405","Dodgers","P","","158.0","1.54596090316772","1.3"
"Hal Lee","1007455","Braves","LF","445","","1.31861734390259","1.3"
"Wally Moses","1009244","Athletics","RF","373","","1.27279043197632","1.3"
"Oral Hildebrand","1005804","Indians","P","","171.1","1.50536441802979","1.3"
"Bucky Walters","1013583","Phillies","P","","151.0","1.5097416639328","1.2"
"Len Koenecke","1007076","Dodgers","CF","374","","1.23037004470825","1.2"
"Dusty Cooke","1002568","Red Sox","RF/CF","346","","1.21447026729584","1.2"
"Phil Cavarretta","1002093","Cubs","1B","636","","1.21389746665955","1.2"
"Mark Koenig","1007077","Giants","2B","420","","1.19326519966125","1.2"
"Lloyd Brown","1001540","Indians","P","","122.0","1.43871998786926","1.2"
"Les Tietje","1013063","White Sox","P","","169.2","1.26173031330109","1.2"
"Earl Grace","1004912","Pirates","C","257","","1.17406213283539","1.2"
"Sammy Byrd","1001796","Reds","CF/LF","460","","1.14015793800354","1.1"
"Dick Coffman","1002391","Browns","P","","143.2","1.2174699306488","1.1"
"Joe Sullivan","1012701","Tigers","P","","125.2","1.22293388843536","1.1"
"Al Simmons","1011978","White Sox","CF","561","","1.10776591300964","1.1"
"Billy Myers","1009418","Reds","SS","486","","1.10626292228699","1.1"
"Mule Haas","1005173","White Sox","RF/CF","379","","1.09865272045135","1.1"
"Gilly Campbell","1001878","Reds","C","261","","1.09621846675873","1.1"
"Ben Cantwell","1001921","Braves","P","","210.2","0.691714525222778","1.1"
"Joe Bowman","1001269","Phillies","P","","148.1","1.51006484031677","1.1"
"Jack Rothrock","1011244","Cardinals","RF","579","","1.0870406627655","1.1"
"Rollie Hemsley","1005626","Browns","C","560","","1.05084478855133","1.1"
"Lefty Stewart","1012524","- - -","P","","93.2","1.15295153856277","1.0"
"Benny Frey","1004342","Reds","P","","114.1","0.545941054821014","1.0"
"Ken O'Dea","1009722","Cubs","C","231","","1.0087798833847","1.0"
"Jack Wilson","1014087","Red Sox","P","","64.0","0.729209840297699","1.0"
"Rube Walberg","1013501","Red Sox","P","","142.2","1.1534389257431","1.0"
"Roy Henshaw","1005678","Cubs","P","","142.2","0.825570344924927","1.0"
"Johnny Broaca","1001453","Yankees","P","","201.0","1.39437389373779","1.0"
"Carl Reynolds","1010864","Red Sox","RF","273","","0.956396818161011","1.0"
"Ray Prim","1010537","Phillies","P","","73.1","1.2586624622345","0.9"
"Roy Mahaffey","1007981","Athletics","P","","136.0","1.09485626220703","0.9"
