"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Willie Mays","1008315","Giants","CF","665","","10.4514656066895","10.5"
"Ron Santo","1011447","Cubs","3B","686","","8.65618515014648","8.7"
"Dick Allen","1000137","Phillies","3B","708","","8.22058486938477","8.2"
"Brooks Robinson","1011055","Orioles","3B","685","","8.10523319244385","8.1"
"Ron Hansen","1005329","White Sox","SS","665","","7.24505043029785","7.2"
"Don Drysdale","1003516","Dodgers","P","","321.1","6.85997009277344","7.2"
"Frank Robinson","1011066","Reds","RF/LF","662","","7.10280895233154","7.1"
"Jim Fregosi","1004330","Angels","SS","591","","7.03967571258545","7.0"
"Whitey Ford","1004227","Yankees","P","","244.2","6.79798412322998","6.9"
"Dean Chance","1002130","Angels","P","","278.1","7.56347465515137","6.9"
"Hank Aaron","1000001","Braves","RF","634","","6.7501916885376","6.8"
"Willie Davis","1003088","Dodgers","CF","652","","6.65719366073608","6.7"
"Bob Veale","1013391","Pirates","P","","279.2","6.48404741287231","6.4"
"Bob Allison","1000166","Twins","1B","594","","6.24270391464233","6.2"
"Tony Oliva","1009772","Twins","RF","718","","6.21362447738647","6.2"
"Juan Marichal","1008106","Giants","P","","269.0","6.38044452667236","6.2"
"Pete Ward","1013621","White Sox","3B","607","","6.13492584228516","6.1"
"Roberto Clemente","1002340","Pirates","RF","683","","6.06852531433105","6.1"
"Denis Menke","1008766","Braves","SS","588","","6.06090354919434","6.1"
"Elston Howard","1006079","Yankees","C","607","","5.98811626434326","6.0"
"Boog Powell","1010482","Orioles","LF","506","","5.97768640518188","6.0"
"Ken Boyer","1001283","Cardinals","3B","704","","5.96080875396729","6.0"
"Larry Jackson","1006304","Cubs","P","","297.2","5.92528104782104","5.9"
"Bob Gibson","1004662","Cardinals","P","","287.1","5.8421196937561","5.9"
"Sandy Koufax","1007124","Dodgers","P","","223.0","6.09788942337036","5.8"
"Joe Torre","1013133","Braves","C/1B","646","","5.82927703857422","5.8"
"Jim O'Toole","1009897","Reds","P","","220.0","5.85781383514404","5.7"
"Johnny Callison","1001851","Phillies","RF","705","","5.58924102783203","5.6"
"Mickey Mantle","1008082","Yankees","CF","567","","5.54556894302368","5.5"
"Chris Short","1011931","Phillies","P","","220.2","5.60112047195435","5.3"
"Jim Kaat","1006660","Twins","P","","243.0","4.68328809738159","5.3"
"Gary Peters","1010228","White Sox","P","","273.2","4.2715106010437","5.2"
"Bob Bruce","1001573","Colt .45's","P","","202.1","4.89327669143677","5.2"
"Jim Bunning","1001653","Phillies","P","","284.1","5.61793947219849","5.2"
"Jim Ray Hart","1005448","Giants","3B","625","","5.15247440338135","5.2"
"Al Kaline","1006678","Tigers","RF","608","","5.10179710388184","5.1"
"Bill Freehan","1004315","Tigers","C","572","","5.09826755523682","5.1"
"Rico Carty","1002025","Braves","LF","505","","4.96374750137329","5.0"
"Jim Maloney","1008039","Reds","P","","216.0","4.85564470291138","4.9"
"Billy Williams","1013975","Cubs","LF","709","","4.93443202972412","4.9"
"Eddie Bressoud","1001397","Red Sox","SS","644","","4.82736873626709","4.8"
"Harmon Killebrew","1006905","Twins","LF","682","","4.8130407333374","4.8"
"Bill White","1013855","Cardinals","1B","693","","4.732017993927","4.7"
"Lou Brock","1001458","- - -","RF/LF","695","","4.62513892352581","4.6"
"Orlando Cepeda","1002103","Giants","1B","587","","4.58214712142944","4.6"
"Milt Pappas","1009989","Orioles","P","","251.2","4.79041528701782","4.6"
"Camilo Pascual","1010039","Twins","P","","267.1","4.12939357757568","4.5"
"Claude Osteen","1009878","Senators","P","","257.0","4.44043254852295","4.5"
"Carl Yastrzemski","1014326","Red Sox","CF","646","","4.47925138473511","4.5"
"Mickey Lolich","1007712","Tigers","P","","232.0","4.36408948898315","4.5"
"Joe Horlen","1006025","White Sox","P","","210.2","4.53335523605347","4.4"
"Luis Aparicio","1000278","Orioles","SS","642","","4.39428663253784","4.4"
"Juan Pizarro","1010382","White Sox","P","","239.0","3.88449668884277","4.4"
"Bob Friend","1004355","Pirates","P","","240.1","4.91140985488892","4.4"
"Jimmie Hall","1005253","Twins","CF","562","","4.3235182762146","4.3"
"Al Downing","1003450","Yankees","P","","244.0","4.15353298187256","4.3"
"Roger Maris","1008110","Yankees","RF","584","","4.26970100402832","4.3"
"Eddie Mathews","1008236","Braves","3B","590","","4.23564720153809","4.2"
"Dick McAuliffe","1008331","Tigers","SS","645","","4.16311407089233","4.2"
"Curt Flood","1004165","Cardinals","CF","739","","3.9288809299469","3.9"
"Rocky Colavito","1002404","Athletics","RF","681","","3.90223550796509","3.9"
"Ray Sadecki","1011360","Cardinals","P","","220.0","3.68387842178345","3.9"
"Johnny Roseboro","1011199","Dodgers","C","475","","3.78623247146606","3.8"
"Wayne Causey","1002091","Athletics","SS","705","","3.75258255004883","3.8"
"Sam McDowell","1008476","Indians","P","","173.1","3.74957394599915","3.8"
"Fred Newman","1009542","Angels","P","","190.0","3.44317412376404","3.7"
"Floyd Robinson","1011064","White Sox","RF/LF","606","","3.66991305351257","3.7"
"Don Lock","1007686","Senators","CF","598","","3.62244772911072","3.6"
"Jim Pagliaroni","1009958","Pirates","C","346","","3.54560947418213","3.5"
"Felix Mantilla","1008081","Red Sox","2B/LF","470","","3.52370738983154","3.5"
"Vern Law","1007410","Pirates","P","","192.0","2.28402733802795","3.3"
"Vada Pinson","1010360","Reds","CF","676","","3.28621816635132","3.3"
"Sonny Siebert","1011951","Indians","P","","156.0","2.61892461776733","3.2"
"Tom Haller","1005244","Giants","C","449","","3.17696118354797","3.2"
