"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Babe Ruth","1011327","Yankees","RF/LF","691","","13.0478439331055","13.0"
"Lou Gehrig","1004598","Yankees","1B","717","","12.4842796325684","12.5"
"Rogers Hornsby","1006030","Giants","2B","684","","10.4318799972534","10.4"
"Frankie Frisch","1004364","Cardinals","2B","693","","9.68856334686279","9.7"
"Paul Waner","1013597","Pirates","RF","709","","7.39011430740356","7.4"
"Harry Heilmann","1005590","Tigers","RF","596","","6.94002437591553","6.9"
"Earle Combs","1002478","Yankees","CF","724","","6.84074258804321","6.8"
"Hack Wilson","1014083","Cubs","CF","646","","6.61664724349976","6.6"
"Tony Lazzeri","1007422","Yankees","2B","660","","6.2962589263916","6.3"
"Lefty Grove","1005099","Athletics","P","","262.1","6.34989929199219","6.1"
"Al Simmons","1011978","Athletics","CF","458","","5.90579652786255","5.9"
"George Harper","1005378","Giants","RF","593","","5.65020036697388","5.7"
"Ted Lyons","1007887","White Sox","P","","307.2","4.83541488647461","5.5"
"Bill Terry","1012927","Giants","1B","647","","5.39108228683472","5.4"
"Dazzy Vance","1013342","Robins","P","","273.1","5.56726837158203","5.4"
"Riggs Stephenson","1012500","Cubs","LF","668","","5.33013200759888","5.3"
"Travis Jackson","1006314","Giants","SS","517","","5.24452257156372","5.2"
"Goose Goslin","1004893","Senators","LF","659","","5.07967853546143","5.1"
"Jim Bottomley","1001228","Cardinals","1B","679","","4.99410486221313","5.0"
"Chuck Dressen","1003492","Reds","3B","647","","4.66446733474731","4.7"
"Bibb Falk","1003911","White Sox","LF","613","","4.466383934021","4.5"
"Pie Traynor","1013165","Pirates","3B","633","","4.27837562561035","4.3"
"Willis Hudlin","1006132","Indians","P","","264.2","3.98928928375244","4.3"
"Pete Alexander","1000128","Cardinals","P","","268.0","3.94879341125488","4.3"
"Mickey Cochrane","1002384","Athletics","C","507","","4.21728420257568","4.2"
"Bob Meusel","1008817","Yankees","RF/LF","584","","4.20291042327881","4.2"
"Ty Cobb","1002378","Athletics","RF/CF","574","","4.17551326751709","4.2"
"Chick Hafey","1005191","Cardinals","LF","394","","4.14428806304932","4.1"
"Lee Meadows","1008705","Pirates","P","","299.1","4.76722764968872","4.1"
"Bob Fothergill","1004261","Tigers","LF","593","","4.12249231338501","4.1"
"Red Lucas","1007808","Reds","P","","239.2","3.468022108078","4.1"
"Alex Metzler","1008814","White Sox","CF","624","","4.09392595291138","4.1"
"Jesse Haines","1005209","Cardinals","P","","300.2","4.22629165649414","4.0"
"George Grantham","1004947","Pirates","2B","634","","3.9787278175354","4.0"
"Waite Hoyt","1006115","Yankees","P","","256.1","3.95281004905701","4.0"
"Carmen Hill","1005809","Pirates","P","","277.2","3.85718011856079","4.0"
"Jakie May","1008301","Reds","P","","235.2","3.77063941955566","3.7"
"Charlie Gehringer","1004596","Tigers","2B","571","","3.7045202255249","3.7"
"Rube Walberg","1013501","Athletics","P","","249.1","3.16917967796326","3.6"
"Hod Lisenbee","1007651","Senators","P","","242.0","4.10277700424194","3.6"
"Eppa Rixey","1011008","Reds","P","","219.2","3.25157976150513","3.6"
"Jack Scott","1011683","Phillies","P","","233.1","2.67749047279358","3.6"
"Joe Shaute","1011813","Indians","P","","230.1","2.79524636268616","3.5"
"Pete Donohue","1003390","Reds","P","","190.2","3.21328592300415","3.3"
"Lloyd Waner","1013596","Pirates","CF/LF","683","","3.3215925693512","3.3"
"Ken Williams","1014012","Browns","LF","496","","3.28257894515991","3.3"
"Earl Whitehill","1013866","Tigers","P","","236.0","3.224773645401","3.3"
"Ray Kremer","1007156","Pirates","P","","226.0","3.49732995033264","3.2"
"Gabby Hartnett","1005458","Cubs","C","509","","3.23586654663086","3.2"
"Tris Speaker","1012309","Senators","CF","597","","3.16676259040833","3.2"
"Charley Root","1011188","Cubs","P","","309.0","2.92397689819336","3.1"
"Ossie Bluege","1001090","Senators","3B","583","","3.1262195110321","3.1"
"Herb Pennock","1010161","Yankees","P","","209.2","3.10150027275085","3.1"
"Freddie Lindstrom","1007631","Giants","3B/LF","619","","3.10338187217712","3.1"
"Dolf Luque","1007843","Reds","P","","230.2","2.89183330535889","3.1"
"Jesse Petty","1010257","Robins","P","","271.2","3.90424990653992","3.0"
"Jumbo Elliott","1003741","Robins","P","","188.1","3.19354176521301","3.0"
"Tommy Thomas","1012996","White Sox","P","","307.2","3.37567853927612","3.0"
"Earl Webb","1013708","Cubs","RF","395","","2.97026324272156","3.0"
"Joe Harris","1005421","Pirates","1B","486","","2.96333169937134","3.0"
"Joe Sewell","1011766","Indians","SS","652","","2.95220255851746","3.0"
"Sparky Adams","1000063","Cubs","2B/3B/SS","705","","2.93581986427307","2.9"
"Urban Shocker","1011918","Yankees","P","","200.0","2.41944718360901","2.9"
"George Uhle","1013266","Indians","P","","153.1","2.45542311668396","2.9"
