"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Barry Bonds","1109","Giants","LF","664","","12.4755125045776","12.5"
"Randy Johnson","60","Diamondbacks","P","","249.2","10.3519678115845","9.9"
"Sammy Sosa","302","Cubs","RF","711","","9.88035869598389","9.9"
"Jason Giambi","818","Athletics","1B","671","","9.24180698394775","9.2"
"Luis Gonzalez","55","Diamondbacks","LF","728","","8.90449142456055","8.9"
"Alex Rodriguez","1274","Rangers","SS","732","","7.8056755065918","7.8"
"Bret Boone","1067","Mariners","2B","690","","7.7741847038269","7.8"
"Larry Walker","455","Rockies","RF","601","","7.5889778137207","7.6"
"Albert Pujols","1177","Cardinals","3B","676","","7.21640968322754","7.2"
"Rich Aurilia","1106","Giants","SS","689","","7.12910747528076","7.1"
"Todd Helton","432","Rockies","1B","696","","7.07684373855591","7.1"
"Mike Mussina","837","Yankees","P","","228.2","6.92161655426025","6.9"
"Curt Schilling","73","Diamondbacks","P","","256.2","7.23320770263672","6.9"
"Lance Berkman","548","Astros","CF/LF","688","","6.84453773498535","6.8"
"Shawn Green","651","Dodgers","RF","701","","6.67248439788818","6.7"
"Javier Vazquez","801","Expos","P","","223.2","6.09755277633667","6.7"
"Roberto Alomar","860","Indians","2B","677","","6.59701061248779","6.6"
"Greg Maddux","104","Braves","P","","233.0","6.26112985610962","6.5"
"Cliff Floyd","518","Marlins","LF","629","","6.47765398025513","6.5"
"Jim Edmonds","1153","Cardinals","CF","608","","6.24098253250122","6.2"
"Chipper Jones","97","Braves","3B","677","","6.08319807052612","6.1"
"Ichiro Suzuki","1101","Mariners","RF","738","","6.0176362991333","6.0"
"Matt Morris","1172","Cardinals","P","","216.1","6.10085248947144","6.0"
"Corey Koskie","738","Twins","3B","649","","5.75211334228516","5.8"
"Andy Pettitte","840","Yankees","P","","200.2","5.7908878326416","5.7"
"Mark Mulder","932","Athletics","P","","229.1","5.65852451324463","5.7"
"Roger Clemens","815","Yankees","P","","220.1","5.64860391616821","5.6"
"Scott Rolen","970","Phillies","3B","653","","5.61525774002075","5.6"
"Phil Nevin","1049","Padres","3B","624","","5.59707355499268","5.6"
"J.D. Drew","1152","Cardinals","RF","443","","5.59526634216309","5.6"
"Pedro Martinez","200","Red Sox","P","","116.2","5.53420925140381","5.5"
"Eric Chavez","906","Athletics","3B","604","","5.52022886276245","5.5"
"Brian Giles","990","Pirates","CF/LF","674","","5.50823497772217","5.5"
"Mike Cameron","1070","Mariners","CF","633","","5.49567794799805","5.5"
"Jim Thome","409","Indians","1B","644","","5.40428018569946","5.4"
"Carlos Beltran","589","Royals","CF","680","","5.37680959701538","5.4"
"Freddy Garcia","1077","Mariners","P","","238.2","5.33550596237183","5.3"
"Bobby Abreu","945","Phillies","RF","704","","5.28020000457764","5.3"
"Troy Glaus","15","Angels","3B","708","","5.25506973266602","5.3"
"Jeff Bagwell","547","Astros","1B","717","","5.24018478393555","5.2"
"Manny Ramirez","210","Red Sox","LF/DH","620","","5.1528377532959","5.2"
"Paul Lo Duca","662","Dodgers","C","519","","5.12050199508667","5.1"
"Tim Hudson","921","Athletics","P","","235.0","5.10596895217896","5.0"
"Ivan Rodriguez","1275","Rangers","C","470","","4.98725748062134","5.0"
