"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Joe DiMaggio","1003311","Yankees","CF","524","","8.48503684997559","8.5"
"Johnny Mize","1009014","Cardinals","1B","670","","7.73093271255493","7.7"
"Jimmie Foxx","1004285","Red Sox","1B","563","","7.34395170211792","7.4"
"Bob Feller","1003975","Indians","P","","296.2","6.66631937026978","7.3"
"Ted Williams","1014040","Red Sox","RF","677","","7.0775318145752","7.1"
"Joe Gordon","1004874","Yankees","2B","648","","6.56151676177979","6.6"
"Dolph Camilli","1001860","Dodgers","1B","684","","6.48390531539917","6.5"
"Red Rolfe","1011157","Yankees","3B","731","","6.46315479278564","6.5"
"Bob Johnson","1006428","Athletics","LF","653","","6.35909795761108","6.4"
"Paul Derringer","1003224","Reds","P","","301.0","6.26211643218994","6.2"
"Lonny Frey","1004343","Reds","2B","585","","6.12283515930176","6.1"
"Hank Greenberg","1004996","Tigers","1B","604","","5.9255633354187","5.9"
"George Selkirk","1011732","Yankees","RF/LF","537","","5.73979091644287","5.7"
"Bobo Newsom","1009546","- - -","P","","291.2","6.10127288103104","5.7"
"Mel Ott","1009904","Giants","RF","508","","5.6436014175415","5.6"
"Buddy Lewis","1007578","Senators","3B","629","","5.48071670532227","5.5"
"Claude Passeau","1010046","- - -","P","","274.1","5.64434486627579","5.4"
"Ival Goodman","1004857","Reds","RF","553","","5.35511302947998","5.4"
"Billy Myers","1009418","Reds","SS","602","","5.33023929595947","5.3"
"Hal Trosky","1013190","Indians","1B","511","","5.28753232955933","5.3"
"Bill Dickey","1003271","Yankees","C","565","","5.26288223266602","5.3"
"Frank McCormick","1008413","Reds","1B","688","","5.26147413253784","5.3"
"Tommy Bridges","1001421","Tigers","P","","198.0","5.09002590179443","5.2"
"Arky Vaughan","1013377","Pirates","SS","693","","5.01983642578125","5.0"
"Curt Davis","1003043","Cardinals","P","","248.0","3.46849846839905","5.0"
"Ted Lyons","1007887","White Sox","P","","172.2","4.3595175743103","4.9"
"Charlie Keller","1006768","Yankees","RF/LF","490","","4.87326192855835","4.9"
"Charlie Gehringer","1004596","Tigers","2B","486","","4.83835601806641","4.8"
"Bucky Walters","1013583","Reds","P","","319.0","4.09040689468384","4.7"
"Ken Keltner","1006821","Indians","3B","648","","4.70763683319092","4.7"
"Billy Werber","1013783","Reds","3B","707","","4.60605573654175","4.6"
"Joe Medwick","1008719","Cardinals","LF","667","","4.58945322036743","4.6"
"Red Ruffing","1011296","Yankees","P","","233.1","3.42985558509827","4.4"
"Dutch Leonard","1007533","Senators","P","","269.1","4.35588312149048","4.4"
"Max West","1013809","Bees","RF/CF/LF","513","","4.30913496017456","4.3"
"Luke Appling","1000284","White Sox","SS","630","","4.27175521850586","4.3"
"Mort Cooper","1002598","Cardinals","P","","210.2","3.93983912467957","4.2"
"Enos Slaughter","1012060","Cardinals","RF","664","","4.19286680221558","4.2"
"Johnny Rigney","1010961","White Sox","P","","218.2","4.24749279022217","4.2"
"Lefty Grove","1005099","Red Sox","P","","191.0","4.30243492126465","4.2"
"Billy Herman","1005692","Cubs","2B","713","","4.13728857040405","4.1"
"Joe Cronin","1002796","Red Sox","SS","627","","4.07472705841064","4.1"
"Larry French","1004338","Cubs","P","","194.0","3.8789005279541","4.0"
"Hank Leiber","1007490","Cubs","CF","431","","4.01295518875122","4.0"
"Harry Danning","1002978","Giants","C","563","","3.91412115097046","3.9"
"Cookie Lavagetto","1007386","Dodgers","3B","678","","3.78142142295837","3.8"
"Billy Jurges","1006653","Giants","SS","611","","3.77498292922974","3.8"
"Mike Kreevich","1007151","White Sox","CF","622","","3.66189122200012","3.7"
"Zeke Bonura","1001176","Giants","1B","517","","3.62172412872314","3.6"
"Morrie Arnovich","1000322","Phillies","LF","560","","3.53263092041016","3.5"
"Thornton Lee","1007468","White Sox","P","","235.0","3.7280707359314","3.5"
"Barney McCosky","1008422","Tigers","CF","692","","3.42397379875183","3.4"
"Cliff Melton","1008755","Giants","P","","207.1","3.54925727844238","3.3"
"Terry Moore","1009128","Cardinals","CF","479","","3.30312466621399","3.3"
"George McQuinn","1008683","Browns","1B","702","","3.26885104179382","3.3"
"Johnny Allen","1000150","Indians","P","","175.0","3.11048412322998","3.2"
"Hugh Casey","1002039","Dodgers","P","","227.1","3.17994618415833","3.2"
"Freddie Fitzsimmons","1004122","Dodgers","P","","151.1","2.79004502296448","3.2"
"Augie Galan","1004440","Cubs","LF","641","","3.12540197372437","3.1"
"Harlond Clift","1002352","Browns","3B","653","","3.09733581542969","3.1"
"Joe Bowman","1001269","Pirates","P","","184.2","1.72246015071869","3.1"
"Dizzy Trout","1013196","Tigers","P","","162.0","3.10181355476379","3.1"
"Frank Demaree","1003190","Giants","CF","643","","2.94527721405029","2.9"
"Bill Lee","1007447","Cubs","P","","282.1","3.52942705154419","2.9"
"Frankie Hayes","1005526","Athletics","C","486","","2.90892672538757","2.9"
"Ernie Lombardi","1007718","Reds","C","494","","2.90254878997803","2.9"
"Ken Chase","1002164","Senators","P","","232.0","3.20989561080933","2.9"
"Joe Kuhel","1007202","White Sox","1B","623","","2.79822373390198","2.8"
"Rudy York","1014354","Tigers","C","376","","2.79698085784912","2.8"
"Don Padgett","1009945","Cardinals","C","257","","2.75844693183899","2.8"
"Eric McNair","1008654","White Sox","3B","528","","2.74604868888855","2.7"
"Fritz Ostermueller","1009883","Red Sox","P","","159.1","2.94480562210083","2.7"
"Ben Chapman","1002141","Indians","CF","654","","2.73192238807678","2.7"
"Stan Hack","1005183","Cubs","3B","723","","2.73041129112244","2.7"
"Frankie Crosetti","1002802","Yankees","SS","743","","2.71137094497681","2.7"
"Lefty Gomez","1004821","Yankees","P","","198.0","2.91237282752991","2.7"
"Jeff Heath","1005560","Indians","LF","472","","2.65192770957947","2.7"
"Denny Galehouse","1004443","Red Sox","P","","146.2","2.98192930221558","2.6"
"Jim Tobin","1013089","Pirates","P","","145.1","2.15394353866577","2.6"
"Archie McKain","1008577","Tigers","P","","129.2","2.05115342140198","2.6"
"Bobby Doerr","1003355","Red Sox","2B","574","","2.53031325340271","2.5"
"Bill Lohrman","1007709","Giants","P","","185.2","2.08048248291016","2.5"
"Monte Pearson","1010111","Yankees","P","","146.1","1.7883403301239","2.5"
"Charley Root","1011188","Cubs","P","","167.1","2.3003306388855","2.5"
"Jimmy Brown","1001528","Cardinals","2B/SS","695","","2.48077154159546","2.5"
"Tommy Henrich","1005664","Yankees","RF/CF","406","","2.42848372459412","2.4"
"Cecil Travis","1013162","Senators","SS","522","","2.42382073402405","2.4"
"Joe Krakauskas","1007134","Senators","P","","217.1","2.10594129562378","2.4"
"Mace Brown","1001541","Pirates","P","","200.1","2.94315433502197","2.4"
"Mel Harder","1005339","Indians","P","","208.0","2.56769061088562","2.4"
"Carl Hubbell","1006123","Giants","P","","154.0","2.48482823371887","2.4"
"Jack Wilson","1014087","Red Sox","P","","177.1","2.79972267150879","2.4"
"Bob Klinger","1007007","Pirates","P","","225.0","2.33237266540527","2.3"
"Luke Hamlin","1005280","Dodgers","P","","269.2","2.99112939834595","2.3"
"George Case","1002033","Senators","RF/CF","593","","2.33342552185059","2.3"
"Debs Garms","1004540","Bees","3B/RF","566","","2.29540991783142","2.3"
"Tot Pressnell","1010524","Dodgers","P","","156.2","2.40489053726196","2.3"
"Vito Tamulis","1012817","Dodgers","P","","158.2","2.29032254219055","2.2"
"Gabby Hartnett","1005458","Cubs","C","351","","2.13994002342224","2.1"
"Willis Hudlin","1006132","Indians","P","","143.0","2.02153468132019","2.1"
"Bill Swift","1012787","Pirates","P","","129.2","1.90751314163208","2.1"
"Pete Coscarart","1002649","Dodgers","2B","476","","2.0887656211853","2.1"
"Whit Wyatt","1014304","Dodgers","P","","109.0","2.07699036598206","2.0"
"Bob Weiland","1013735","Cardinals","P","","146.1","2.6589412689209","2.0"
"Junior Thompson","1013017","Reds","P","","152.1","1.99704217910767","2.0"
"Al Milnar","1008962","Indians","P","","209.0","2.19760012626648","2.0"
"Bob Bowman","1001265","Cardinals","P","","169.1","2.39953279495239","2.0"
"Tony Cuccinello","1002848","Bees","2B","342","","2.02004432678223","2.0"
"Elbie Fletcher","1004150","- - -","1B","555","","2.0055405497551","2.0"
"Schoolboy Rowe","1011259","Tigers","P","","164.0","1.70567178726196","2.0"
"Vance Page","1009957","Cubs","P","","139.1","1.68281626701355","2.0"
"Sam West","1013813","Senators","CF","471","","1.95760464668274","2.0"
"Marius Russo","1011324","Yankees","P","","116.0","1.78646922111511","1.9"
"Eddie Miller","1008892","Bees","SS","324","","1.89500665664673","1.9"
"Paul Waner","1013597","Pirates","RF","506","","1.88893413543701","1.9"
"Bruce Campbell","1001875","Indians","RF","527","","1.84319484233856","1.8"
"Harry Gumbert","1005141","Giants","P","","243.2","1.92026269435883","1.8"
"Gus Suhr","1012674","- - -","1B","470","","1.83384495973587","1.8"
"Bill Posedel","1010462","Bees","P","","220.2","2.23679947853088","1.8"
"Jim Tabor","1012808","Red Sox","3B","626","","1.80466949939728","1.8"
"Gee Walker","1013519","White Sox","LF","645","","1.80293333530426","1.8"
"Harry Eisenstat","1003717","- - -","P","","133.1","1.65004894137383","1.8"
"Ernie Koy","1007129","Dodgers","LF","470","","1.78248596191406","1.8"
"Lon Warneke","1013637","Cardinals","P","","162.0","1.66067397594452","1.8"
"Buddy Myer","1009415","Senators","2B","300","","1.75007402896881","1.8"
"Jack Knott","1007053","White Sox","P","","149.2","2.05156850814819","1.7"
"Al Benton","1000853","Tigers","P","","150.0","2.25298976898193","1.7"
"Taffy Wright","1014296","Senators","RF/LF","547","","1.69450795650482","1.7"
"Atley Donald","1003376","Yankees","P","","153.0","1.41015362739563","1.7"
"Joe Haynes","1005534","Senators","P","","173.0","1.62107849121094","1.6"
"Elden Auker","1000366","Red Sox","P","","151.0","1.4513932466507","1.6"
"Pepper Martin","1008189","Cardinals","3B/CF","316","","1.60305309295654","1.6"
