"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Barry Bonds","1109","Giants","LF","674","","10.4554328918457","10.5"
"Ken Griffey Jr.","327","Mariners","CF","691","","8.44708633422852","8.4"
"John Olerud","1093","Blue Jays","1B","679","","8.10713768005371","8.1"
"Jose Rijo","349","Reds","P","","257.1","7.07455825805664","8.0"
"Mike Piazza","893","Dodgers","C","602","","7.43182182312012","7.4"
"Greg Maddux","104","Braves","P","","267.0","7.51815462112427","7.4"
"Chris Hoiles","1005935","Orioles","C","503","","7.0130672454834","7.0"
"Randy Johnson","60","Mariners","P","","255.1","7.01074743270874","7.0"
"Kenny Lofton","246","Indians","CF","657","","6.95583820343018","7.0"
"Kevin Appier","3","Royals","P","","238.2","6.80902147293091","6.8"
"Lenny Dykstra","1003619","Phillies","CF","773","","6.80483961105347","6.8"
"Rick Wilkins","1013960","Cubs","C","500","","6.6540093421936","6.7"
"Jay Bell","48","Pirates","SS","701","","6.55405235290527","6.6"
"Frank Thomas","255","White Sox","1B","676","","6.2732515335083","6.3"
"Rafael Palmeiro","1266","Rangers","1B","686","","6.26666641235352","6.3"
"Robby Thompson","1013023","Giants","2B","559","","6.07559680938721","6.1"
"Matt Williams","77","Giants","3B","619","","5.90018367767334","5.9"
"Ron Gant","1032","Braves","LF","682","","5.74657869338989","5.7"
"Roberto Alomar","860","Blue Jays","2B","683","","5.7211332321167","5.7"
"Juan Gonzalez","1251","Rangers","LF","587","","5.68954944610596","5.7"
"Mark Langston","1007323","Angels","P","","256.1","5.55351972579956","5.6"
"Robin Ventura","854","White Sox","3B","669","","5.50830793380737","5.5"
"Marquis Grissom","652","Expos","CF","693","","5.50574779510498","5.5"
"Jeff Bagwell","547","Astros","1B","609","","5.50162172317505","5.5"
"Tommy Greene","1005013","Phillies","P","","200.0","4.77129507064819","5.5"
"Luis Gonzalez","55","Astros","LF","610","","5.4312424659729","5.4"
"Jeff Blauser","1001062","Braves","SS","710","","5.39503574371338","5.4"
"Devon White","1013862","Blue Jays","CF","668","","5.39384746551514","5.4"
"Gregg Jefferies","1006379","Cardinals","1B","612","","5.37512397766113","5.4"
"Bill Swift","1012788","Giants","P","","232.2","4.48218870162964","5.3"
"Darren Daulton","1003010","Phillies","C","637","","5.26002931594849","5.3"
"Jimmy Key","1006885","Yankees","P","","236.2","5.18987941741943","5.2"
"Tony Phillips","1010300","Tigers","2B/LF","707","","5.18631076812744","5.2"
"Jack McDowell","1008473","White Sox","P","","256.2","5.17327690124512","5.2"
"John Valentin","1375","Red Sox","SS","539","","5.15141487121582","5.2"
"Chuck Finley","384","Angels","P","","251.1","5.12496376037598","5.1"
"Steve Avery","1706","Braves","P","","223.1","5.07622957229614","5.1"
"David Justice","923","Braves","RF","670","","5.08082485198975","5.1"
"Greg Vaughn","1233","Brewers","LF/DH","667","","4.99067068099976","5.0"
"Albert Belle","1000802","Indians","LF","693","","4.94973707199097","4.9"
"Mark Grace","56","Cubs","1B","676","","4.94337463378906","4.9"
"Mike Stanley","1012416","Yankees","C","491","","4.90564775466919","4.9"
"Erik Hanson","1005333","Mariners","P","","215.0","4.88902044296265","4.9"
"John Kruk","1007184","Phillies","1B","651","","4.88271808624268","4.9"
"Paul Molitor","1009040","Blue Jays","DH","725","","4.84023523330688","4.8"
"Rickey Henderson","194","- - -","LF","610","","4.77504554390907","4.8"
"Lance Johnson","1006482","White Sox","CF","579","","4.73465967178345","4.7"
"Tim Salmon","32","Angels","RF","610","","4.73144054412842","4.7"
"Larry Walker","455","Expos","RF","582","","4.69040489196777","4.7"
"Craig Biggio","549","Astros","2B","706","","4.66534423828125","4.7"
"Bob Tewksbury","1012941","Cardinals","P","","213.2","4.29769134521484","4.6"
"Sammy Sosa","302","Cubs","RF/CF","641","","4.56188774108887","4.6"
"Delino DeShields","275","Expos","2B","562","","4.53621768951416","4.5"
"Fred McGriff","293","- - -","1B","640","","4.50249004364014","4.5"
"Travis Fryman","385","Tigers","3B/SS","695","","4.47978353500366","4.5"
"Ben McDonald","1008454","Orioles","P","","220.1","4.47151899337769","4.5"
"Mike Gallego","1004458","Yankees","2B/SS","465","","4.46672821044922","4.5"
"Kevin Brown","642","Rangers","P","","233.0","4.43058824539185","4.4"
"Curt Schilling","73","Phillies","P","","235.1","4.53535604476929","4.4"
"John Burkett","179","Giants","P","","231.2","4.53136539459229","4.4"
"Carlos Baerga","175","Indians","2B","680","","4.3917875289917","4.4"
"John Smoltz","115","Braves","P","","243.2","3.93439030647278","4.4"
"Juan Guzman","1005162","Blue Jays","P","","221.0","4.32342338562012","4.3"
"Kevin Tapani","1012824","Twins","P","","225.2","4.29311847686768","4.3"
"Orel Hershiser","1005741","Dodgers","P","","215.2","3.02579069137573","4.3"
"Andres Galarraga","1390","Rockies","1B","506","","4.24516916275024","4.2"
"Dwight Gooden","1004852","Mets","P","","208.2","3.73578333854675","4.2"
"Tom Candiotti","1001911","Dodgers","P","","213.2","4.23567485809326","4.1"
