"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Babe Ruth","1011327","Yankees","RF/LF","676","","10.4902963638306","10.7"
"Lou Gehrig","1004598","Yankees","1B","703","","9.60218620300293","9.6"
"Lefty Grove","1005099","Athletics","P","","291.0","8.34710216522217","8.4"
"Joe Cronin","1002796","Senators","SS","686","","8.33825397491455","8.3"
"Bill Terry","1012927","Giants","1B","710","","8.1545467376709","8.2"
"Hack Wilson","1014083","Cubs","CF","709","","8.00807285308838","8.0"
"Babe Herman","1005691","Robins","RF","699","","7.7250599861145","7.7"
"Al Simmons","1011978","Athletics","LF","611","","7.63288879394531","7.6"
"Jimmie Foxx","1004285","Athletics","1B","673","","7.02165460586548","7.0"
"Kiki Cuyler","1002914","Cubs","RF","741","","6.96762323379517","7.0"
"Freddie Lindstrom","1007631","Giants","3B","671","","6.87381076812744","6.9"
"Mel Ott","1009904","Giants","RF","646","","6.85848951339722","6.9"
"Wes Ferrell","1004010","Indians","P","","296.2","5.44977140426636","6.5"
"Chuck Klein","1006991","Phillies","RF","719","","6.44916725158691","6.4"
"Charlie Gehringer","1004596","Tigers","2B","699","","6.05137825012207","6.1"
"Carl Reynolds","1010864","White Sox","RF/CF/LF","602","","6.0268292427063","6.0"
"Woody English","1003785","Cubs","3B/SS","755","","5.92382001876831","5.9"
"Glenn Wright","1014280","Robins","SS","581","","5.79170322418213","5.8"
"Gabby Hartnett","1005458","Cubs","C","578","","5.62275123596191","5.6"
"Dazzy Vance","1013342","Robins","P","","258.2","6.11755466461182","5.5"
"Frankie Frisch","1004364","Cardinals","2B","611","","5.43423461914063","5.4"
"Ted Lyons","1007887","White Sox","P","","297.2","4.43874454498291","5.4"
"Red Ruffing","1011296","- - -","P","","221.2","3.58482721447945","5.3"
"Ed Morgan","1009176","Indians","1B","666","","5.30143308639526","5.3"
"Travis Jackson","1006314","Giants","SS","481","","5.27634906768799","5.3"
"Bump Hadley","1005186","Senators","P","","260.1","5.04351043701172","5.2"
"Mickey Cochrane","1002384","Athletics","C","561","","5.2106785774231","5.2"
"Goose Goslin","1004893","- - -","LF","668","","5.0924117565155","5.1"
"Earle Combs","1002478","Yankees","CF/LF","617","","5.00628471374512","5.0"
"Pat Malone","1008044","Cubs","P","","271.2","4.65452194213867","4.9"
"Johnny Frederick","1004311","Robins","CF","673","","4.75772619247437","4.8"
"Harry Heilmann","1005590","Reds","RF","539","","4.69685983657837","4.7"
"Sam Rice","1010900","Senators","RF","668","","4.63173961639404","4.6"
"Paul Waner","1013597","Pirates","RF","665","","4.59461832046509","4.6"
"Max Bishop","1000994","Athletics","2B","588","","4.50493431091309","4.5"
"Wally Berger","1000875","Braves","LF","625","","4.48853254318237","4.5"
"George Uhle","1013266","Tigers","P","","239.0","3.41459989547729","4.4"
"George Earnshaw","1003633","Athletics","P","","296.0","4.28876161575317","4.4"
"Chick Hafey","1005191","Cardinals","LF","515","","4.29771280288696","4.3"
"Lefty O'Doul","1009734","Phillies","LF","606","","4.27085208892822","4.3"
"Pie Traynor","1013165","Pirates","3B","569","","4.13661575317383","4.1"
"Johnny Hodapp","1005878","Indians","2B","687","","4.09303760528564","4.1"
"Red Lucas","1007808","Reds","P","","210.2","2.57569599151611","4.1"
"George Grantham","1004947","Pirates","2B","652","","4.04184532165527","4.0"
"Charley Root","1011188","Cubs","P","","220.1","3.61736655235291","4.0"
"Heinie Manush","1008089","- - -","LF","602","","3.95265561342239","4.0"
"Marty McManus","1008637","Tigers","3B","561","","3.94095778465271","3.9"
"Lefty Stewart","1012524","Browns","P","","271.0","3.49795413017273","3.9"
"Carl Hubbell","1006123","Giants","P","","241.2","4.70090436935425","3.9"
"Joe Judge","1006644","Senators","1B","515","","3.82697820663452","3.8"
"Erv Brame","1001338","Pirates","P","","235.2","2.68420243263245","3.7"
"Earl Whitehill","1013866","Tigers","P","","220.2","3.89071822166443","3.6"
"Syl Johnson","1006505","Cardinals","P","","187.2","3.63748979568481","3.5"
"Earl Averill","1000378","Indians","CF","605","","3.51126003265381","3.5"
"Clint Brown","1001504","Indians","P","","213.2","3.12267231941223","3.4"
"Larry French","1004338","Pirates","P","","274.2","3.44335579872131","3.4"
"Burleigh Grimes","1005061","- - -","P","","201.1","3.20426926016808","3.3"
"Rube Walberg","1013501","Athletics","P","","205.1","3.61801862716675","3.3"
"George Watkins","1013671","Cardinals","RF","424","","3.31956958770752","3.3"
"Phil Collins","1002461","Phillies","P","","239.0","3.11374020576477","3.3"
"Tony Lazzeri","1007422","Yankees","2B/3B","650","","3.26076579093933","3.3"
"Sam West","1013813","Senators","CF","458","","3.22804927825928","3.2"
"Alvin Crowder","1002820","- - -","P","","279.2","3.52959537506104","3.1"
"Adam Comorosky","1002486","Pirates","LF","685","","3.10908532142639","3.1"
"Bill Hallahan","1005229","Cardinals","P","","237.1","3.91611981391907","3.1"
"Del Bissonette","1000997","Robins","1B","643","","3.0619421005249","3.1"
"Willis Hudlin","1006132","Indians","P","","216.2","2.93236947059631","2.9"
"Sam Jones","1006589","Senators","P","","183.1","2.97506546974182","2.9"
"Danny MacFayden","1007904","Red Sox","P","","269.1","3.31254816055298","2.9"
"Earl Webb","1013708","Red Sox","RF","506","","2.87481784820557","2.9"
"George Pipgras","1010363","Yankees","P","","221.0","3.11464881896973","2.9"
"Charlie Gelbert","1004607","Cardinals","SS","573","","2.84266138076782","2.8"
"Lloyd Brown","1001540","Senators","P","","197.0","2.56320667266846","2.8"
"Dick Porter","1010451","Indians","RF","552","","2.77833032608032","2.8"
"Milt Gaston","1004567","Red Sox","P","","273.0","3.08581733703613","2.8"
"Ossie Bluege","1001090","Senators","3B","562","","2.76464438438416","2.8"
"Jimmie Dykes","1003617","Athletics","3B","535","","2.76289391517639","2.8"
"Benny Frey","1004342","Reds","P","","245.0","2.39297080039978","2.7"
"Dale Alexander","1000121","Tigers","1B","660","","2.69349193572998","2.7"
"Dick Bartell","1000621","Pirates","SS","541","","2.69102382659912","2.7"
"Bill Dickey","1003271","Yankees","C","396","","2.61355185508728","2.6"
"Socks Seibold","1011728","Braves","P","","251.0","2.66608762741089","2.6"
"Shanty Hogan","1005924","Giants","C","424","","2.56038117408752","2.6"
"Ray Benge","1000831","Phillies","P","","225.2","3.02016830444336","2.5"
"Vic Sorrell","1012283","Tigers","P","","233.1","2.74404263496399","2.5"
"Jesse Haines","1005209","Cardinals","P","","182.0","2.41050577163696","2.4"
"Watty Clark","1002315","Robins","P","","200.0","2.48735904693604","2.4"
"Jack Russell","1011313","Red Sox","P","","229.2","2.61316084861755","2.4"
"Bill Walker","1013508","Giants","P","","245.1","2.75840973854065","2.4"
"Buddy Myer","1009415","Senators","2B","617","","2.35896921157837","2.4"
"Ben Chapman","1002141","Yankees","2B/3B","564","","2.35484075546265","2.4"
"Tom Zachary","1014405","- - -","P","","168.0","2.15093336999416","2.3"
"Herb Pennock","1010161","Yankees","P","","156.1","2.45329880714417","2.3"
"Firpo Marberry","1008100","Senators","P","","185.0","1.65099704265594","2.3"
"Pat Caraway","1001933","White Sox","P","","193.1","2.35599565505981","2.2"
"Ray Kolp","1007088","Reds","P","","168.1","2.12106037139893","2.2"
"Red Kress","1007160","Browns","SS","679","","2.17430734634399","2.2"
"Showboat Fisher","1004097","Cardinals","RF/LF","286","","2.14061188697815","2.1"
"Rube Bressler","1001398","Robins","LF","399","","2.12021923065186","2.1"
"Larry Benton","1000855","- - -","P","","207.2","2.23249542713165","2.1"
"Harry Rice","1010895","- - -","CF","543","","2.03532961010933","2.0"
"Dave Harris","1005408","- - -","RF/LF","339","","2.03217241168022","2.0"
"Dolf Luque","1007843","Robins","P","","199.0","1.93365085124969","2.0"
"Freddie Fitzsimmons","1004122","Giants","P","","224.1","1.67123889923096","2.0"
"Ray Kremer","1007156","Pirates","P","","276.0","2.73614621162415","2.0"
"Hal McKain","1008578","White Sox","P","","89.0","1.1739913225174","1.9"
"Rip Collins","1002463","Browns","P","","171.2","2.1158754825592","1.9"
"Smead Jolley","1006518","White Sox","RF/LF","651","","1.92634403705597","1.9"
"Curt Walker","1013510","Reds","RF/LF","547","","1.91316366195679","1.9"
"Red Faber","1003889","White Sox","P","","169.0","2.34286785125732","1.9"
"George Blaeholder","1001025","Browns","P","","191.1","1.97272610664368","1.9"
"Gus Mancuso","1008051","Cardinals","C","254","","1.81703901290894","1.8"
"Sloppy Thurston","1013053","Robins","P","","106.0","1.88746178150177","1.8"
"Hi Bell","1000810","Cardinals","P","","115.1","2.07824397087097","1.7"
"Bing Miller","1008871","Athletics","RF","654","","1.72166073322296","1.7"
"Joe Stripp","1012623","Reds","1B/3B","532","","1.69872689247131","1.7"
"Ben Cantwell","1001921","Braves","P","","173.1","1.52780842781067","1.7"
"Tony Cuccinello","1002848","Reds","3B","506","","1.68502259254456","1.7"
"Pinky Whitney","1013909","Phillies","3B","662","","1.66461896896362","1.7"
"Flint Rhem","1010878","Cardinals","P","","139.2","1.83745074272156","1.7"
"Whit Wyatt","1014304","Tigers","P","","85.2","1.29820644855499","1.7"
"Guy Bush","1001752","Cubs","P","","225.0","1.4001145362854","1.7"
"Lyn Lary","1007365","Yankees","SS","532","","1.65174520015717","1.7"
"Wally Gilbert","1004698","Robins","3B","688","","1.63463306427002","1.6"
"Eddie Rommel","1011174","Athletics","P","","130.1","1.20447754859924","1.6"
"Riggs Stephenson","1012500","Cubs","LF","382","","1.60067188739777","1.6"
"Freddy Leach","1007424","Giants","LF","580","","1.59335088729858","1.6"
"Mule Haas","1005173","Athletics","CF","609","","1.5487277507782","1.5"
"Taylor Douthit","1003438","Cardinals","CF","748","","1.54774904251099","1.5"
"Willie Kamm","1006683","White Sox","3B","396","","1.53133988380432","1.5"
"Jimmie Wilson","1014088","Cardinals","C","403","","1.52156019210815","1.5"
"Al Lopez","1007751","Robins","C","466","","1.5036233663559","1.5"
"Pete Donohue","1003390","- - -","P","","121.0","1.57485044002533","1.5"
"Ray Blades","1001023","Cardinals","RF/LF","127","","1.47012281417847","1.5"
"Clarence Mitchell","1008998","- - -","P","","132.0","1.4584998935461","1.5"
"Mel Harder","1005339","Indians","P","","175.1","1.87330567836761","1.5"
"Chief Hogsett","1005930","Tigers","P","","146.0","1.13318812847137","1.4"
"Bill Sherdel","1011869","- - -","P","","183.1","2.08041346073151","1.4"
"Les Sweetland","1012781","Phillies","P","","167.0","0.976513147354126","1.4"
"Bill Akers","1000098","Tigers","3B/SS","277","","1.39769351482391","1.4"
"Dick Coffman","1002391","Browns","P","","196.0","1.89157950878143","1.4"
"Gus Suhr","1012674","Pirates","1B","637","","1.37166571617126","1.4"
"Tommy Thomas","1012996","White Sox","P","","169.0","1.69260716438293","1.3"
"Bud Teachout","1012897","Cubs","P","","153.0","1.17800843715668","1.3"
"Johnny Watwood","1013686","White Sox","1B/CF","496","","1.30958020687103","1.3"
"Jimmie Reese","1010775","Yankees","2B","203","","1.3086930513382","1.3"
"Rabbit Maranville","1008099","Braves","SS","628","","1.25015115737915","1.3"
"Jumbo Elliott","1003741","Robins","P","","198.1","1.49622213840485","1.2"
"Dolly Gray","1004969","Browns","P","","167.2","1.34653437137604","1.2"
"Bob O'Farrell","1009740","Giants","C","288","","1.21905505657196","1.2"
"Jake Flowers","1004175","Robins","2B","286","","1.19279932975769","1.2"
"John Stone","1012568","Tigers","LF","465","","1.18778562545776","1.2"
"Chad Kimsey","1006920","Browns","P","","113.1","0.314908146858215","1.2"
"Hank Johnson","1006461","Yankees","P","","175.1","0.665965437889099","1.2"
"Sparky Adams","1000063","Cardinals","3B","631","","1.16524541378021","1.2"
"Sheriff Blake","1001038","Cubs","P","","186.2","1.32371830940247","1.1"
"Eppa Rixey","1011008","Reds","P","","164.0","1.34270417690277","1.1"
"Tom Oliver","1009780","Red Sox","CF","700","","1.08887720108032","1.1"
"Spud Davis","1003078","Phillies","C","357","","1.08520269393921","1.1"
"Jim Bottomley","1001228","Cardinals","1B","560","","1.08345425128937","1.1"
"Hod Lisenbee","1007651","Red Sox","P","","237.1","0.841799318790436","1.1"
"Pinky Hargrave","1005362","- - -","C","196","","1.03147532045841","1.0"
"Al Spohrer","1012348","Braves","C","388","","1.02867770195007","1.0"
"Al Grabowski","1004909","Cardinals","P","","107.0","0.796041429042816","1.0"
"Jack Quinn","1010605","Athletics","P","","89.2","0.922793209552765","1.0"
"Phil Todt","1013098","Red Sox","1B","417","","1.00450372695923","1.0"
"Bibb Falk","1003911","Indians","RF/LF","218","","0.999466001987457","1.0"
"Ed Wells","1013766","Yankees","P","","150.2","0.912038683891296","1.0"
"Jakie May","1008301","Reds","P","","112.1","1.20430099964142","1.0"
"Waite Hoyt","1006115","- - -","P","","183.1","1.38940133037977","1.0"
"Charlie Berry","1000902","Red Sox","C","282","","0.97045236825943","1.0"
"Joe Sewell","1011766","Indians","3B","414","","0.962058126926422","1.0"
"Bill Regan","1010782","Red Sox","2B","543","","0.958872675895691","1.0"
"Otto Miller","1008919","Red Sox","3B","405","","0.934712707996368","0.9"
"Bill Shores","1011926","Athletics","P","","159.0","1.16478383541107","0.9"
"Jim Lindsey","1007632","Cardinals","P","","105.2","0.906672775745392","0.9"
"Hap Collard","1002443","Phillies","P","","127.0","1.12280344963074","0.9"
"Hal Elliott","1003739","Phillies","P","","117.1","1.25104308128357","0.9"
"Lloyd Waner","1013596","Pirates","CF","274","","0.824795544147491","0.8"
"Ed Morris","1009205","Red Sox","P","","65.1","0.630922317504883","0.8"
"Ray Phelps","1010279","Robins","P","","179.2","1.16816413402557","0.8"
"Jake Miller","1008903","Indians","P","","88.1","0.683082699775696","0.8"
"Dutch Henry","1005669","White Sox","P","","155.0","0.637936353683472","0.8"
"Bennie Tate","1012834","- - -","C","273","","0.809762127697468","0.8"
"Rick Ferrell","1004007","Browns","C","372","","0.794720351696014","0.8"
"Doc Marshall","1008138","Giants","2B/SS","244","","0.784114897251129","0.8"
"Steve Swetonic","1012785","Pirates","P","","96.2","1.15390026569366","0.8"
"Pat Crawford","1002746","- - -","2B","340","","0.779466778039932","0.8"
"Heinie Meine","1008731","Pirates","P","","117.1","1.14668726921082","0.8"
"Bobby Burke","1001676","Senators","P","","74.1","0.811880528926849","0.7"
"Johnny Burnett","1001699","Indians","3B/SS","194","","0.697076022624969","0.7"
"Ed Brandt","1001348","Braves","P","","147.1","0.67088782787323","0.7"
"Jim Moore","1009114","White Sox","P","","40.0","0.681819438934326","0.7"
"Jimmy Welsh","1013773","Braves","CF","465","","0.670111835002899","0.7"
"John Kerr","1006874","White Sox","2B/SS","297","","0.664469480514526","0.7"
"Eddie Moore","1009104","Robins","2B/SS","226","","0.663521707057953","0.7"
"Claude Willoughby","1014046","Phillies","P","","153.0","1.17322909832001","0.7"
"Johnny Neun","1009524","Braves","1B","243","","0.626935958862305","0.6"
"Ernie Orsatti","1009850","Cardinals","1B/RF","146","","0.626555383205414","0.6"
"Pete Appleton","1000283","Indians","P","","118.2","0.673233985900879","0.6"
"Ad Liska","1007654","Senators","P","","150.2","0.947754442691803","0.6"
"Charlie Grimm","1005068","Cubs","1B","490","","0.577012658119202","0.6"
"Bernie Friberg","1004347","Phillies","2B/LF","387","","0.566030144691467","0.6"
"Glenn Myatt","1009414","Indians","C","288","","0.558844566345215","0.6"
"Don Hurst","1006223","Phillies","1B","451","","0.538263499736786","0.5"
"Bill Sweeney","1012772","Red Sox","1B","255","","0.532039701938629","0.5"
"George Kelly","1006799","- - -","1B","384","","0.519620340317488","0.5"
"Spades Wood","1014241","Pirates","P","","58.0","0.483474165201187","0.5"
"Jesse Petty","1010257","- - -","P","","80.2","0.734405808150768","0.5"
"Joe Boley","1001143","Athletics","SS","465","","0.512086749076843","0.5"
"Si Johnson","1006502","Reds","P","","78.1","0.524414360523224","0.5"
"Neal Finn","1004060","Robins","2B","313","","0.501514315605164","0.5"
"Clise Dudley","1003522","Robins","P","","66.2","0.543830692768097","0.5"
"George Puccinelli","1010556","Cardinals","RF/LF","16","","0.47634157538414","0.5"
"Ski Melillo","1008748","Browns","2B","617","","0.471960604190826","0.5"
"Chet Nichols","1009556","Phillies","P","","59.2","0.438766360282898","0.5"
"Lu Blue","1001093","Browns","1B","524","","0.461807638406754","0.5"
"Al Bool","1001181","Pirates","C","244","","0.455341726541519","0.5"
"Ike Boone","1001187","Robins","LF","116","","0.447306394577026","0.4"
"Snipe Hansen","1005330","Phillies","P","","84.1","0.748469531536102","0.4"
