"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Alex Rodriguez","1274","Yankees","3B","708","","9.57851982116699","9.6"
"David Wright","3787","Mets","3B","711","","8.35040283203125","8.4"
"Magglio Ordonez","248","Tigers","RF","679","","8.03750228881836","8.0"
"Curtis Granderson","4747","Tigers","CF","676","","7.89522504806519","7.9"
"Albert Pujols","1177","Cardinals","1B","679","","7.68498277664185","7.7"
"Chase Utley","1679","Phillies","2B","613","","7.67771863937378","7.7"
"Jake Peavy","1051","Padres","P","","223.1","6.67779588699341","7.3"
"Chipper Jones","97","Braves","3B","600","","6.87739372253418","6.9"
"Matt Holliday","1873","Rockies","LF","713","","6.86662817001343","6.9"
"Alfonso Soriano","847","Cubs","LF","617","","6.65386867523193","6.7"
"CC Sabathia","404","Indians","P","","241.0","6.44865703582764","6.6"
"Jimmy Rollins","971","Phillies","SS","778","","6.46331310272217","6.5"
"Grady Sizemore","2197","Indians","CF","748","","6.36883163452148","6.4"
"David Ortiz","745","Red Sox","DH","667","","6.30618572235107","6.3"
"Ichiro Suzuki","1101","Mariners","CF","736","","6.10604000091553","6.1"
"Carlos Pena","934","Devil Rays","1B","612","","5.9109148979187","5.9"
"Josh Beckett","510","Red Sox","P","","200.2","5.68781709671021","5.7"
"Jorge Posada","841","Yankees","C","589","","5.64819240570068","5.6"
"Brandon Webb","1692","Diamondbacks","P","","236.1","6.21789360046387","5.6"
"Jose Reyes","1736","Mets","SS","765","","5.57991218566895","5.6"
"Tim Hudson","921","Braves","P","","224.1","4.87165403366089","5.5"
"Russell Martin","4616","Dodgers","C","620","","5.49579286575317","5.5"
"Aaron Rowand","254","Phillies","CF","684","","5.44690322875977","5.4"
"Victor Martinez","393","Indians","C","645","","5.44238996505737","5.4"
"Placido Polanco","1176","Tigers","2B","641","","5.32478809356689","5.3"
"Joe Blanton","4849","Athletics","P","","230.0","5.28906059265137","5.2"
"Troy Tulowitzki","3531","Rockies","SS","682","","5.18060159683228","5.2"
"Hanley Ramirez","8001","Marlins","SS","706","","5.17933177947998","5.2"
"Alex Rios","2090","Blue Jays","RF","711","","5.17015933990479","5.2"
"Roy Halladay","1303","Blue Jays","P","","225.1","5.07654523849487","5.2"
"Erik Bedard","126","Orioles","P","","182.0","5.01512241363525","5.1"
"Carlos Beltran","589","Mets","CF","636","","5.09174203872681","5.1"
"Brad Penny","535","Dodgers","P","","208.0","4.43071889877319","5.1"
"John Smoltz","115","Braves","P","","205.2","5.46838903427124","5.1"
"John Lackey","1507","Angels","P","","224.0","5.0492992401123","5.0"
"Miguel Cabrera","1744","Marlins","3B","680","","5.01003932952881","5.0"
"Kelvim Escobar","1298","Angels","P","","195.2","4.82157039642334","4.9"
"Brian Roberts","166","Orioles","2B","716","","4.8934121131897","4.9"
"Scott Kazmir","4897","Devil Rays","P","","206.2","4.84117889404297","4.9"
"Aaron Harang","1451","Reds","P","","231.2","5.35993432998657","4.8"
"Roy Oswalt","571","Astros","P","","212.0","4.93997955322266","4.8"
