"Name","playerid","Team","Pos","PA","IP","Primary WAR","Total WAR"
"Jimmie Foxx","1004285","Athletics","1B","701","","11.3203248977661","11.3"
"Babe Ruth","1011327","Yankees","RF/LF","589","","8.69869041442871","8.7"
"Lou Gehrig","1004598","Yankees","1B","708","","8.08707809448242","8.1"
"Mel Ott","1009904","Giants","RF","673","","8.06766891479492","8.1"
"Bill Terry","1012927","Giants","1B","677","","7.15915203094482","7.2"
"Lefty Grove","1005099","Athletics","P","","291.2","7.1025128364563","7.0"
"Chuck Klein","1006991","Phillies","RF","711","","6.84966468811035","6.8"
"Babe Herman","1005691","Reds","RF","642","","6.58178520202637","6.6"
"Lefty O'Doul","1009734","Dodgers","LF","657","","6.56509637832642","6.6"
"Joe Cronin","1002796","Senators","SS","629","","5.97044897079468","6.0"
"Red Lucas","1007808","Reds","P","","269.1","4.33829402923584","5.8"
"Dizzy Dean","1003106","Cardinals","P","","286.0","5.2815260887146","5.7"
"Mickey Cochrane","1002384","Athletics","C","625","","5.60989713668823","5.6"
"Clint Brown","1001504","Indians","P","","262.2","4.84545850753784","5.6"
"Paul Waner","1013597","Pirates","RF","697","","5.56503868103027","5.6"
"Alvin Crowder","1002820","Senators","P","","327.0","5.2899603843689","5.4"
"Mel Harder","1005339","Indians","P","","254.2","5.4122142791748","5.3"
"Tony Lazzeri","1007422","Yankees","2B","601","","5.24348163604736","5.2"
"Red Ruffing","1011296","Yankees","P","","259.0","3.80526494979858","5.2"
"Wes Ferrell","1004010","Indians","P","","287.2","4.52847719192505","5.1"
"Heinie Manush","1008089","Senators","LF","677","","5.0593786239624","5.1"
"Earl Averill","1000378","Indians","CF","712","","4.97223520278931","5.0"
"Watty Clark","1002315","Dodgers","P","","273.0","4.77040386199951","4.9"
"Charlie Gehringer","1004596","Tigers","2B","692","","4.7674708366394","4.8"
"Don Hurst","1006223","Phillies","1B","665","","4.7618203163147","4.8"
"Carl Hubbell","1006123","Giants","P","","284.0","4.36390018463135","4.7"
"Earle Combs","1002478","Yankees","CF/LF","675","","4.71629762649536","4.7"
"Al Simmons","1011978","Athletics","LF","718","","4.59092903137207","4.6"
"Ben Chapman","1002141","Yankees","RF/LF","662","","4.46772050857544","4.5"
"Lon Warneke","1013637","Cubs","P","","277.0","4.38615322113037","4.3"
"Joe Vosmik","1013456","Indians","LF","690","","4.16336011886597","4.2"
"Wally Berger","1000875","Braves","CF","639","","4.11041069030762","4.1"
"Spud Davis","1003078","Phillies","C","448","","4.05803632736206","4.1"
"Dick Bartell","1000621","Phillies","SS","719","","4.04203987121582","4.0"
"Dale Alexander","1000121","- - -","1B","454","","4.00627025216818","4.0"
"Dolly Gray","1004969","Browns","P","","206.2","4.01882028579712","4.0"
"Billy Herman","1005692","Cubs","2B","723","","3.93319201469421","3.9"
"Paul Derringer","1003224","Cardinals","P","","233.1","4.00234985351563","3.9"
"Danny Taylor","1012865","- - -","CF","460","","3.77113442029804","3.8"
"Arky Vaughan","1013377","Pirates","SS","555","","3.72906231880188","3.7"
"Max Bishop","1000994","Athletics","2B","522","","3.64693355560303","3.6"
"Ted Lyons","1007887","White Sox","P","","230.2","3.10716962814331","3.6"
"Vic Sorrell","1012283","Tigers","P","","234.1","3.95121121406555","3.6"
"Joe Stripp","1012623","Dodgers","1B/3B","593","","3.54988193511963","3.5"
"Hack Wilson","1014083","Dodgers","RF","539","","3.54729223251343","3.5"
"Lloyd Waner","1013596","Pirates","CF","599","","3.49321913719177","3.5"
"George Blaeholder","1001025","Browns","P","","258.1","3.88383865356445","3.5"
"Riggs Stephenson","1012500","Cubs","LF","644","","3.35185837745667","3.4"
"Buddy Myer","1009415","Senators","2B","661","","3.33495283126831","3.3"
"Tom Zachary","1014405","Braves","P","","212.0","2.73750472068787","3.3"
"Tony Cuccinello","1002848","Dodgers","2B","656","","3.30932211875916","3.3"
"Ray Benge","1000831","Phillies","P","","222.1","3.70587420463562","3.3"
"Si Johnson","1006502","Reds","P","","245.0","3.79434490203857","3.3"
"Ed Holley","1005953","Phillies","P","","228.0","3.98714685440063","3.2"
"John Stone","1012568","Tigers","CF/LF","643","","3.20693683624268","3.2"
"Rube Walberg","1013501","Athletics","P","","272.0","3.45454740524292","3.1"
"Willie Kamm","1006683","Indians","3B","615","","3.13496470451355","3.1"
"Monte Weaver","1013702","Senators","P","","234.0","2.51247596740723","3.1"
"Willis Hudlin","1006132","Indians","P","","181.2","2.95863342285156","3.1"
"Goose Goslin","1004893","Browns","LF","667","","3.06769585609436","3.1"
"Bill Hallahan","1005229","Cardinals","P","","176.1","2.81870436668396","3.0"
"Ernie Lombardi","1007718","Reds","C","458","","3.02921795845032","3.0"
"George Watkins","1013671","Cardinals","RF/LF","511","","3.00901818275452","3.0"
"Pat Malone","1008044","Cubs","P","","237.0","3.05304598808289","3.0"
"Earl Whitehill","1013866","Tigers","P","","244.0","2.73949718475342","3.0"
"Rick Ferrell","1004007","Browns","C","514","","2.90562677383423","2.9"
"Bill Dickey","1003271","Yankees","C","459","","2.902752161026","2.9"
"Charley Root","1011188","Cubs","P","","216.1","3.11077356338501","2.9"
"Ownie Carroll","1002003","Reds","P","","210.0","2.66536569595337","2.8"
"Sam Jones","1006589","White Sox","P","","200.1","2.57753300666809","2.8"
"Larry French","1004338","Pirates","P","","274.1","2.80215334892273","2.8"
"Lefty Gomez","1004821","Yankees","P","","265.1","2.97994565963745","2.8"
"Pie Traynor","1013165","Pirates","3B","556","","2.77087998390198","2.8"
"Lefty Stewart","1012524","Browns","P","","259.2","2.90428352355957","2.8"
"Ed Brandt","1001348","Braves","P","","254.0","2.79555201530457","2.8"
"Mule Haas","1005173","Athletics","CF","649","","2.74449110031128","2.7"
"Sam West","1013813","Senators","CF","612","","2.71562194824219","2.7"
"Hal Lee","1007455","Phillies","LF","638","","2.65489196777344","2.7"
"Eric McNair","1008654","Athletics","SS","591","","2.61112117767334","2.6"
"George Grantham","1004947","Reds","2B","560","","2.60649609565735","2.6"
"Bill Swift","1012787","Pirates","P","","214.1","2.72974133491516","2.5"
"Huck Betts","1000933","Braves","P","","221.2","2.32901906967163","2.5"
"Doc Cramer","1002727","Athletics","RF/CF","407","","2.51046109199524","2.5"
"Jack Russell","1011313","- - -","P","","152.2","2.3402424454689","2.5"
"Johnny Frederick","1004311","Dodgers","RF/CF","414","","2.48077654838562","2.5"
"Charlie Grimm","1005068","Cubs","1B","616","","2.43353343009949","2.4"
"Chief Hogsett","1005930","Tigers","P","","178.0","2.02961468696594","2.4"
"Tex Carleton","1001953","Cardinals","P","","196.1","2.69783782958984","2.4"
"Gabby Hartnett","1005458","Cubs","C","462","","2.40443229675293","2.4"
"Joe Sewell","1011766","Yankees","3B","576","","2.40349841117859","2.4"
"Ossie Bluege","1001090","Senators","3B","614","","2.39314341545105","2.4"
"Billy Rogell","1011128","Tigers","SS","613","","2.37448716163635","2.4"
"Johnny Moore","1009116","Cubs","CF","475","","2.36938714981079","2.4"
"Billy Urbanski","1013296","Braves","SS","614","","2.29529595375061","2.3"
"Billy Jurges","1006653","Cubs","SS","426","","2.26885557174683","2.3"
"Glenn Wright","1014280","Dodgers","SS","465","","2.2618682384491","2.3"
"Bill Harris","1005396","Pirates","P","","168.0","2.4139096736908","2.2"
"Gee Walker","1013519","Tigers","CF/LF","501","","2.22857928276062","2.2"
"Johnny Allen","1000150","Yankees","P","","192.0","2.46807098388672","2.2"
"George Pipgras","1010363","Yankees","P","","219.0","2.12309670448303","2.2"
"Woody English","1003785","Cubs","3B/SS","591","","2.16844487190247","2.2"
"Jimmie Dykes","1003617","Athletics","3B","647","","2.16358137130737","2.2"
"Tony Piet","1010342","Pirates","2B","635","","2.15727829933167","2.2"
"Carl Reynolds","1010864","Senators","RF","424","","2.14249396324158","2.1"
"Dazzy Vance","1013342","Dodgers","P","","175.2","2.59959077835083","2.1"
"George Earnshaw","1003633","Athletics","P","","245.1","1.66511380672455","2.1"
"Herb Pennock","1010161","Yankees","P","","146.2","2.11847043037415","2.1"
"Guy Bush","1001752","Cubs","P","","238.2","2.18447041511536","2.1"
"Flint Rhem","1010878","- - -","P","","218.2","2.75761944055557","2.1"
"Snipe Hansen","1005330","Phillies","P","","191.0","2.56392097473145","2.1"
"Jack Burns","1001711","Browns","1B","700","","2.06548094749451","2.1"
"Roy Johnson","1006498","- - -","RF","610","","2.05083674192429","2.1"
"Jumbo Elliott","1003741","Phillies","P","","166.0","2.13932967185974","2.0"
"Red Worthington","1014263","Braves","LF","460","","2.00106835365295","2.0"
"Kiddo Davis","1003064","Phillies","CF","629","","1.99172067642212","2.0"
"Bill Cissell","1002247","- - -","2B","620","","1.98262885212898","2.0"
"Chick Hafey","1005191","Reds","LF","278","","1.97516477108002","2.0"
"Ed Morgan","1009176","Indians","1B","637","","1.94039785861969","1.9"
"Larry Benton","1000855","Reds","P","","179.2","1.90482711791992","1.9"
"Bump Hadley","1005186","- - -","P","","248.1","1.34624426066875","1.9"
"Kiki Cuyler","1002914","Cubs","RF/CF","489","","1.8974335193634","1.9"
"Bob Brown","1001495","Braves","P","","213.0","1.91692864894867","1.9"
"Whit Wyatt","1014304","Tigers","P","","205.2","1.9092071056366","1.9"
"Syl Johnson","1006505","Cardinals","P","","164.2","2.03179788589478","1.9"
"Ivy Andrews","1000253","- - -","P","","166.1","2.11540231108665","1.8"
"Lloyd Brown","1001540","Senators","P","","202.2","2.49068140983582","1.8"
"Red Kress","1007160","- - -","SS/RF","626","","1.75094169378281","1.8"
"Tommy Bridges","1001421","Tigers","P","","201.0","1.80906760692596","1.7"
"Pinky Whitney","1013909","Phillies","3B","678","","1.72959637641907","1.7"
"Smead Jolley","1006518","- - -","LF","606","","1.72206334769726","1.7"
"Fred Heimach","1005591","Dodgers","P","","167.2","1.70292723178864","1.7"
"Red Faber","1003889","White Sox","P","","106.0","1.31453943252563","1.7"
"Van Mungo","1009321","Dodgers","P","","223.1","1.69413244724274","1.7"
"Heinie Meine","1008731","Pirates","P","","172.1","1.95531094074249","1.6"
"Wes Schulmerich","1011646","Braves","RF","439","","1.56428492069244","1.6"
"Adam Comorosky","1002486","Pirates","LF","411","","1.55289542675018","1.6"
"Charlie Berry","1000902","- - -","C","285","","1.52379883825779","1.5"
"Ripper Collins","1002464","Cardinals","1B/RF","598","","1.48665690422058","1.5"
"Wally Hebert","1005570","Browns","P","","108.1","1.18154752254486","1.5"
"Ed Durham","1003589","Red Sox","P","","175.1","1.82630586624146","1.5"
"Shanty Hogan","1005924","Giants","C","529","","1.45382463932037","1.5"
"Dick Porter","1010451","Indians","RF","700","","1.44885385036469","1.4"
"Milt Gaston","1004567","White Sox","P","","166.2","1.30481803417206","1.4"
"Sam Rice","1010900","Senators","RF","323","","1.43147385120392","1.4"
"Eppa Rixey","1011008","Reds","P","","111.2","1.27896773815155","1.4"
"Charlie Gelbert","1004607","Cardinals","SS","503","","1.37895929813385","1.4"
"Fred Schulte","1011632","Browns","CF","639","","1.36053466796875","1.4"
"Phil Collins","1002461","Phillies","P","","184.1","1.06421327590942","1.4"
"Gus Mancuso","1008051","Cardinals","C","344","","1.33712542057037","1.3"
"Jesse Haines","1005209","Cardinals","P","","85.1","1.34514391422272","1.3"
"Mark Koenig","1007077","Cubs","SS","106","","1.29688680171967","1.3"
"George Uhle","1013266","Tigers","P","","146.2","1.19023907184601","1.3"
"Earl Grace","1004912","Pirates","C","411","","1.26995658874512","1.3"
"Dick Coffman","1002391","- - -","P","","137.1","1.6154453754425","1.3"
"Tony Freitas","1004334","Athletics","P","","150.1","1.29529619216919","1.2"
"Dave Harris","1005408","Senators","RF","177","","1.231365442276","1.2"
"Bing Miller","1008871","Athletics","RF","330","","1.22827386856079","1.2"
"Tommy Thomas","1012996","- - -","P","","160.2","1.25414110720158","1.2"
"Harvey Hendrick","1005643","- - -","1B","505","","1.22004847228527","1.2"
"Frankie Frisch","1004364","Cardinals","2B/3B","513","","1.21236753463745","1.2"
"Firpo Marberry","1008100","Senators","P","","197.2","1.4280606508255","1.2"
"Oral Hildebrand","1005804","Indians","P","","129.1","1.53685009479523","1.2"
"Ray Hayworth","1005537","Tigers","C","374","","1.19422292709351","1.2"
"Pinky Hargrave","1005362","Braves","C","244","","1.17155945301056","1.2"
"Sloppy Thurston","1013053","Dodgers","P","","153.0","0.598360002040863","1.2"
"Bob Smith","1012100","Cubs","P","","119.0","1.11858177185059","1.2"
"Earl Webb","1013708","- - -","RF","597","","1.1489289700985","1.1"
"Frankie Crosetti","1002802","Yankees","3B/SS","461","","1.14049053192139","1.1"
"Al Lopez","1007751","Dodgers","C","444","","1.11620461940765","1.1"
"Bob Weiland","1013735","Red Sox","P","","195.2","1.23244667053223","1.1"
"Danny MacFayden","1007904","- - -","P","","199.0","1.65294998884201","1.1"
"Ernie Orsatti","1009850","Cardinals","CF/LF","397","","1.09760081768036","1.1"
"Jim Bottomley","1001228","Cardinals","1B","339","","1.09600019454956","1.1"
"Lyn Lary","1007365","Yankees","SS","339","","1.08778524398804","1.1"
"Leon Chagnon","1002112","Pirates","P","","128.0","0.932972311973572","1.1"
"Freddie Fitzsimmons","1004122","Giants","P","","237.2","0.758113265037537","1.1"
"Heinie Schuble","1011621","Tigers","3B","370","","1.0557336807251","1.1"
"Gus Suhr","1012674","Pirates","1B","654","","1.04170739650726","1.0"
"Sarge Connally","1002513","Indians","P","","112.1","1.05517339706421","1.0"
"Estel Crabtree","1002714","Reds","CF","437","","1.02249395847321","1.0"
"Ben Cantwell","1001921","Braves","P","","146.0","0.760528802871704","1.0"
"Burleigh Grimes","1005061","Cubs","P","","141.1","0.839214205741882","1.0"
"Bud Tinning","1013076","Cubs","P","","93.1","1.07964873313904","1.0"
"Johnny Burnett","1001699","Indians","SS","573","","0.959969162940979","1.0"
"Joe Shaute","1011813","Dodgers","P","","117.0","0.844805359840393","1.0"
"Art Scharein","1011523","Browns","3B","335","","0.954976975917816","1.0"
"Hal Schumacher","1011648","Giants","P","","101.1","0.914777338504791","1.0"
"Ray Kolp","1007088","Reds","P","","159.2","1.13032650947571","0.9"
"Johnny Vergez","1013413","Giants","3B","407","","0.938492119312286","0.9"
"Luke Appling","1000284","White Sox","SS","532","","0.892664968967438","0.9"
"Freddie Lindstrom","1007631","Giants","CF","626","","0.872937321662903","0.9"
"Joe Kuhel","1007202","Senators","1B","380","","0.862685322761536","0.9"
"Hughie Critz","1002780","Giants","2B","700","","0.791703402996063","0.8"
"Roy Mahaffey","1007981","Athletics","P","","222.2","0.992327809333801","0.8"
"Randy Moore","1009124","Braves","3B/RF","372","","0.770105063915253","0.8"
"Frank Grube","1005105","White Sox","C","318","","0.770060777664185","0.8"
"Bobby Burke","1001676","Senators","P","","91.0","0.752877056598663","0.8"
"Bruce Campbell","1001875","- - -","RF","660","","0.736930772662163","0.7"
"Joe Medwick","1008719","Cardinals","CF/LF","109","","0.717232167720795","0.7"
"Dutch Holland","1005950","Braves","LF","169","","0.684139430522919","0.7"
"Sugar Cain","1001822","Athletics","P","","45.0","0.58641117811203","0.7"
"Travis Jackson","1006314","Giants","SS","211","","0.648914217948914","0.6"
"Jack Quinn","1010605","Dodgers","P","","87.1","0.626250624656677","0.6"
"Lu Blue","1001093","White Sox","1B","443","","0.63523256778717","0.6"
"Buck Jordan","1006605","Braves","1B","219","","0.63445633649826","0.6"
"Johnny Welch","1013756","Red Sox","P","","72.1","0.47345295548439","0.6"
"Carl Fischer","1004067","- - -","P","","147.2","0.470857948064804","0.6"
"Wally Roettger","1011125","Reds","LF","378","","0.593208789825439","0.6"
"Gordon Rhodes","1010885","- - -","P","","103.1","0.833180531859398","0.6"
"Dave Barbee","1000527","Pirates","LF","351","","0.579116225242615","0.6"
"Benny Frey","1004342","- - -","P","","134.1","0.594382243230939","0.6"
"Hod Ford","1004221","- - -","2B/SS","108","","0.53494730964303","0.5"
"Roy Parmelee","1010016","Giants","P","","25.1","0.436591178178787","0.5"
"Jo-Jo Moore","1009117","Giants","LF","381","","0.518146097660065","0.5"
"Chad Kimsey","1006920","- - -","P","","89.1","0.37912430614233","0.5"
"Billy Sullivan","1012684","White Sox","1B","328","","0.50185090303421","0.5"
"Glenn Myatt","1009414","Indians","C","292","","0.48621654510498","0.5"
"Hal Rhyne","1010889","Red Sox","SS","233","","0.472636222839355","0.5"
"Billy Rhiel","1010879","Tigers","3B","270","","0.461730748414993","0.5"
"John Michaels","1008839","Red Sox","P","","80.2","0.57763010263443","0.5"
"Steve Swetonic","1012785","Pirates","P","","162.2","0.929835259914398","0.5"
"Dolf Luque","1007843","Giants","P","","110.0","0.668647587299347","0.4"
"Fritz Knothe","1007051","Braves","3B","388","","0.409326732158661","0.4"
"Joe Judge","1006644","Senators","1B","331","","0.403643280267715","0.4"
"Bob Fothergill","1004261","White Sox","RF/LF","376","","0.399197548627853","0.4"
"Bruce Cunningham","1002879","Braves","P","","47.0","0.196404218673706","0.4"
"Bill Brubaker","1001571","Pirates","3B","27","","0.378796070814133","0.4"
"Jumbo Brown","1001533","Yankees","P","","55.2","0.461451292037964","0.4"
"Luke Sewell","1011767","Indians","C","343","","0.372425049543381","0.4"
"George Puccinelli","1010556","Cardinals","LF","120","","0.367324322462082","0.4"
"Ed Coleman","1002421","Athletics","RF","74","","0.365217804908752","0.4"
"Dib Williams","1013990","Athletics","2B","241","","0.345538318157196","0.3"
"Bob Kline","1007002","Red Sox","P","","172.0","0.74438750743866","0.3"
"Eddie Moore","1009104","Giants","SS","97","","0.337271869182587","0.3"
"Wes Kingdon","1006927","Senators","3B/SS","39","","0.324850171804428","0.3"
"Lew Krausse","1007145","Athletics","P","","57.0","0.32970929145813","0.3"
"Carey Selph","1011739","White Sox","2B/3B","435","","0.313932210206985","0.3"
"Stan Hack","1005183","Cubs","3B","198","","0.310975641012192","0.3"
"Marty McManus","1008637","Red Sox","2B/3B","343","","0.305282264947891","0.3"
"Rollie Hemsley","1005626","Cubs","C","165","","0.288838982582092","0.3"
"Howard Maple","1008095","Senators","C","49","","0.283695876598358","0.3"
"Andy Spognardi","1012347","Red Sox","2B","40","","0.279502272605896","0.3"
"Evar Swanson","1012760","White Sox","LF","61","","0.274705231189728","0.3"
"Gordon Slade","1012047","Dodgers","3B/SS","269","","0.272779613733292","0.3"
"Bob Seeds","1011716","- - -","RF/CF/LF","479","","0.245748028159142","0.2"
"Eddie Rommel","1011174","Athletics","P","","65.1","-0.0258650034666061","0.2"
"Eddie Phillips","1010289","Yankees","C","33","","0.241647094488144","0.2"
"Glenn Spencer","1012323","Pirates","P","","137.2","0.385522603988647","0.2"
"Buck Marrow","1008130","Tigers","P","","63.2","0.279292732477188","0.2"
"Bob O'Farrell","1009740","Giants","C","80","","0.227592810988426","0.2"
"Jake Flowers","1004175","Cardinals","3B","281","","0.222041368484497","0.2"
"Paul Gregory","1005026","White Sox","P","","117.2","0.55169939994812","0.2"
"Jim Winford","1014128","Cardinals","P","","8.1","0.0896428599953651","0.2"
"Jo-Jo Morrissey","1009218","Reds","2B/SS","288","","0.20465449988842","0.2"
"Hal Smith","1012154","Pirates","P","","12.0","0.271375089883804","0.2"
"Sam Leslie","1007559","Giants","1B","79","","0.191120579838753","0.2"
"Johnnie Heving","1005757","Athletics","C","85","","0.191106826066971","0.2"
"Fred Brickell","1001414","Phillies","CF","72","","0.188364505767822","0.2"
"Charlie English","1003783","White Sox","3B","66","","0.18806679546833","0.2"
"Bill Akers","1000098","Braves","3B","105","","0.172931626439095","0.2"
"Al Spohrer","1012348","Braves","C","354","","0.170966789126396","0.2"
"Tim McKeithan","1008588","Athletics","P","","12.2","0.146074905991554","0.2"
"Fay Thomas","1012973","Dodgers","P","","17.0","0.238011419773102","0.2"
"Cy Moore","1009100","Dodgers","P","","48.2","0.149250030517578","0.2"
"Lou Polli","1010424","Browns","P","","6.2","0.129227846860886","0.2"
"Frank Doljack","1003366","Tigers","LF","28","","0.163608402013779","0.2"
"Clarence Mitchell","1008998","Giants","P","","30.1","0.147620737552643","0.2"
"Jimmie Reese","1010775","Cardinals","2B","333","","0.160459280014038","0.2"
"Harry Davis","1003054","Tigers","1B","669","","0.148987635970116","0.1"
"Chick Fullis","1004399","Giants","CF/LF","250","","0.147062048316002","0.1"
"Val Picinich","1010309","Dodgers","C","74","","0.135065615177155","0.1"
"Bill Sherdel","1011869","- - -","P","","7.1","0.0466151721775532","0.1"
"Tom Padden","1009943","Pirates","C","128","","0.127345949411392","0.1"
"John Kerr","1006874","Senators","2B/SS","148","","0.115898258984089","0.1"
"Waite Hoyt","1006115","- - -","P","","124.0","0.510216772556305","0.1"
"Rogers Hornsby","1006030","Cubs","3B/RF","70","","0.105750769376755","0.1"
"Ray Phelps","1010279","Dodgers","P","","79.1","0.243881046772003","0.1"
"Jimmie Wilson","1014088","Cardinals","C","292","","0.104480631649494","0.1"
"Ad Liska","1007654","Phillies","P","","26.2","0.232906192541122","0.1"
"Clise Dudley","1003522","Phillies","P","","17.2","-0.228691950440407","0.1"
